base_table_path,base_table_name,base_table_label,target_column,dataset_type
"credit","table8.csv","credit","class",classification
"steel","table_0_0.csv","steel","Class",classification
"jannis","table_0_0.csv","jannis","class",classification
"miniboone","table_0_0.csv","miniboone","signal",classification
"covertype","table_0_0.csv","covertype","class",classification
"eyemove","table_0_0.csv","eyemove","label",classification
"bioresponse","table_0_0.csv","bioresponse","target",classification
"school","base.csv","school","class",classification
"air","temp.csv","air","Temperature",regression
"yprop","table_0_0.csv","yprop","oz252",regression
"superconduct","table_0_0.csv","superconduct","criticaltemp",regression
