"Index","date","strong_team","weak_team","strong_score","weak_score","tournament","strong_overall","weak_overall","strong_attack","weak_attack","strong_midfield","weak_midfield","strong_deffense","weak_deffense","strong_bu_speed","weak_bu_speed","strong_bu_passing","weak_bu_passing","strong_bu_positioning","weak_bu_positioning","strong_cc_crossing","weak_cc_crossing","strong_cc_passing","weak_cc_passing","strong_cc_shooting","weak_cc_shooting","strong_cc_positioning","weak_cc_positioning","strong_aggression","weak_aggression","strong_preassure","weak_preassure","strong_avg_age","weak_avg_age","win","dif_overall","dif_attack","dif_midfield","dif_deffense","dif_bu_speed","dif_bu_passing","dif_cc_crossing","dif_cc_passing","dif_cc_shooting","dif_aggression","dif_preassure","dif_avg_age"
"16",2010-05-16,"Ecuador","Korea Republic",0,2,"Friendly",72,70,67,67,69,69,65,65,70,70,45,60,"Organised","Organised",45,65,65,65,70,70,"Organised","Organised",65,60,65,65,27.83,25.57,0,2,0,0,0,0,-15,-20,0,0,5,0,2.26
"17",2010-05-19,"Croatia","Austria",1,0,"Friendly",78,73,77,71,74,67,73,70,70,70,50,70,"Organised","Organised",30,65,70,65,55,65,"Free Form","Organised",55,70,45,55,26.37,23.97,1,5,6,7,3,0,-20,-35,5,-10,-15,-10,2.4
"18",2010-05-19,"Belgium","Bulgaria",2,1,"Friendly",76,73,73,70,75,70,74,68,65,70,70,65,"Organised","Organised",55,65,65,70,60,65,"Organised","Organised",70,70,45,60,24.33,27.63,1,3,3,5,6,-5,5,-10,-5,-5,0,-15,-3.3
"19",2010-05-22,"Turkey","Czech Republic",2,1,"Friendly",78,78,77,73,77,74,74,74,70,50,65,70,"Organised","Organised",70,65,70,45,70,70,"Organised","Organised",70,70,55,70,25.47,27.73,1,0,4,3,0,20,-5,5,25,0,0,-15,-2.26
"20",2010-05-24,"Australia","New Zealand",2,1,"Friendly",75,62,71,60,71,57,68,58,70,70,70,70,"Organised","Organised",60,70,70,70,70,70,"Organised","Organised",70,70,50,70,27.5,25.97,1,13,11,14,10,0,0,-10,0,0,0,-20,1.53
"21",2010-05-24,"England","Mexico",3,1,"Friendly",83,77,81,73,84,74,82,74,70,65,70,45,"Organised","Organised",70,55,55,65,70,65,"Organised","Organised",70,60,65,65,26.93,26.2,1,6,8,10,8,5,25,15,-10,5,10,0,0.73
"22",2010-05-24,"Bulgaria","South Africa",1,1,"Friendly",73,72,70,70,70,71,68,67,70,70,65,70,"Organised","Organised",65,60,70,65,65,70,"Organised","Organised",70,70,60,70,27.63,26.96,0,1,0,-1,1,0,-5,5,5,-5,0,-10,0.669999999999998
"23",2010-05-25,"Ireland","Paraguay",2,1,"Friendly",75,75,72,75,74,70,73,73,70,65,70,40,"Organised","Organised",70,40,70,65,70,70,"Organised","Organised",70,45,70,35,26.83,27.5,1,0,-3,4,0,5,30,30,5,0,25,35,-0.670000000000002
"24",2010-05-25,"Czech Republic","USA",4,2,"Friendly",78,74,73,72,74,71,74,70,50,70,70,50,"Organised","Free Form",65,45,45,30,70,40,"Organised","Free Form",70,50,70,70,27.73,25.4,1,4,1,3,4,-20,20,20,15,30,20,0,2.33
"25",2010-05-26,"Netherlands","Mexico",2,1,"Friendly",80,77,81,73,80,74,76,74,50,65,35,45,"Organised","Organised",70,55,70,65,66,65,"Organised","Organised",60,60,35,65,26.4,26.2,1,3,8,6,2,-15,-10,15,5,1,0,-30,0.199999999999999
"26",2010-05-26,"Turkey","Northern Ireland",2,0,"Friendly",78,71,77,66,77,66,74,70,70,70,65,70,"Organised","Organised",70,65,70,70,70,70,"Organised","Organised",70,70,55,70,25.47,25.43,1,7,11,11,4,0,-5,5,0,0,0,-15,0.0399999999999991
"27",2010-05-29,"Germany","Hungary",3,0,"Friendly",82,72,81,69,79,72,79,66,70,70,62,70,"Organised","Organised",37,60,59,50,70,70,"Organised","Organised",46,70,58,55,24.8,27.38,1,10,12,7,13,0,-8,-23,9,0,-24,3,-2.58
"28",2010-05-29,"Poland","Finland",0,0,"Friendly",72,72,69,67,68,69,67,70,70,70,65,55,"Organised","Organised",65,55,60,50,65,60,"Organised","Organised",70,70,60,45,26.97,27.7,0,0,2,-1,-3,0,10,10,10,5,0,15,-0.73
"29",2010-05-29,"Ukraine","Romania",3,2,"Friendly",76,75,73,71,72,70,70,74,55,70,70,65,"Organised","Organised",70,70,65,65,70,70,"Organised","Organised",70,50,55,30,26,27.23,1,1,2,2,-4,-15,5,0,0,0,20,25,-1.23
"30",2010-05-29,"Turkey","USA",1,2,"Friendly",78,74,77,72,77,71,74,70,70,70,65,50,"Organised","Free Form",70,45,70,30,70,40,"Organised","Free Form",70,50,55,70,25.47,25.4,0,4,5,6,4,0,15,25,40,30,20,-15,0.0700000000000003
"31",2010-06-01,"Australia","Denmark",1,0,"Friendly",75,75,71,72,71,72,68,74,70,50,70,50,"Organised","Organised",60,50,70,50,70,50,"Organised","Organised",70,50,50,50,27.5,27,1,0,-1,-1,-6,20,20,10,20,20,20,0,0.5
"32",2010-06-01,"Portugal","Cameroon",3,1,"Friendly",82,76,77,73,81,73,79,74,70,70,30,70,"Free Form","Organised",70,45,70,70,70,70,"Free Form","Organised",40,60,35,70,27.1,26,1,6,4,8,5,0,-40,25,0,0,-20,-35,1.1
"33",2010-06-02,"Greece","Paraguay",0,2,"Friendly",76,75,76,75,75,70,74,73,45,65,60,40,"Organised","Organised",70,40,30,65,30,70,"Organised","Organised",30,45,30,35,26.63,27.5,0,1,1,5,1,-20,20,30,-35,-40,-15,-5,-0.870000000000001
"34",2010-06-02,"Ukraine","Norway",1,0,"Friendly",76,75,73,75,72,73,70,72,55,70,70,70,"Organised","Organised",70,70,65,50,70,70,"Organised","Organised",70,70,55,70,26,27.33,1,1,-2,-1,-2,-15,0,0,15,0,0,-15,-1.33
"35",2010-06-03,"Italy","Mexico",1,2,"Friendly",83,77,83,73,81,74,80,74,67,65,30,45,"Organised","Organised",60,55,55,65,40,65,"Organised","Organised",30,60,30,65,27.17,26.2,0,6,10,7,6,2,-15,5,-10,-25,-30,-35,0.970000000000002
"36",2010-06-03,"Spain","Korea Republic",1,0,"Friendly",85,70,83,67,83,69,82,65,65,70,30,60,"Free Form","Organised",45,65,70,65,65,70,"Free Form","Organised",45,60,60,65,25.17,25.57,1,15,16,14,17,-5,-30,-20,5,-5,-15,-5,-0.399999999999999
"37",2010-06-04,"France","China",0,1,"Friendly",83,66,82,63,82,64,82,64,70,70,40,70,"Organised","Organised",50,40,70,45,30,70,"Organised","Organised",60,70,55,70,26.17,26.93,0,17,19,18,18,0,-30,10,25,-40,-10,-15,-0.759999999999998
"38",2010-06-04,"Slovenia","New Zealand",3,1,"Friendly",70,62,70,60,67,57,67,58,70,70,70,70,"Organised","Organised",65,70,55,70,70,70,"Organised","Organised",70,70,50,70,25.67,25.97,1,8,10,10,9,0,0,-5,-15,0,0,-20,-0.299999999999997
"39",2010-06-05,"Australia","USA",1,3,"Friendly",75,74,71,72,71,71,68,70,70,70,70,50,"Organised","Free Form",60,45,70,30,70,40,"Organised","Free Form",70,50,50,70,27.5,25.4,0,1,-1,0,-2,0,20,15,40,30,20,-20,2.1
"40",2010-06-05,"Netherlands","Hungary",6,1,"Friendly",80,72,81,69,80,72,76,66,50,70,35,70,"Organised","Organised",70,60,70,50,66,70,"Organised","Organised",60,70,35,55,26.4,27.38,1,8,12,8,10,-20,-35,10,20,-4,-10,-20,-0.98
"41",2010-06-05,"Denmark","South Africa",0,1,"Friendly",75,72,72,70,72,71,74,67,50,70,50,70,"Organised","Organised",50,60,50,65,50,70,"Organised","Organised",50,70,50,70,27,26.96,0,3,2,1,7,-20,-20,-10,-15,-20,-20,-20,0.0399999999999991
"42",2010-06-05,"Italy","Switzerland",1,1,"Friendly",83,76,83,74,81,74,80,73,67,50,30,65,"Organised","Organised",60,65,55,67,40,70,"Organised","Organised",30,60,30,45,27.17,25.7,0,7,9,7,7,17,-35,-5,-12,-30,-30,-15,1.47
"43",2010-06-08,"Spain","Poland",6,0,"Friendly",85,72,83,69,83,68,82,67,65,70,30,65,"Free Form","Organised",45,65,70,60,65,65,"Free Form","Organised",45,70,60,60,25.17,26.97,1,13,14,15,15,-5,-35,-20,10,0,-25,0,-1.8
"44",2010-06-11,"Mexico","South Africa",1,1,"FIFA World Cup",77,72,73,70,74,71,74,67,65,70,45,70,"Organised","Organised",55,60,65,65,65,70,"Organised","Organised",60,70,65,70,26.2,26.96,0,5,3,3,7,-5,-25,-5,0,-5,-10,-5,-0.760000000000002
"45",2010-06-11,"France","Uruguay",0,0,"FIFA World Cup",83,78,82,76,82,70,82,74,70,70,40,50,"Organised","Free Form",50,70,70,60,30,70,"Organised","Free Form",60,45,55,30,26.17,25.73,0,5,6,12,8,0,-10,-20,10,-40,15,25,0.440000000000001
"46",2010-06-12,"England","USA",1,1,"FIFA World Cup",83,74,81,72,84,71,82,70,70,70,70,50,"Organised","Free Form",70,45,55,30,70,40,"Organised","Free Form",70,50,65,70,26.93,25.4,0,9,9,13,12,0,20,25,25,30,20,-5,1.53
"47",2010-06-12,"Greece","Korea Republic",0,2,"FIFA World Cup",76,70,76,67,75,69,74,65,45,70,60,60,"Organised","Organised",70,65,30,65,30,70,"Organised","Organised",30,60,30,65,26.63,25.57,0,6,9,6,9,-25,0,5,-35,-40,-30,-35,1.06
"48",2010-06-13,"Germany","Australia",4,0,"FIFA World Cup",82,75,81,71,79,71,79,68,70,70,62,70,"Organised","Organised",37,60,59,70,70,70,"Organised","Organised",46,70,58,50,24.8,27.5,1,7,10,8,11,0,-8,-23,-11,0,-24,8,-2.7
"49",2010-06-14,"Italy","Paraguay",1,1,"FIFA World Cup",83,75,83,75,81,70,80,73,67,65,30,40,"Organised","Organised",60,40,55,65,40,70,"Organised","Organised",30,45,30,35,27.17,27.5,0,8,8,11,7,2,-10,20,-10,-30,-15,-5,-0.329999999999998
"50",2010-06-14,"Netherlands","Denmark",2,0,"FIFA World Cup",80,75,81,72,80,72,76,74,50,50,35,50,"Organised","Organised",70,50,70,50,66,50,"Organised","Organised",60,50,35,50,26.4,27,1,5,9,8,2,0,-15,20,20,16,10,-15,-0.600000000000001
"51",2010-06-16,"Uruguay","South Africa",3,0,"FIFA World Cup",78,72,76,70,70,71,74,67,70,70,50,70,"Free Form","Organised",70,60,60,65,70,70,"Free Form","Organised",45,70,30,70,25.73,26.96,1,6,6,-1,7,0,-20,10,-5,0,-25,-40,-1.23
"52",2010-06-16,"Spain","Switzerland",0,1,"FIFA World Cup",85,76,83,74,83,74,82,73,65,50,30,65,"Free Form","Organised",45,65,70,67,65,70,"Free Form","Organised",45,60,60,45,25.17,25.7,0,9,9,9,9,15,-35,-20,3,-5,-15,15,-0.529999999999998
"53",2010-06-17,"Argentina","Korea Republic",4,1,"FIFA World Cup",83,70,83,67,81,69,78,65,70,70,30,60,"Free Form","Organised",60,65,70,65,70,70,"Free Form","Organised",30,60,30,65,26.33,25.57,1,13,16,12,13,0,-30,-5,5,0,-30,-35,0.759999999999998
"54",2010-06-17,"France","Mexico",0,2,"FIFA World Cup",83,77,82,73,82,74,82,74,70,65,40,45,"Organised","Organised",50,55,70,65,30,65,"Organised","Organised",60,60,55,65,26.17,26.2,0,6,9,8,8,5,-5,-5,5,-35,0,-10,-0.0299999999999976
"55",2010-06-18,"USA","Slovenia",2,2,"FIFA World Cup",74,70,72,70,71,67,70,67,70,70,50,70,"Free Form","Organised",45,65,30,55,40,70,"Free Form","Organised",50,70,70,50,25.4,25.67,0,4,2,4,3,0,-20,-20,-25,-30,-20,20,-0.270000000000003
"56",2010-06-19,"Cameroon","Denmark",1,2,"FIFA World Cup",76,75,73,72,73,72,74,74,70,50,70,50,"Organised","Organised",45,50,70,50,70,50,"Organised","Organised",60,50,70,50,26,27,0,1,1,1,0,20,20,-5,20,20,10,20,-1
"57",2010-06-20,"Italy","New Zealand",1,1,"FIFA World Cup",83,62,83,60,81,57,80,58,67,70,30,70,"Organised","Organised",60,70,55,70,40,70,"Organised","Organised",30,70,30,70,27.17,25.97,0,21,23,24,22,-3,-40,-10,-15,-30,-40,-40,1.2
"58",2010-06-22,"Argentina","Greece",2,0,"FIFA World Cup",83,76,83,76,81,75,78,74,70,45,30,60,"Free Form","Organised",60,70,70,30,70,30,"Free Form","Organised",30,30,30,30,26.33,26.63,1,7,7,6,4,25,-30,-10,40,40,0,0,-0.300000000000001
"59",2010-06-22,"Uruguay","Mexico",1,0,"FIFA World Cup",78,77,76,73,70,74,74,74,70,65,50,45,"Free Form","Organised",70,55,60,65,70,65,"Free Form","Organised",45,60,30,65,25.73,26.2,1,1,3,-4,0,5,5,15,-5,5,-15,-35,-0.469999999999999
"60",2010-06-22,"France","South Africa",1,2,"FIFA World Cup",83,72,82,70,82,71,82,67,70,70,40,70,"Organised","Organised",50,60,70,65,30,70,"Organised","Organised",60,70,55,70,26.17,26.96,0,11,12,11,15,0,-30,-10,5,-40,-10,-15,-0.789999999999999
"61",2010-06-23,"England","Slovenia",1,0,"FIFA World Cup",83,70,81,70,84,67,82,67,70,70,70,70,"Organised","Organised",70,65,55,55,70,70,"Organised","Organised",70,70,65,50,26.93,25.67,1,13,11,17,15,0,0,5,0,0,0,15,1.26
"62",2010-06-24,"Netherlands","Cameroon",2,1,"FIFA World Cup",80,76,81,73,80,73,76,74,50,70,35,70,"Organised","Organised",70,45,70,70,66,70,"Organised","Organised",60,60,35,70,26.4,26,1,4,8,7,2,-20,-35,25,0,-4,0,-35,0.399999999999999
"63",2010-06-24,"Paraguay","New Zealand",0,0,"FIFA World Cup",75,62,75,60,70,57,73,58,65,70,40,70,"Organised","Organised",40,70,65,70,70,70,"Organised","Organised",45,70,35,70,27.5,25.97,0,13,15,13,15,-5,-30,-30,-5,0,-25,-35,1.53
"64",2010-06-25,"Brazil","Portugal",0,0,"FIFA World Cup",84,82,83,77,81,81,82,79,70,70,30,30,"Free Form","Free Form",60,70,70,70,70,70,"Free Form","Free Form",35,40,70,35,26.1,27.1,0,2,6,0,3,0,0,-10,0,0,-5,35,-1
"65",2010-06-26,"Uruguay","Korea Republic",2,1,"FIFA World Cup",78,70,76,67,70,69,74,65,70,70,50,60,"Free Form","Organised",70,65,60,65,70,70,"Free Form","Organised",45,60,30,65,25.73,25.57,1,8,9,1,9,0,-10,5,-5,0,-15,-35,0.16
"66",2010-06-27,"Argentina","Mexico",3,1,"FIFA World Cup",83,77,83,73,81,74,78,74,70,65,30,45,"Free Form","Organised",60,55,70,65,70,65,"Free Form","Organised",30,60,30,65,26.33,26.2,1,6,10,7,4,5,-15,5,5,5,-30,-35,0.129999999999999
"67",2010-06-27,"England","Germany",1,4,"FIFA World Cup",83,82,81,81,84,79,82,79,70,70,70,62,"Organised","Organised",70,37,55,59,70,70,"Organised","Organised",70,46,65,58,26.93,24.8,0,1,0,5,3,0,8,33,-4,0,24,7,2.13
"68",2010-06-29,"Spain","Portugal",1,0,"FIFA World Cup",85,82,83,77,83,81,82,79,65,70,30,30,"Free Form","Free Form",45,70,70,70,65,70,"Free Form","Free Form",45,40,60,35,25.17,27.1,1,3,6,2,3,-5,0,-25,0,-5,5,25,-1.93
"69",2010-07-02,"Brazil","Netherlands",1,2,"FIFA World Cup",84,80,83,81,81,80,82,76,70,50,30,35,"Free Form","Organised",60,70,70,70,70,66,"Free Form","Organised",35,60,70,35,26.1,26.4,0,4,2,1,6,20,-5,-10,0,4,-25,35,-0.299999999999997
"70",2010-07-03,"Argentina","Germany",0,4,"FIFA World Cup",83,82,83,81,81,79,78,79,70,70,30,62,"Free Form","Organised",60,37,70,59,70,70,"Free Form","Organised",30,46,30,58,26.33,24.8,0,1,2,2,-1,0,-32,23,11,0,-16,-28,1.53
"71",2010-07-03,"Spain","Paraguay",1,0,"FIFA World Cup",85,75,83,75,83,70,82,73,65,65,30,40,"Free Form","Organised",45,40,70,65,65,70,"Free Form","Organised",45,45,60,35,25.17,27.5,1,10,8,13,9,0,-10,5,5,-5,0,25,-2.33
"72",2010-07-06,"Netherlands","Uruguay",3,2,"FIFA World Cup",80,78,81,76,80,70,76,74,50,70,35,50,"Organised","Free Form",70,70,70,60,66,70,"Organised","Free Form",60,45,35,30,26.4,25.73,1,2,5,10,2,-20,-15,0,10,-4,15,5,0.669999999999998
"73",2010-07-07,"Spain","Germany",1,0,"FIFA World Cup",85,82,83,81,83,79,82,79,65,70,30,62,"Free Form","Organised",45,37,70,59,65,70,"Free Form","Organised",45,46,60,58,25.17,24.8,1,3,2,4,3,-5,-32,8,11,-5,-1,2,0.370000000000001
"74",2010-07-10,"Germany","Uruguay",3,2,"FIFA World Cup",82,78,81,76,79,70,79,74,70,70,62,50,"Organised","Free Form",37,70,59,60,70,70,"Organised","Free Form",46,45,58,30,24.8,25.73,1,4,5,9,5,0,12,-33,-1,0,1,28,-0.93
"75",2010-07-11,"Spain","Netherlands",1,0,"FIFA World Cup",85,80,83,81,83,80,82,76,65,50,30,35,"Free Form","Organised",45,70,70,70,65,66,"Free Form","Organised",45,60,60,35,25.17,26.4,1,5,2,3,6,15,-5,-25,0,-1,-15,25,-1.23
"76",2010-08-10,"Brazil","USA",2,0,"Friendly",84,74,83,72,81,71,82,70,70,70,30,50,"Free Form","Free Form",60,45,70,30,70,40,"Free Form","Free Form",35,50,70,70,26.1,25.4,1,10,11,10,12,0,-20,15,40,30,-15,0,0.700000000000003
"77",2010-08-11,"Switzerland","Austria",1,0,"Friendly",76,73,74,71,74,67,73,70,50,70,65,70,"Organised","Organised",65,65,67,65,70,65,"Organised","Organised",60,70,45,55,25.7,23.97,1,3,3,7,3,-20,-5,0,2,5,-10,-10,1.73
"78",2010-08-11,"Germany","Denmark",2,2,"Friendly",82,75,81,72,79,72,79,74,70,50,62,50,"Organised","Organised",37,50,59,50,70,50,"Organised","Organised",46,50,58,50,24.8,27,0,7,9,7,5,20,12,-13,9,20,-4,8,-2.2
"79",2010-08-11,"England","Hungary",2,1,"Friendly",83,72,81,69,84,72,82,66,70,70,70,70,"Organised","Organised",70,60,55,50,70,70,"Organised","Organised",70,70,65,55,26.93,27.38,1,11,12,12,16,0,0,10,5,0,0,10,-0.449999999999999
"80",2010-08-11,"Belgium","Finland",0,1,"Friendly",76,72,73,67,75,69,74,70,65,70,70,55,"Organised","Organised",55,55,65,50,60,60,"Organised","Organised",70,70,45,45,24.33,27.7,0,4,6,6,4,-5,15,0,15,0,0,0,-3.37
"81",2010-08-11,"Argentina","Ireland",1,0,"Friendly",83,75,83,72,81,74,78,73,70,70,30,70,"Free Form","Organised",60,70,70,70,70,70,"Free Form","Organised",30,70,30,70,26.33,26.83,1,8,11,7,5,0,-40,-10,0,0,-40,-40,-0.5
"82",2010-08-11,"Spain","Mexico",1,1,"Friendly",85,77,83,73,83,74,82,74,65,65,30,45,"Free Form","Organised",45,55,70,65,65,65,"Free Form","Organised",45,60,60,65,25.17,26.2,0,8,10,9,8,0,-15,-10,5,0,-15,-5,-1.03
"83",2010-08-11,"France","Norway",1,2,"Friendly",83,75,82,75,82,73,82,72,70,70,40,70,"Organised","Organised",50,70,70,50,30,70,"Organised","Organised",60,70,55,70,26.17,27.33,0,8,7,9,10,0,-30,-20,20,-40,-10,-15,-1.16
"84",2010-08-11,"Cameroon","Poland",3,0,"Friendly",76,72,73,69,73,68,74,67,70,70,70,65,"Organised","Organised",45,65,70,60,70,65,"Organised","Organised",60,70,70,60,26,26.97,1,4,4,5,7,0,5,-20,10,5,-10,10,-0.969999999999999
"85",2010-08-11,"Russia","Bulgaria",1,0,"Friendly",80,73,79,70,77,70,76,68,70,70,35,65,"Free Form","Organised",65,65,70,70,70,65,"Free Form","Organised",60,70,65,60,26.17,27.63,1,7,9,7,8,0,-30,0,0,5,-10,5,-1.46
"86",2010-08-11,"Australia","Slovenia",0,2,"Friendly",75,70,71,70,71,67,68,67,70,70,70,70,"Organised","Organised",60,65,70,55,70,70,"Organised","Organised",70,70,50,50,27.5,25.67,0,5,1,4,1,0,0,-5,15,0,0,0,1.83
"87",2010-08-11,"Sweden","Scotland",3,0,"Friendly",77,75,78,73,73,73,74,72,60,70,60,70,"Organised","Organised",70,70,70,50,70,70,"Organised","Organised",70,70,60,65,25.67,26.6,1,2,5,0,2,-10,-10,0,20,0,0,-5,-0.93
"88",2010-08-11,"Turkey","Romania",2,0,"Friendly",78,75,77,71,77,70,74,74,70,70,65,65,"Organised","Organised",70,70,70,65,70,70,"Organised","Organised",70,50,55,30,25.47,27.23,1,3,6,7,0,0,0,0,5,0,20,25,-1.76
"89",2010-08-11,"Netherlands","Ukraine",1,1,"Friendly",80,76,81,73,80,72,76,70,50,55,35,70,"Organised","Organised",70,70,70,65,66,70,"Organised","Organised",60,70,35,55,26.4,26,0,4,8,8,6,-5,-35,0,5,-4,-10,-20,0.399999999999999
"90",2010-09-03,"Germany","Belgium",1,0,"UEFA Euro qualification",82,76,81,73,79,75,79,74,70,65,62,70,"Organised","Organised",37,55,59,65,70,60,"Organised","Organised",46,70,58,45,24.8,24.33,1,6,8,4,5,5,-8,-18,-6,10,-24,13,0.470000000000002
"91",2010-09-03,"England","Bulgaria",4,0,"UEFA Euro qualification",83,73,81,70,84,70,82,68,70,70,70,65,"Organised","Organised",70,65,55,70,70,65,"Organised","Organised",70,70,65,60,26.93,27.63,1,10,11,14,14,0,5,5,-15,5,0,5,-0.699999999999999
"92",2010-09-03,"Northern Ireland","Slovenia",1,0,"UEFA Euro qualification",71,70,66,70,66,67,70,67,70,70,70,70,"Organised","Organised",65,65,70,55,70,70,"Organised","Organised",70,70,70,50,25.43,25.67,1,1,-4,-1,3,0,0,0,15,0,0,20,-0.240000000000002
"93",2010-09-03,"Sweden","Hungary",2,0,"UEFA Euro qualification",77,72,78,69,73,72,74,66,60,70,60,70,"Organised","Organised",70,60,70,50,70,70,"Organised","Organised",70,70,60,55,25.67,27.38,1,5,9,1,8,-10,-10,10,20,0,0,5,-1.71
"94",2010-09-03,"Switzerland","Australia",0,0,"Friendly",76,75,74,71,74,71,73,68,50,70,65,70,"Organised","Organised",65,60,67,70,70,70,"Organised","Organised",60,70,45,50,25.7,27.5,0,1,3,3,5,-20,-5,5,-3,0,-10,-5,-1.8
"95",2010-09-04,"Mexico","Ecuador",1,2,"Friendly",77,72,73,67,74,69,74,65,65,70,45,45,"Organised","Organised",55,45,65,65,65,70,"Organised","Organised",60,65,65,65,26.2,27.83,0,5,6,5,9,-5,0,10,0,-5,-5,0,-1.63
"96",2010-09-04,"Ukraine","Poland",1,1,"Friendly",76,72,73,69,72,68,70,67,55,70,70,65,"Organised","Organised",70,65,65,60,70,65,"Organised","Organised",70,70,55,60,26,26.97,0,4,4,4,3,-15,5,5,5,5,0,-5,-0.969999999999999
"97",2010-09-07,"Spain","Argentina",1,4,"Friendly",85,83,83,83,83,81,82,78,65,70,30,30,"Free Form","Free Form",45,60,70,70,65,70,"Free Form","Free Form",45,30,60,30,25.17,26.33,0,2,0,2,4,-5,0,-15,0,-5,15,30,-1.16
