"Index","date","strong_team","weak_team","strong_score","weak_score","tournament","strong_overall","weak_overall","strong_attack","weak_attack","strong_midfield","weak_midfield","strong_deffense","weak_deffense","strong_bu_speed","weak_bu_speed","strong_bu_passing","weak_bu_passing","strong_bu_positioning","weak_bu_positioning","strong_cc_crossing","weak_cc_crossing","strong_cc_passing","weak_cc_passing","strong_cc_shooting","weak_cc_shooting","strong_cc_positioning","weak_cc_positioning","strong_aggression","weak_aggression","strong_preassure","weak_preassure","strong_avg_age","weak_avg_age","win","dif_overall","dif_attack","dif_midfield","dif_deffense","dif_bu_speed","dif_bu_passing","dif_cc_crossing","dif_cc_passing","dif_cc_shooting","dif_aggression","dif_preassure","dif_avg_age"
"1",2010-03-02,"Brazil","Ireland",2,0,"Friendly",84,75,83,72,81,74,82,73,70,70,30,70,"Free Form","Organised",60,70,70,70,70,70,"Free Form","Organised",35,70,70,70,26.1,26.83,1,9,11,7,9,0,-40,-10,0,0,-35,0,-0.729999999999997
"2",2010-03-03,"Denmark","Austria",1,2,"Friendly",75,73,72,71,72,67,74,70,50,70,50,70,"Organised","Organised",50,65,50,65,50,65,"Organised","Organised",50,70,50,55,27,23.97,0,2,1,5,4,-20,-20,-15,-15,-15,-20,-5,3.03
"3",2010-03-03,"Croatia","Belgium",1,0,"Friendly",78,76,77,73,74,75,73,74,70,65,50,70,"Organised","Organised",30,55,70,65,55,60,"Free Form","Organised",55,70,45,45,26.37,24.33,1,2,4,-1,-1,5,-20,-25,5,-5,-15,0,2.04
"4",2010-03-03,"Spain","France",2,0,"Friendly",85,83,83,82,83,82,82,82,65,70,30,40,"Free Form","Organised",45,50,70,70,65,30,"Free Form","Organised",45,60,60,55,25.17,26.17,1,2,1,1,0,-5,-10,-5,0,35,-15,5,-1
"5",2010-03-03,"Argentina","Germany",1,0,"Friendly",83,82,83,81,81,79,78,79,70,70,30,62,"Free Form","Organised",60,37,70,59,70,70,"Free Form","Organised",30,46,30,58,26.33,24.8,1,1,2,2,-1,0,-32,23,11,0,-16,-28,1.53
"6",2010-03-03,"Russia","Hungary",1,1,"Friendly",80,72,79,69,77,72,76,66,70,70,35,70,"Free Form","Organised",65,60,70,50,70,70,"Free Form","Organised",60,70,65,55,26.17,27.38,0,8,10,5,10,0,-35,5,20,0,-10,10,-1.21
"7",2010-03-03,"Italy","Cameroon",0,0,"Friendly",83,76,83,73,81,73,80,74,67,70,30,70,"Organised","Organised",60,45,55,70,40,70,"Organised","Organised",30,60,30,70,27.17,26,0,7,10,8,6,-3,-40,15,-15,-30,-30,-40,1.17
"8",2010-03-03,"Mexico","New Zealand",2,0,"Friendly",77,62,73,60,74,57,74,58,65,70,45,70,"Organised","Organised",55,70,65,70,65,70,"Organised","Organised",60,70,65,70,26.2,25.97,1,15,13,17,16,-5,-25,-15,-5,-5,-10,-5,0.23
"9",2010-03-03,"Netherlands","USA",2,1,"Friendly",80,74,81,72,80,71,76,70,50,70,35,50,"Organised","Free Form",70,45,70,30,66,40,"Organised","Free Form",60,50,35,70,26.4,25.4,1,6,9,9,6,-20,-15,25,40,26,10,-35,1
"10",2010-03-03,"Bulgaria","Poland",0,2,"Friendly",73,72,70,69,70,68,68,67,70,70,65,65,"Organised","Organised",65,65,70,60,65,65,"Organised","Organised",70,70,60,60,27.63,26.97,0,1,1,2,1,0,0,0,10,0,0,0,0.66
"11",2010-03-03,"Portugal","China",2,0,"Friendly",82,66,77,63,81,64,79,64,70,70,30,70,"Free Form","Organised",70,40,70,45,70,70,"Free Form","Organised",40,70,35,70,27.1,26.93,1,16,14,17,15,0,-40,30,25,0,-30,-35,0.170000000000002
"12",2010-03-03,"Czech Republic","Scotland",0,1,"Friendly",78,75,73,73,74,73,74,72,50,70,70,70,"Organised","Organised",65,70,45,50,70,70,"Organised","Organised",70,70,70,65,27.73,26.6,0,3,0,1,2,-20,0,-5,-5,0,0,5,1.13
"13",2010-03-03,"Uruguay","Switzerland",3,1,"Friendly",78,76,76,74,70,74,74,73,70,50,50,65,"Free Form","Organised",70,65,60,67,70,70,"Free Form","Organised",45,60,30,45,25.73,25.7,1,2,2,-4,1,20,-15,5,-7,0,-15,-15,0.0300000000000011
"14",2010-03-31,"Paraguay","South Africa",1,1,"Friendly",75,72,75,70,70,71,73,67,65,70,40,70,"Organised","Organised",40,60,65,65,70,70,"Organised","Organised",45,70,35,70,27.5,26.96,0,3,5,-1,6,-5,-30,-20,0,0,-25,-35,0.539999999999999
"15",2010-05-07,"Mexico","Ecuador",0,0,"Friendly",77,72,73,67,74,69,74,65,65,70,45,45,"Organised","Organised",55,45,65,65,65,70,"Organised","Organised",60,65,65,65,26.2,27.83,0,5,6,5,9,-5,0,10,0,-5,-5,0,-1.63
