dataset,accuracy,algorithm,score,feat_sel,runtime,path,path_ids,criterion,max_depth
football-weak_team-weak_building.csv,71.37,CART,0.8366330476427835,symmetrical uncertainty,0 days 00:00:04.593779,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv', 'other-data/decision-trees-split/football/weak_building.csv']","['id', 'ft_id', 'id', 'wt_id']",gini,2.0
football-weak_team-weak_strategy-weak_change_creation.csv,68.85,CART,0.7232752783323927,symmetrical uncertainty,0 days 00:00:02.500093,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv', 'other-data/decision-trees-split/football/weak_strategy.csv', 'other-data/decision-trees-split/football/weak_change_creation.csv']","['id', 'ft_id', 'id', 'wt_id', 'id', 'ws_id']",entropy,1.0
football-strong_team-strong_building.csv,79.71,CART,0.7217308526039653,symmetrical uncertainty,0 days 00:00:01.775671,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv', 'other-data/decision-trees-split/football/strong_building.csv']","['id', 'ft_id', 'id', 'st_id']",entropy,3.0
football-strong_team-strong_strategy-strong_change_creation.csv,79.35,CART,0.5616650166179965,symmetrical uncertainty,0 days 00:00:02.673153,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv', 'other-data/decision-trees-split/football/strong_strategy.csv', 'other-data/decision-trees-split/football/strong_change_creation.csv']","['id', 'ft_id', 'id', 'st_id', 'id', 'ss_id']",entropy,3.0
football-strong_team.csv,81.43,CART,0.4302519325249589,symmetrical uncertainty,0 days 00:00:01.454105,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv']","['id', 'ft_id']",entropy,3.0
football-weak_team.csv,61.6,CART,0.40902882793142287,symmetrical uncertainty,0 days 00:00:01.546183,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv']","['id', 'ft_id']",entropy,1.0
football-differences_stats.csv,47.26,CART,0.21983368128948785,symmetrical uncertainty,0 days 00:00:02.551375,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/differences_stats.csv']","['id', 'ft_id']",entropy,1.0
football-weak_team-weak_strategy.csv,71.37,CART,0.20184123411764746,symmetrical uncertainty,0 days 00:00:02.076448,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv', 'other-data/decision-trees-split/football/weak_strategy.csv']","['id', 'ft_id', 'id', 'wt_id']",entropy,1.0
football-strong_team-strong_strategy.csv,79.35,CART,0.1998127375375163,symmetrical uncertainty,0 days 00:00:01.936651,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv', 'other-data/decision-trees-split/football/strong_strategy.csv']","['id', 'ft_id', 'id', 'st_id']",entropy,3.0
football-weak_team-weak_building.csv,56.02,ID3,0.8366330476427835,symmetrical uncertainty,0 days 00:00:26.992465,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv', 'other-data/decision-trees-split/football/weak_building.csv']","['id', 'ft_id', 'id', 'wt_id']",,
football-weak_team-weak_strategy-weak_change_creation.csv,58.2,ID3,0.7232752783323927,symmetrical uncertainty,0 days 00:00:42.333113,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv', 'other-data/decision-trees-split/football/weak_strategy.csv', 'other-data/decision-trees-split/football/weak_change_creation.csv']","['id', 'ft_id', 'id', 'wt_id', 'id', 'ws_id']",,
football-strong_team-strong_building.csv,69.57,ID3,0.7217308526039653,symmetrical uncertainty,0 days 00:00:17.982745,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv', 'other-data/decision-trees-split/football/strong_building.csv']","['id', 'ft_id', 'id', 'st_id']",,
football-strong_team-strong_strategy-strong_change_creation.csv,69.57,ID3,0.5616650166179965,symmetrical uncertainty,0 days 00:00:29.605491,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv', 'other-data/decision-trees-split/football/strong_strategy.csv', 'other-data/decision-trees-split/football/strong_change_creation.csv']","['id', 'ft_id', 'id', 'st_id', 'id', 'ss_id']",,
football-strong_team.csv,60.76,ID3,0.4302519325249589,symmetrical uncertainty,0 days 00:00:14.963342,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv']","['id', 'ft_id']",,
football-weak_team.csv,45.99,ID3,0.40902882793142287,symmetrical uncertainty,0 days 00:00:18.814423,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv']","['id', 'ft_id']",,
football-differences_stats.csv,42.62,ID3,0.21983368128948785,symmetrical uncertainty,0 days 00:00:47.798509,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/differences_stats.csv']","['id', 'ft_id']",,
football-weak_team-weak_strategy.csv,56.02,ID3,0.20184123411764746,symmetrical uncertainty,0 days 00:00:34.375291,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv', 'other-data/decision-trees-split/football/weak_strategy.csv']","['id', 'ft_id', 'id', 'wt_id']",,
football-strong_team-strong_strategy.csv,69.57,ID3,0.1998127375375163,symmetrical uncertainty,0 days 00:00:22.503657,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv', 'other-data/decision-trees-split/football/strong_strategy.csv']","['id', 'ft_id', 'id', 'st_id']",,
football-weak_team-weak_building.csv,69.71,XGBoost,0.8366330476427835,symmetrical uncertainty,0 days 00:00:19.732133,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv', 'other-data/decision-trees-split/football/weak_building.csv']","['id', 'ft_id', 'id', 'wt_id']",,1.0
football-weak_team-weak_strategy-weak_change_creation.csv,67.62,XGBoost,0.7232752783323927,symmetrical uncertainty,0 days 00:00:44.116836,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv', 'other-data/decision-trees-split/football/weak_strategy.csv', 'other-data/decision-trees-split/football/weak_change_creation.csv']","['id', 'ft_id', 'id', 'wt_id', 'id', 'ws_id']",,1.0
football-strong_team-strong_building.csv,79.35,XGBoost,0.7217308526039653,symmetrical uncertainty,0 days 00:00:22.785368,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv', 'other-data/decision-trees-split/football/strong_building.csv']","['id', 'ft_id', 'id', 'st_id']",,5.0
football-strong_team-strong_strategy-strong_change_creation.csv,79.71,XGBoost,0.5616650166179965,symmetrical uncertainty,0 days 00:00:41.664615,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv', 'other-data/decision-trees-split/football/strong_strategy.csv', 'other-data/decision-trees-split/football/strong_change_creation.csv']","['id', 'ft_id', 'id', 'st_id', 'id', 'ss_id']",,3.0
football-strong_team.csv,82.7,XGBoost,0.4302519325249589,symmetrical uncertainty,0 days 00:00:12.170777,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv']","['id', 'ft_id']",,1.0
football-weak_team.csv,62.87,XGBoost,0.40902882793142287,symmetrical uncertainty,0 days 00:00:12.445325,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv']","['id', 'ft_id']",,1.0
football-differences_stats.csv,53.16,XGBoost,0.21983368128948785,symmetrical uncertainty,0 days 00:00:43.759373,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/differences_stats.csv']","['id', 'ft_id']",,4.0
football-weak_team-weak_strategy.csv,65.15,XGBoost,0.20184123411764746,symmetrical uncertainty,0 days 00:00:25.571893,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv', 'other-data/decision-trees-split/football/weak_strategy.csv']","['id', 'ft_id', 'id', 'wt_id']",,2.0
football-strong_team-strong_strategy.csv,79.71,XGBoost,0.1998127375375163,symmetrical uncertainty,0 days 00:00:24.466010,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv', 'other-data/decision-trees-split/football/strong_strategy.csv']","['id', 'ft_id', 'id', 'st_id']",,4.0
football-strong_team.csv,81.43,CART,0.29452784030745927,information-gain,0 days 00:00:01.358891,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv']","['id', 'ft_id']",entropy,3.0
football-differences_stats.csv,47.26,CART,0.24720511080671526,information-gain,0 days 00:00:02.387845,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/differences_stats.csv']","['id', 'ft_id']",entropy,1.0
football-weak_team.csv,61.6,CART,0.11785308479392109,information-gain,0 days 00:00:01.470495,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv']","['id', 'ft_id']",entropy,1.0
football-strong_team-strong_strategy-strong_change_creation.csv,79.35,CART,0.030016185768061088,information-gain,0 days 00:00:02.539558,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv', 'other-data/decision-trees-split/football/strong_strategy.csv', 'other-data/decision-trees-split/football/strong_change_creation.csv']","['id', 'ft_id', 'id', 'st_id', 'id', 'ss_id']",entropy,3.0
football-weak_team-weak_strategy-weak_change_creation.csv,68.85,CART,0.02670814158320367,information-gain,0 days 00:00:02.360567,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv', 'other-data/decision-trees-split/football/weak_strategy.csv', 'other-data/decision-trees-split/football/weak_change_creation.csv']","['id', 'ft_id', 'id', 'wt_id', 'id', 'ws_id']",entropy,1.0
football-strong_team-strong_strategy.csv,79.35,CART,0.02616213111331811,information-gain,0 days 00:00:01.853577,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv', 'other-data/decision-trees-split/football/strong_strategy.csv']","['id', 'ft_id', 'id', 'st_id']",entropy,3.0
football-strong_team-strong_building.csv,80.07,CART,0.025452492779256986,information-gain,0 days 00:00:01.631129,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv', 'other-data/decision-trees-split/football/strong_building.csv']","['id', 'ft_id', 'id', 'st_id']",entropy,9.0
