strong_cc_crossing,strong_cc_passing,strong_cc_shooting,strong_cc_positioning,ss_id,id
60,70,70,Free Form,250391,67712
50,50,50,Organised,25166,80976
30,70,55,Free Form,644765,16075
45,70,65,Free Form,801698,99728
60,70,70,Free Form,529819,66205
65,70,70,Free Form,602996,86093
60,55,40,Organised,178917,59848
55,65,65,Organised,521497,5907
70,70,66,Organised,509649,95764
65,70,65,Organised,457290,72680
70,70,70,Free Form,527671,14909
65,45,70,Organised,148465,87152
70,60,70,Free Form,789236,92870
40,65,70,Organised,707360,90968
55,65,65,Organised,16604,39018
45,65,70,Organised,804093,36292
30,70,55,Free Form,76149,58184
55,65,60,Organised,296551,90262
70,70,70,Organised,740439,3167
60,70,70,Organised,239656,7131
70,55,70,Organised,46230,93215
65,70,65,Organised,202817,62068
70,70,70,Organised,346757,78674
65,45,70,Organised,617234,68125
70,70,66,Organised,372791,40570
70,70,70,Organised,509642,11349
37,59,70,Organised,31109,9064
65,60,65,Organised,224703,78899
70,65,70,Organised,636482,17649
70,70,70,Organised,491747,17726
60,70,70,Organised,665625,6802
70,70,70,Free Form,208627,50503
70,30,30,Organised,68855,53827
70,65,70,Organised,61886,35670
60,55,40,Organised,428487,87342
45,70,65,Free Form,443807,44059
50,70,30,Organised,610283,36354
65,55,70,Organised,311470,7963
60,70,70,Organised,75008,58835
70,70,66,Organised,278741,27333
50,50,50,Organised,749579,68200
60,55,40,Organised,559777,276
45,70,65,Free Form,310801,9633
55,65,65,Organised,804127,3115
50,70,30,Organised,250789,10958
70,55,70,Organised,413479,98437
70,30,30,Organised,87898,8360
37,59,70,Organised,637024,67186
60,55,40,Organised,402221,31805
70,70,66,Organised,438154,39216
70,60,70,Free Form,68785,62353
45,70,65,Free Form,250626,88467
60,70,70,Free Form,401404,83934
50,70,30,Organised,355040,50403
45,30,40,Free Form,436518,54574
45,70,70,Organised,396263,23011
60,55,40,Organised,170682,42639
60,70,70,Free Form,157014,61322
70,60,70,Free Form,484649,14345
50,70,30,Organised,762832,58377
70,55,70,Organised,546733,100050
70,70,66,Organised,750443,81915
40,65,70,Organised,6392,14932
60,70,70,Free Form,75755,32293
70,60,70,Free Form,638657,53299
60,70,70,Free Form,231526,27450
70,55,70,Organised,810334,61197
45,70,65,Free Form,462396,41975
60,70,70,Free Form,401924,82034
60,70,70,Free Form,438543,40956
45,70,65,Free Form,247493,14652
70,70,66,Organised,388704,52700
45,70,65,Free Form,675062,81695
37,59,70,Organised,139221,69788
45,70,65,Free Form,101439,19603
60,70,70,Free Form,353848,1772
65,67,70,Organised,720913,61691
37,59,70,Organised,807051,79055
70,55,70,Organised,770761,26997
55,65,60,Organised,575482,23169
60,70,70,Free Form,762261,83855
45,70,65,Free Form,449443,67854
50,70,30,Organised,714855,38335
45,70,70,Organised,439663,10592
65,70,70,Free Form,739509,70334
60,70,70,Organised,792444,57181
70,70,70,Organised,391249,46478
70,70,70,Organised,512058,75321
70,70,66,Organised,314435,73343
37,59,70,Organised,426375,39552
70,55,70,Organised,163787,38868
65,70,70,Organised,153828,56978
70,70,70,Organised,86211,85285
65,67,70,Organised,292131,12047
55,65,65,Organised,421848,80486
70,65,70,Organised,641180,21667
45,70,65,Free Form,161041,2117
40,65,70,Organised,584273,87067
30,70,55,Free Form,219748,37920
70,70,66,Organised,380655,14544
70,70,70,Free Form,310912,59775
60,70,70,Organised,309852,80752
70,55,70,Organised,637615,86680
70,70,70,Organised,36649,67834
65,45,70,Organised,119962,71812
37,59,70,Organised,188115,84573
65,70,70,Free Form,1046,6686
60,55,40,Organised,460785,59115
70,70,70,Free Form,221489,60859
60,70,70,Organised,13007,81271
50,70,30,Organised,344522,5845
45,30,40,Free Form,733658,65528
60,70,70,Free Form,586419,18588
55,65,60,Organised,541654,44203
70,60,70,Free Form,216202,95282
30,70,55,Free Form,195550,51765
45,65,70,Organised,135957,73599
55,50,60,Organised,549558,43463
70,70,66,Organised,428496,100650
40,65,70,Organised,229488,29597
45,70,65,Free Form,476378,8615
60,70,70,Free Form,525103,48383
70,30,30,Organised,381573,78446
65,45,70,Organised,50402,27658
70,55,70,Organised,434307,12384
70,70,70,Organised,342151,3082
60,55,40,Organised,667053,2839
70,70,66,Organised,302564,19229
45,70,65,Free Form,686565,41468
65,70,70,Free Form,524805,53780
45,30,40,Free Form,785328,7459
37,59,70,Organised,727053,46061
65,67,70,Organised,55801,89075
60,70,70,Organised,175657,71146
70,65,70,Organised,175512,49816
60,70,70,Free Form,282289,83568
55,65,60,Organised,572715,57072
30,70,55,Free Form,384040,8741
70,55,70,Organised,577885,976
60,70,70,Free Form,678740,17679
60,55,40,Organised,304075,37792
70,70,66,Organised,417221,77385
70,50,70,Organised,156807,63592
70,50,70,Organised,236917,22834
70,70,70,Organised,736107,27204
70,70,70,Organised,502308,84851
47,53,57,Organised,476363,47156
49,39,53,Organised,709083,34611
45,70,66,Free Form,780335,5123
66,65,50,Organised,17057,95087
37,50,56,Free Form,416251,6845
55,41,55,Organised,659047,45625
72,67,66,Organised,637772,8683
41,70,69,Free Form,387670,88945
45,54,58,Free Form,631381,60223
50,67,38,Organised,147370,70772
53,57,55,Organised,804570,40487
70,30,40,Organised,180136,68133
54,65,57,Organised,226894,87126
45,70,66,Free Form,325452,37150
54,39,53,Organised,232586,34425
70,69,54,Free Form,487609,11158
69,56,47,Organised,783753,60067
41,70,69,Free Form,671785,9410
56,41,54,Organised,698889,50455
68,37,40,Organised,479349,99630
53,57,55,Organised,339904,98303
56,41,54,Organised,467988,45614
68,37,40,Organised,176613,52569
53,57,55,Organised,612944,92231
69,56,47,Organised,518819,38851
45,54,58,Free Form,21746,39638
48,62,62,Organised,175304,24525
70,69,54,Free Form,722018,31643
37,50,56,Free Form,81134,42298
71,26,38,Organised,74712,58748
41,70,69,Free Form,786928,13462
45,54,58,Free Form,134529,64886
70,30,40,Organised,629159,58823
66,65,50,Organised,523599,31580
55,70,30,Organised,20401,83038
64,60,50,Organised,467659,57921
45,70,66,Free Form,674077,85897
50,67,38,Organised,687841,25083
68,37,40,Organised,87888,47088
68,37,40,Organised,588157,85236
54,65,57,Organised,405438,34352
45,54,58,Free Form,544795,36540
41,70,69,Free Form,532397,79483
45,54,58,Free Form,498882,36457
48,55,55,Organised,482050,14115
37,50,56,Free Form,648017,77013
52,46,38,Organised,217952,4075
55,48,51,Organised,8704,52998
47,53,57,Organised,806691,89567
68,37,40,Organised,808022,16135
48,62,62,Organised,373440,89100
53,57,55,Organised,258917,62157
64,60,50,Organised,96757,65334
68,37,40,Organised,192648,68639
52,46,38,Organised,665451,62367
69,56,47,Organised,718893,30439
47,53,57,Organised,25692,46773
71,68,38,Organised,12354,86123
45,70,66,Free Form,167042,64218
66,65,50,Organised,334158,83259
53,57,55,Organised,580170,26792
50,67,38,Organised,343975,94340
55,70,30,Organised,650087,97406
55,41,55,Organised,168906,81919
41,70,69,Free Form,765805,74931
45,54,58,Free Form,529083,16275
37,50,56,Free Form,591957,36165
64,60,50,Organised,184598,37755
48,55,55,Organised,463514,75870
41,60,55,Organised,113623,8436
53,57,55,Organised,156290,7535
70,69,54,Free Form,770186,5954
53,57,55,Organised,302526,6571
72,68,38,Organised,416384,8826
66,65,50,Organised,537024,63772
45,54,58,Free Form,808172,55645
37,50,56,Free Form,435074,5987
45,70,66,Free Form,354808,6742
45,31,39,Organised,253662,65635
47,53,57,Organised,785460,77565
64,60,50,Organised,390943,2718
50,67,38,Organised,161762,50615
55,70,30,Organised,250055,41176
45,70,66,Free Form,318387,20859
66,65,50,Organised,620540,21508
69,56,47,Organised,261338,56433
37,50,56,Free Form,719687,25295
48,55,55,Organised,150341,47681
71,68,38,Organised,95443,78509
48,62,62,Organised,788091,22256
50,67,38,Organised,779607,97820
53,57,55,Organised,506313,86394
70,30,40,Organised,719887,85030
66,65,50,Organised,598768,32372
41,60,55,Organised,810404,87457
45,31,39,Organised,355498,62728
37,38,49,Organised,705974,67898
74,39,61,Organised,45754,30927
63,70,48,Organised,440224,78197
67,51,51,Organised,482371,50095
48,48,63,Organised,330129,21142
57,56,46,Organised,685314,90647
67,38,43,Organised,181636,96106
65,65,50,Organised,311124,33936
50,50,65,Organised,108150,10411
52,68,61,Organised,335921,71866
52,28,48,Organised,750758,33351
50,65,50,Free Form,736620,88039
67,70,43,Organised,147489,72191
36,41,68,Free Form,443636,92489
50,65,54,Organised,301141,54668
50,65,54,Organised,108668,52978
68,52,50,Organised,692271,69666
63,70,48,Organised,759812,24690
44,57,54,Organised,283428,20797
49,48,39,Organised,577644,56969
60,47,52,Organised,318068,10346
45,67,66,Organised,779266,8737
