strong_cc_crossing,strong_cc_passing,strong_cc_shooting,strong_cc_positioning,ss_id,id
67,51,51,Organised,292349,39074
48,48,63,Organised,86359,83225
50,65,35,Organised,163232,44208
49,48,39,Organised,1029,73430
37,41,56,Free Form,725163,47602
45,37,32,Organised,802391,61121
44,57,54,Organised,637005,59224
65,65,50,Organised,156709,20089
36,41,68,Free Form,239766,100011
51,38,49,Organised,481546,18290
67,51,51,Organised,443069,16753
45,67,66,Organised,333665,71238
74,39,61,Organised,27439,22673
52,28,48,Organised,81001,88897
44,57,54,Organised,660481,27698
50,50,65,Organised,595576,8673
50,40,50,Organised,354388,11386
37,38,49,Organised,348735,96694
42,33,42,Organised,151654,91669
44,57,54,Organised,586378,87362
48,48,63,Organised,104599,64223
45,67,66,Organised,413394,95320
50,50,65,Organised,676619,81003
74,39,61,Organised,764221,74526
37,41,56,Free Form,183458,96356
50,65,50,Free Form,33954,74970
52,49,52,Organised,567696,69717
63,70,48,Organised,293352,91110
52,28,48,Organised,558506,52166
48,48,63,Organised,541637,2847
65,65,50,Organised,169743,82922
37,41,56,Free Form,754854,6506
67,51,51,Organised,325921,89600
63,70,48,Organised,551360,12438
48,48,63,Organised,221928,1414
52,28,48,Organised,540310,45137
37,41,56,Free Form,719077,10860
65,65,50,Organised,306025,47886
52,49,52,Organised,204609,77947
48,48,63,Organised,575923,96321
37,41,56,Free Form,235725,41007
67,51,51,Organised,252752,34365
37,41,56,Free Form,10402,64023
48,48,63,Organised,453810,8012
37,41,56,Free Form,54062,37157
49,48,39,Organised,736768,87694
45,67,66,Organised,480806,56683
74,39,61,Organised,281561,43897
50,65,54,Organised,424455,95496
67,51,51,Organised,451126,5358
52,49,52,Organised,514396,23519
48,48,63,Organised,701022,1340
58,68,40,Organised,212673,55755
45,50,62,Organised,665216,85673
60,47,52,Organised,233874,37953
63,70,48,Organised,65122,94727
55,40,55,Organised,526204,13326
67,70,43,Organised,394199,97597
44,57,54,Organised,175389,2934
44,57,54,Organised,457639,53675
65,65,50,Organised,33360,41383
50,65,50,Free Form,273621,41471
52,49,52,Organised,97547,91562
45,67,66,Organised,167578,88906
63,70,48,Organised,330418,13497
45,37,32,Organised,184814,96034
48,48,63,Organised,210146,49794
57,56,46,Organised,195133,57745
50,50,65,Organised,164510,67170
45,67,66,Organised,196971,93753
52,68,61,Organised,449895,24350
36,41,68,Free Form,464807,72824
50,65,50,Free Form,545878,17632
44,57,54,Organised,768099,87298
36,41,68,Free Form,702106,63934
51,38,49,Organised,387254,89950
50,65,54,Organised,516514,49016
48,48,63,Organised,441504,78366
42,33,42,Organised,215352,23447
52,28,48,Organised,598186,78953
45,37,32,Organised,150677,99892
49,48,39,Organised,756216,67971
57,56,46,Organised,41368,90273
36,41,68,Free Form,609257,26376
50,50,65,Organised,468539,40412
48,48,63,Organised,3220,29951
49,48,39,Organised,365838,91773
65,65,50,Organised,310931,14751
52,28,48,Organised,289537,76295
45,67,66,Organised,719402,49992
37,41,56,Free Form,632976,47380
67,51,51,Organised,234575,60990
73,59,53,Organised,451232,26713
44,57,54,Organised,407292,93992
52,68,61,Organised,307170,55838
50,40,50,Organised,302870,10365
65,65,50,Organised,552293,6366
78,22,30,Organised,457920,17982
48,48,63,Organised,493368,65720
50,65,50,Free Form,531836,23121
57,56,46,Organised,135596,66995
63,70,48,Organised,326438,30809
67,51,51,Organised,444816,48138
49,48,39,Organised,740067,20918
44,57,54,Organised,673433,73188
52,68,61,Organised,749493,12913
73,59,53,Organised,263978,48895
39,33,68,Organised,10010,17570
42,33,42,Organised,89858,30728
50,65,54,Organised,248088,44707
74,39,61,Organised,338235,41519
67,51,51,Organised,792130,45608
48,48,63,Organised,595129,1958
45,37,32,Organised,452415,734
50,40,50,Organised,418310,8980
65,65,50,Organised,294064,61018
52,28,48,Organised,27923,22205
55,48,55,Organised,334076,39001
37,41,56,Free Form,671445,13356
36,41,68,Free Form,687824,79884
65,65,50,Organised,594530,16247
36,41,68,Free Form,118828,79003
50,50,65,Organised,243159,491
56,53,56,Free Form,684701,74623
55,48,55,Organised,90657,20682
50,65,54,Organised,296313,51858
37,41,56,Free Form,433008,62143
39,33,68,Organised,146173,1346
32,50,67,Free Form,237429,67846
42,57,54,Organised,390340,18259
36,41,68,Free Form,46496,33976
32,50,67,Free Form,697142,52892
51,38,49,Organised,278449,55700
32,33,48,Organised,360139,2195
37,41,56,Free Form,287713,88466
50,40,50,Organised,525471,19520
58,68,40,Organised,615030,67138
62,55,39,Organised,37765,15751
49,48,39,Organised,150271,4299
50,50,65,Organised,606774,55994
42,57,54,Organised,599355,91959
58,68,40,Organised,317775,40703
42,57,54,Organised,93314,55447
41,54,61,Organised,604389,51844
57,51,51,Organised,178132,13289
37,56,33,Free Form,97623,41878
49,48,39,Organised,175103,15270
42,57,54,Organised,597909,1441
41,54,61,Organised,655821,83611
52,49,52,Organised,572871,56917
36,41,68,Free Form,294068,39564
39,33,68,Organised,151778,36527
25,32,32,Organised,163581,59098
70,66,53,Organised,85118,75390
50,65,54,Organised,458111,98840
50,35,65,Organised,337744,80639
52,33,48,Free Form,674398,49385
42,57,54,Organised,633436,99430
50,65,54,Organised,127978,42464
50,50,65,Organised,501454,44551
36,41,68,Free Form,668195,64979
37,41,56,Free Form,620278,65741
32,50,67,Free Form,624616,57369
70,66,53,Organised,324137,34090
37,41,56,Free Form,6391,53301
42,57,54,Organised,588363,49913
70,66,53,Organised,701696,70898
42,57,54,Organised,86668,5629
37,41,56,Free Form,603076,86670
37,41,56,Free Form,300713,70463
70,66,53,Organised,510271,5753
50,78,45,Organised,74565,23495
37,38,49,Organised,299827,2908
52,49,52,Organised,794531,72976
37,41,56,Free Form,646724,28216
57,51,51,Organised,328830,27933
67,64,43,Organised,291147,77289
41,54,61,Organised,195334,16250
56,53,56,Free Form,471777,36123
70,66,53,Organised,414021,65637
50,35,65,Organised,514826,74449
73,59,53,Organised,258931,7580
55,70,35,Organised,53592,31691
52,33,52,Organised,390963,66730
52,33,48,Free Form,713216,94593
39,33,68,Organised,101868,93935
42,57,54,Organised,471060,32537
25,32,32,Organised,301423,20720
50,65,54,Organised,1594,75463
50,50,65,Organised,704183,28809
37,41,56,Free Form,89720,48989
41,54,61,Organised,694174,63005
39,33,68,Organised,800283,46118
70,66,53,Organised,272565,39766
52,33,48,Free Form,694414,46194
32,33,48,Organised,419012,594
32,50,67,Free Form,438702,84431
55,48,55,Organised,630394,81981
37,56,33,Free Form,500128,83116
42,57,54,Organised,586754,17912
37,38,49,Organised,495681,61580
50,65,50,Organised,34299,78102
42,57,54,Organised,110161,27114
70,66,53,Organised,239960,37747
45,37,32,Organised,109358,57417
36,41,68,Free Form,499152,18864
49,48,39,Organised,123654,89608
37,41,56,Free Form,797280,49266
32,50,67,Free Form,386205,7009
58,68,40,Organised,448894,14364
50,35,65,Organised,659608,54601
36,41,68,Free Form,489269,96308
50,50,65,Organised,718798,89091
70,66,53,Organised,503821,73315
32,50,67,Free Form,365614,91407
52,49,52,Organised,87805,98921
41,54,61,Organised,458901,100634
62,55,39,Free Form,649455,13747
52,68,61,Organised,82439,78669
39,33,68,Organised,218936,88537
32,33,48,Organised,315485,86761
42,57,54,Organised,500254,12893
56,53,56,Free Form,52981,66786
50,65,54,Organised,730964,95000
57,51,51,Organised,558766,66755
52,49,52,Organised,303604,35005
50,50,65,Organised,453816,71453
50,35,65,Organised,312083,65678
41,54,61,Organised,263259,77483
45,37,32,Organised,785270,36340
62,55,39,Free Form,411228,50563
36,41,68,Free Form,712885,92720
37,56,33,Free Form,291878,51735
36,41,68,Free Form,364337,58728
51,38,49,Organised,18391,86108
57,51,51,Organised,609011,6261
60,47,52,Organised,140957,95648
41,54,61,Organised,506713,9329
45,37,32,Organised,348166,52368
52,33,48,Free Form,486650,23431
50,66,35,Organised,642481,6965
49,48,39,Organised,691759,62756
37,38,49,Organised,571288,80125
42,57,54,Organised,767684,94745
41,54,61,Organised,522777,59776
62,55,39,Free Form,364939,521
52,68,61,Organised,214694,85927
52,33,52,Organised,770564,5750
60,47,52,Organised,733133,97286
55,70,35,Organised,249913,52479
37,41,56,Free Form,805900,31189
52,33,48,Free Form,62493,58318
58,68,40,Organised,470222,21741
52,33,52,Organised,430303,90321
58,68,40,Organised,91499,96050
50,66,35,Organised,183299,18230
50,65,50,Organised,756679,80574
32,50,67,Organised,765964,1168
37,56,33,Organised,261969,34529
56,53,52,Organised,433320,82715
67,56,51,Organised,725686,51183
52,49,52,Organised,633854,33375
48,48,63,Organised,810452,80225
60,51,52,Organised,652532,53587
68,47,52,Organised,236346,36404
36,36,38,Organised,332872,30263
52,30,48,Free Form,411999,39600
36,41,68,Free Form,695621,61249
42,57,54,Organised,79407,46964
37,41,56,Free Form,430395,9787
49,48,52,Organised,761863,49529
48,48,63,Organised,375464,83276
62,55,39,Organised,210520,96564
56,53,52,Organised,406338,3208
51,38,49,Organised,708811,42978
49,48,52,Organised,44831,11263
66,51,57,Organised,15250,31469
52,49,52,Organised,419749,62621
39,33,68,Organised,684519,93854
68,52,50,Organised,188357,96534
67,56,51,Organised,155698,3083
66,51,57,Organised,654290,34128
37,41,56,Free Form,62370,19024
32,50,67,Organised,569736,96063
70,66,53,Organised,760742,78101
58,68,40,Organised,765597,78575
74,70,49,Organised,195303,56855
52,30,48,Free Form,652417,75645
52,49,52,Organised,333277,59251
48,48,63,Organised,605681,98968
37,56,33,Organised,114442,37483
49,48,52,Organised,618437,80679
56,53,52,Organised,181520,856
51,48,43,Organised,460727,56875
67,56,51,Organised,160351,38975
62,55,39,Organised,477956,15696
60,51,52,Organised,147584,60315
52,30,48,Free Form,46543,66218
36,41,68,Free Form,142213,48
52,30,48,Free Form,775790,83149
50,65,54,Organised,12254,100681
68,52,50,Organised,747432,7042
37,41,56,Free Form,253107,30815
50,50,65,Organised,440393,39691
70,66,53,Organised,67127,9733
51,48,43,Organised,577051,77585
48,48,63,Organised,222630,5193
42,57,54,Organised,785793,67224
74,70,49,Organised,477261,66734
62,55,39,Organised,526195,9299
37,41,56,Free Form,629067,10865
50,50,65,Organised,466853,47693
67,56,51,Organised,739211,42151
52,49,52,Organised,228967,77294
37,56,33,Organised,601424,48557
52,30,48,Free Form,153731,62183
37,41,56,Free Form,523395,73311
42,57,54,Organised,670319,59653
52,55,39,Free Form,46424,5816
73,59,53,Organised,374631,66868
70,66,53,Organised,664220,100227
52,49,52,Organised,794882,20405
37,56,33,Organised,623222,36112
46,52,63,Organised,391900,84390
42,57,54,Organised,398989,54906
50,50,65,Organised,160628,95473
52,55,39,Free Form,588707,41555
36,41,68,Free Form,111167,28322
37,56,33,Organised,437342,69418
42,57,54,Organised,97066,52449
46,52,63,Organised,734595,25544
36,41,68,Free Form,757774,65974
46,52,63,Organised,191951,67963
36,41,68,Free Form,312873,21596
42,57,54,Organised,115971,43441
46,52,63,Organised,90834,51930
56,53,52,Organised,235193,26271
56,53,52,Organised,500326,33506
56,53,52,Organised,416761,10814
56,53,52,Organised,412119,64241
49,48,52,Organised,488845,4735
49,48,52,Organised,29968,59664
49,48,52,Organised,626363,25915
49,48,52,Organised,246901,98
67,56,51,Organised,554340,78006
67,56,51,Organised,37257,19818
67,56,51,Organised,168186,36336
67,56,51,Organised,99731,73943
46,52,63,Free Form,74539,71635
46,52,63,Free Form,755334,67464
48,48,63,Organised,655024,34971
48,48,63,Organised,660168,98226
37,56,33,Organised,586342,19818
37,56,33,Organised,213890,65957
37,56,33,Free Form,544886,24638
37,56,33,Free Form,148672,97939
37,41,56,Free Form,150176,65595
37,41,56,Free Form,26984,23124
37,41,56,Free Form,426807,35092
37,41,56,Free Form,242060,18190
70,66,53,Organised,578772,53327
70,66,53,Organised,160294,95347
63,38,42,Organised,778573,74421
63,38,42,Organised,656236,34593
38,45,45,Free Form,438725,29649
38,45,45,Free Form,371767,56815
50,78,45,Organised,366784,62854
50,78,45,Organised,641400,44432
58,68,38,Organised,628437,11131
50,65,54,Organised,362471,98631
58,68,40,Organised,505602,69338
50,65,54,Organised,275818,89992
46,52,63,Free Form,8576,84267
46,52,63,Free Form,332126,42152
48,48,63,Organised,535403,25109
48,48,63,Organised,371330,76738
60,51,52,Organised,430909,33505
60,51,52,Organised,678588,97865
60,51,52,Organised,691319,78799
60,51,52,Organised,12747,84117
45,50,62,Organised,327220,21451
45,50,62,Organised,647113,84800
64,47,52,Organised,639795,33347
64,47,52,Organised,782568,55446
39,33,68,Organised,796930,81569
39,33,68,Organised,456018,68775
39,33,68,Organised,442195,853
39,33,68,Organised,149319,25442
34,51,37,Organised,422087,75478
32,50,67,Organised,619939,39103
34,51,37,Organised,705422,91311
32,50,67,Organised,688814,67366
67,56,51,Organised,193787,65011
67,56,51,Organised,315387,39712
67,56,51,Organised,213601,79264
67,56,51,Organised,146073,89998
52,55,39,Free Form,87137,5408
52,55,39,Free Form,365744,39780
52,55,39,Free Form,732099,41796
52,55,39,Free Form,792022,60515
58,68,38,Organised,153535,3443
58,68,38,Organised,642327,95005
58,68,40,Organised,311944,378
58,68,40,Organised,704572,50299
70,66,53,Organised,518878,66416
63,38,42,Organised,370309,82504
70,66,53,Organised,274649,24170
63,38,42,Organised,84385,67124
73,59,53,Organised,614240,25987
73,59,53,Organised,746120,77828
68,52,50,Organised,351107,16706
68,52,50,Organised,392672,54615
51,48,43,Organised,216842,47600
66,64,49,Organised,546977,5659
32,33,48,Organised,185308,22921
49,48,52,Organised,430593,33000
42,57,54,Organised,52813,34516
60,51,52,Organised,198059,49433
52,49,52,Organised,607649,25757
48,48,63,Organised,657076,60599
69,40,55,Organised,230941,93351
52,68,61,Organised,377727,99647
52,30,48,Free Form,401211,82517
69,40,55,Organised,309452,3633
48,48,63,Organised,286278,60412
60,51,52,Organised,795881,54882
36,36,38,Organised,81359,93401
52,55,39,Organised,490763,98741
42,57,54,Organised,379052,59210
64,47,52,Organised,97594,26258
32,33,48,Organised,771015,79852
69,40,55,Organised,787412,8540
50,40,50,Organised,95581,63476
50,50,65,Organised,525687,34937
66,64,49,Organised,326642,5450
67,56,51,Organised,527844,35448
37,36,45,Free Form,493353,7962
42,57,54,Organised,29409,41187
25,32,32,Organised,450961,48721
50,65,54,Organised,13186,28813
52,49,52,Organised,289634,53709
66,64,49,Organised,732842,62343
50,40,50,Organised,551726,87848
32,33,48,Organised,726991,10587
36,34,68,Free Form,285021,95676
51,38,49,Organised,247611,58642
67,56,51,Organised,391880,82309
50,50,65,Organised,413644,5830
48,48,63,Organised,628561,56208
73,59,53,Organised,214440,10337
73,59,53,Organised,653621,61009
68,52,50,Organised,267752,43752
73,59,53,Organised,669979,19936
38,45,45,Free Form,680283,36887
39,33,68,Organised,302821,33952
73,59,53,Organised,350725,25872
50,65,54,Organised,767873,20775
65,55,30,Organised,415493,52393
51,38,49,Organised,684570,34045
48,48,63,Organised,34977,33839
55,40,55,Organised,29930,24068
52,49,52,Organised,404293,74334
63,38,42,Organised,121808,23446
52,55,39,Organised,752816,46310
42,57,54,Organised,111560,74546
52,49,52,Organised,154410,32280
70,60,62,Organised,185898,97241
47,36,38,Organised,400631,42364
45,50,62,Organised,356894,54829
67,56,51,Organised,365542,8789
38,45,45,Free Form,344952,76292
41,38,57,Free Form,677877,61374
25,32,32,Organised,231545,56850
51,48,43,Organised,222402,49815
58,68,38,Organised,807474,93557
52,55,39,Organised,351556,56469
42,57,54,Organised,561964,73092
52,49,52,Organised,373083,37804
67,56,51,Organised,725173,50956
64,33,37,Organised,425837,43534
49,48,52,Organised,773834,12732
48,48,63,Organised,273043,33077
50,65,54,Organised,322437,14216
58,68,38,Organised,298100,42539
37,36,45,Free Form,307908,16484
36,34,68,Free Form,629127,20258
55,62,42,Organised,740183,92813
50,40,50,Organised,70666,6311
69,40,55,Organised,594140,9082
42,57,54,Organised,312505,80652
50,50,65,Organised,243600,19298
66,64,49,Organised,426879,4126
67,56,51,Organised,508572,24628
50,65,54,Organised,763295,76536
50,65,50,Organised,780689,11465
36,34,68,Free Form,792205,1022
52,30,48,Free Form,643305,59926
47,36,38,Free Form,514773,44658
42,57,54,Organised,461068,91409
50,65,50,Organised,48512,4439
50,65,54,Organised,129795,19544
58,68,38,Organised,90886,77435
34,51,37,Organised,431739,5935
42,57,54,Organised,394733,77573
50,50,65,Organised,631139,82526
50,65,54,Organised,506274,22055
50,65,50,Organised,21024,47380
36,34,68,Free Form,800994,49890
42,57,54,Organised,49385,89103
50,65,54,Organised,469812,89648
36,34,68,Free Form,311715,45540
50,65,50,Organised,41012,63525
36,34,68,Free Form,398701,24655
52,68,61,Organised,305651,43617
48,48,63,Organised,707337,99401
70,60,62,Organised,721809,55245
69,40,55,Organised,498980,83689
52,49,52,Organised,730556,18038
50,65,54,Organised,162457,20856
66,64,49,Organised,17921,90365
51,48,43,Organised,503630,25810
60,42,42,Organised,442072,12461
52,55,39,Organised,12699,87146
55,62,42,Organised,141311,48808
70,60,62,Organised,697973,72007
48,48,63,Organised,575171,28846
67,56,51,Organised,131835,26328
36,34,68,Free Form,307480,34074
64,33,37,Organised,45540,65449
36,34,68,Free Form,586503,40919
34,51,37,Organised,115847,76309
42,57,54,Organised,727495,52602
50,50,65,Organised,771481,58007
48,48,63,Organised,216684,48260
70,60,62,Organised,20702,72745
52,30,48,Free Form,323504,86828
69,40,55,Organised,621796,91537
47,36,38,Free Form,604087,64904
25,32,32,Organised,297127,82163
49,48,52,Organised,498688,38184
58,68,38,Organised,801553,30051
52,49,52,Organised,368180,92792
53,47,53,Organised,350030,92373
70,60,62,Organised,75110,64794
47,36,38,Free Form,793307,55891
42,57,54,Organised,354674,9177
50,65,50,Organised,477237,79459
60,42,42,Organised,686290,92460
52,55,39,Organised,546158,21314
36,34,68,Free Form,692266,60819
50,65,54,Organised,220612,58798
50,50,65,Organised,453999,26171
25,32,32,Organised,40680,79216
50,50,65,Organised,789428,44691
34,51,37,Organised,317824,350
52,68,61,Organised,328208,46517
36,34,68,Free Form,63364,56974
37,36,45,Free Form,439516,16043
48,48,63,Organised,291210,39881
50,65,50,Organised,694913,28434
41,38,57,Free Form,489339,44528
52,55,39,Organised,20640,81004
52,30,48,Free Form,255966,67947
64,33,37,Organised,291091,16499
52,68,61,Organised,374312,53705
51,48,43,Organised,189036,6930
42,57,54,Organised,327715,51492
36,34,68,Free Form,691196,1233
51,38,49,Organised,672892,33186
52,49,52,Organised,154734,65944
60,42,42,Organised,650731,52517
32,33,48,Organised,456471,68236
47,36,38,Free Form,87656,39599
49,48,52,Organised,31687,82312
34,51,37,Organised,174661,6209
25,32,32,Organised,68867,97206
64,33,37,Organised,785279,53419
73,59,53,Organised,537380,91708
50,50,65,Organised,252151,94624
36,34,68,Free Form,660454,85806
55,40,55,Organised,419221,51548
32,33,48,Organised,20755,40808
41,38,57,Free Form,315408,96103
50,65,50,Organised,734220,57325
45,58,58,Organised,416069,38818
46,53,40,Organised,424253,81019
42,57,54,Organised,126189,11972
58,68,37,Organised,431978,43891
59,59,43,Organised,429774,27548
52,49,52,Organised,370544,39560
52,30,48,Free Form,641490,16007
68,58,50,Organised,501158,53022
48,48,63,Organised,540031,12972
