strong_attack,strong_midfield,strong_deffense,strong_aggression,strong_preassure,st_id,id
83,81,82,35,70,3732,250391
72,72,74,50,50,7567,25166
77,74,73,55,45,3606,644765
83,83,82,45,60,641,801698
83,81,78,30,30,7327,529819
79,77,76,60,65,691,602996
83,81,80,30,30,22,178917
73,74,74,60,65,3096,521497
81,80,76,60,35,1437,509649
70,70,68,70,60,4014,457290
77,81,79,40,35,3161,527671
73,74,74,70,70,1342,148465
76,70,74,45,30,1457,789236
75,70,73,45,35,7769,707360
73,74,74,60,65,4154,16604
67,69,65,65,65,3006,804093
77,74,73,55,45,3995,76149
73,75,74,70,45,7581,296551
77,77,74,70,55,1392,740439
71,71,68,70,50,4864,239656
81,84,82,70,65,7297,46230
70,70,68,70,60,5769,202817
72,74,73,70,70,1979,346757
73,74,74,70,70,6101,617234
81,80,76,60,35,766,372791
77,77,74,70,55,988,509642
81,79,79,46,58,1672,31109
69,68,67,70,60,5061,224703
73,72,70,70,55,2974,636482
77,77,74,70,55,4895,491747
71,71,68,70,50,6750,665625
77,81,79,40,35,1982,208627
76,75,74,30,30,150,68855
73,72,70,70,55,5019,61886
83,81,80,30,30,5979,428487
83,83,82,45,60,7738,443807
82,82,82,60,55,1015,610283
70,67,67,70,50,1422,311470
71,71,68,70,50,842,75008
81,80,76,60,35,3359,278741
72,72,74,50,50,8,749579
83,81,80,30,30,2646,559777
83,83,82,45,60,4785,310801
73,74,74,60,65,3202,804127
82,82,82,60,55,4590,250789
81,84,82,70,65,6362,413479
76,75,74,30,30,5217,87898
81,79,79,46,58,3592,637024
83,81,80,30,30,1661,402221
81,80,76,60,35,1746,438154
76,70,74,45,30,7220,68785
83,83,82,45,60,6505,250626
83,81,78,30,30,6719,401404
82,82,82,60,55,7162,355040
72,71,70,50,70,5672,436518
73,73,74,60,70,4053,396263
83,81,80,30,30,4016,170682
83,81,78,30,30,5833,157014
76,70,74,45,30,5740,484649
82,82,82,60,55,2215,762832
81,84,82,70,65,4709,546733
81,80,76,60,35,6182,750443
75,70,73,45,35,3030,6392
83,81,82,35,70,4591,75755
76,70,74,45,30,6108,638657
83,81,78,30,30,7654,231526
81,84,82,70,65,2726,810334
83,83,82,45,60,1302,462396
83,81,82,35,70,7424,401924
83,81,78,30,30,4772,438543
83,83,82,45,60,6731,247493
81,80,76,60,35,91,388704
83,83,82,45,60,7455,675062
81,79,79,46,58,5702,139221
83,83,82,45,60,4794,101439
83,81,82,35,70,5145,353848
74,74,73,60,45,7291,720913
81,79,79,46,58,854,807051
81,84,82,70,65,2239,770761
73,75,74,70,45,7606,575482
83,81,78,30,30,3718,762261
83,83,82,45,60,393,449443
82,82,82,60,55,2922,714855
73,73,74,60,70,6768,439663
79,77,76,60,65,1694,739509
71,71,68,70,50,4098,792444
78,73,74,70,60,5223,391249
77,77,74,70,55,7095,512058
81,80,76,60,35,4473,314435
81,79,79,46,58,3385,426375
81,84,82,70,65,485,163787
66,66,70,70,70,904,153828
78,73,74,70,60,1266,86211
74,74,73,60,45,3826,292131
73,74,74,60,65,1401,421848
73,72,70,70,55,628,641180
83,83,82,45,60,1148,161041
75,70,73,45,35,242,584273
77,74,73,55,45,6708,219748
81,80,76,60,35,630,380655
77,81,79,40,35,1128,310912
71,71,68,70,50,7267,309852
81,84,82,70,65,6994,637615
77,77,74,70,55,4565,36649
73,74,74,70,70,1567,119962
81,79,79,46,58,7575,188115
79,77,76,60,65,1951,1046
83,81,80,30,30,7571,460785
77,81,79,40,35,4300,221489
71,71,68,70,50,2553,13007
82,82,82,60,55,6867,344522
72,71,70,50,70,4049,733658
83,81,82,35,70,812,586419
73,75,74,70,45,3162,541654
76,70,74,45,30,3025,216202
77,74,73,55,45,5115,195550
67,69,65,65,65,7626,135957
67,69,70,70,45,5232,549558
81,80,76,60,35,5385,428496
75,70,73,45,35,3530,229488
83,83,82,45,60,2119,476378
83,81,82,35,70,3208,525103
76,75,74,30,30,2997,381573
73,74,74,70,70,5997,50402
81,84,82,70,65,4420,434307
72,74,73,70,70,217,342151
83,81,80,30,30,4088,667053
81,80,76,60,35,6093,302564
83,83,82,45,60,5943,686565
79,77,76,60,65,2456,524805
72,71,70,50,70,5837,785328
81,79,79,46,58,110,727053
74,74,73,60,45,2173,55801
71,71,68,70,50,2255,175657
73,72,70,70,55,4491,175512
83,81,78,30,30,4639,282289
73,75,74,70,45,2104,572715
77,74,73,55,45,7198,384040
81,84,82,70,65,4405,577885
83,81,82,35,70,2997,678740
83,81,80,30,30,4820,304075
81,80,76,60,35,4664,417221
75,73,72,70,70,5368,156807
73,73,72,70,65,2428,236917
78,73,74,70,60,1717,736107
77,77,74,70,55,3034,502308
74,74,76,48,38,4602,476363
61,60,61,50,48,643,709083
80,80,76,62,47,5175,780335
81,79,79,55,34,2242,17057
83,83,82,46,61,713,416251
74,73,74,51,47,7651,659047
75,74,74,68,29,2133,637772
82,79,78,43,41,6659,387670
81,80,82,43,60,1107,631381
80,81,81,53,50,77,147370
80,80,79,58,48,5380,804570
72,72,73,70,20,5703,180136
79,74,74,58,30,1548,226894
80,80,76,62,47,3929,325452
66,68,69,60,43,6761,232586
79,78,79,42,35,1419,487609
76,76,75,50,31,2630,783753
82,79,78,43,41,2311,671785
74,72,71,47,38,4206,698889
75,72,74,47,47,2100,479349
80,80,79,58,48,148,339904
74,72,71,47,38,1097,467988
75,72,74,47,47,6837,176613
80,80,79,58,48,5679,612944
76,76,75,50,31,961,518819
81,80,82,43,60,1319,21746
81,82,80,49,47,1974,175304
79,78,79,42,35,106,722018
83,83,82,46,61,429,81134
70,70,68,60,34,4421,74712
82,79,78,43,41,5367,786928
81,80,82,43,60,1787,134529
72,72,73,70,20,1292,629159
81,79,79,55,34,4164,523599
78,76,74,40,30,1298,20401
76,73,74,60,59,594,467659
80,80,76,62,47,7005,674077
80,81,81,53,50,4910,687841
75,72,74,47,47,1280,87888
75,72,74,47,47,6094,588157
79,74,74,58,30,761,405438
81,80,82,43,60,4957,544795
82,79,78,43,41,7173,532397
81,80,82,43,60,6422,498882
77,75,74,48,45,2100,482050
83,83,82,46,61,2627,648017
72,71,73,29,44,1802,217952
74,73,72,59,42,4907,8704
74,74,76,48,38,6409,806691
75,72,74,47,47,7800,808022
81,82,80,49,47,2694,373440
80,80,79,58,48,3164,258917
76,73,74,60,59,1383,96757
75,72,74,47,47,7550,192648
72,71,73,29,44,5788,665451
76,76,75,50,31,7295,718893
74,74,76,48,38,3543,25692
73,74,73,57,50,5921,12354
80,80,76,62,47,4540,167042
81,79,79,55,34,1141,334158
80,80,79,58,48,6810,580170
80,81,81,53,50,7060,343975
78,76,74,40,30,1921,650087
74,73,74,51,47,3079,168906
82,79,78,43,41,3144,765805
81,80,82,43,60,7700,529083
83,83,82,46,61,7724,591957
76,73,74,60,59,5521,184598
77,75,74,48,45,900,463514
72,71,70,47,39,5245,113623
80,80,79,58,48,2200,156290
79,78,79,42,35,3552,770186
80,80,79,58,48,55,302526
72,70,68,60,41,6259,416384
81,79,79,55,34,1927,537024
81,80,82,43,60,3042,808172
83,83,82,46,61,4505,435074
80,80,76,62,47,4366,354808
71,73,71,45,48,3491,253662
74,74,76,48,38,246,785460
76,73,74,60,59,5492,390943
80,81,81,53,50,3686,161762
78,76,74,40,30,7090,250055
80,80,76,62,47,2812,318387
81,79,79,55,34,1363,620540
76,76,75,50,31,4477,261338
83,83,82,46,61,4604,719687
77,75,74,48,45,5729,150341
73,74,73,57,50,1020,95443
81,82,80,49,47,4766,788091
80,81,81,53,50,4071,779607
80,80,79,58,48,713,506313
72,72,73,70,20,4657,719887
81,79,79,55,34,1722,598768
72,71,70,47,39,3316,810404
71,73,71,45,48,252,355498
75,71,72,37,34,3993,705974
78,78,74,61,61,1471,45754
77,78,76,42,41,3313,440224
82,83,81,47,43,924,482371
82,84,80,47,44,5444,330129
76,77,78,42,48,915,685314
68,70,67,43,32,2724,181636
83,82,80,55,45,7304,311124
77,74,72,55,45,5262,108150
73,73,73,47,33,1453,335921
80,80,79,47,47,5515,750758
81,74,77,55,45,5970,736620
72,72,68,59,42,2395,147489
86,79,77,55,60,6784,443636
76,74,70,44,35,4721,301141
76,74,70,44,35,1532,108668
74,73,75,48,58,5198,692271
77,78,76,42,41,5471,759812
83,81,83,42,61,7676,283428
74,78,73,44,50,4842,577644
73,73,75,23,24,815,318068
81,81,75,49,42,692,779266
82,83,81,47,43,2482,292349
82,84,80,47,44,1489,86359
70,74,72,35,35,3020,163232
74,78,73,44,50,4779,1029
84,86,83,50,37,7274,725163
71,74,74,45,47,49,802391
83,81,83,42,61,4643,637005
83,82,80,55,45,5892,156709
86,79,77,55,60,4567,239766
73,73,73,44,47,7216,481546
82,83,81,47,43,753,443069
81,81,75,49,42,2604,333665
78,78,74,61,61,4096,27439
80,80,79,47,47,7112,81001
83,81,83,42,61,7502,660481
77,74,72,55,45,2754,595576
75,74,72,40,40,5173,354388
75,71,72,37,34,7188,348735
74,74,72,38,37,7411,151654
83,81,83,42,61,5548,586378
82,84,80,47,44,2238,104599
81,81,75,49,42,5848,413394
77,74,72,55,45,2875,676619
78,78,74,61,61,2970,764221
84,86,83,50,37,1732,183458
81,74,77,55,45,6607,33954
81,81,82,46,36,4438,567696
77,78,76,42,41,6949,293352
80,80,79,47,47,1963,558506
82,84,80,47,44,860,541637
83,82,80,55,45,5988,169743
84,86,83,50,37,1944,754854
82,83,81,47,43,5442,325921
77,78,76,42,41,7355,551360
82,84,80,47,44,1014,221928
80,80,79,47,47,6617,540310
84,86,83,50,37,6153,719077
83,82,80,55,45,7663,306025
81,81,82,46,36,1751,204609
82,84,80,47,44,5360,575923
84,86,83,50,37,612,235725
82,83,81,47,43,3679,252752
84,86,83,50,37,5385,10402
82,84,80,47,44,1486,453810
84,86,83,50,37,2457,54062
74,78,73,44,50,3428,736768
81,81,75,49,42,4888,480806
78,78,74,61,61,4862,281561
76,74,70,44,35,7499,424455
82,83,81,47,43,3963,451126
81,81,82,46,36,2545,514396
82,84,80,47,44,2617,701022
76,73,74,58,46,1693,212673
65,69,70,50,40,6511,665216
73,73,75,23,24,1803,233874
77,78,76,42,41,387,65122
73,73,73,50,40,7243,526204
72,72,68,59,42,633,394199
83,81,83,42,61,2344,175389
83,81,83,42,61,1318,457639
83,82,80,55,45,1958,33360
81,74,77,55,45,152,273621
81,81,82,46,36,2672,97547
81,81,75,49,42,5911,167578
