strong_attack,strong_midfield,strong_deffense,strong_aggression,strong_preassure,st_id,id
77,78,76,42,41,930,330418
71,74,74,45,47,3885,184814
82,84,80,47,44,6395,210146
76,77,78,42,48,6831,195133
77,74,72,55,45,690,164510
81,81,75,49,42,3847,196971
73,73,73,47,33,4820,449895
86,79,77,55,60,4286,464807
81,74,77,55,45,5693,545878
83,81,83,42,61,525,768099
86,79,77,55,60,4924,702106
73,73,73,44,47,7222,387254
76,74,70,44,35,4559,516514
82,84,80,47,44,6230,441504
74,74,72,38,37,136,215352
80,80,79,47,47,7154,598186
71,74,74,45,47,201,150677
74,78,73,44,50,6191,756216
76,77,78,42,48,2620,41368
86,79,77,55,60,7022,609257
77,74,72,55,45,2402,468539
82,84,80,47,44,6467,3220
74,78,73,44,50,2180,365838
83,82,80,55,45,1679,310931
80,80,79,47,47,5224,289537
81,81,75,49,42,2282,719402
84,86,83,50,37,3420,632976
82,83,81,47,43,1773,234575
80,75,73,51,51,750,451232
83,81,83,42,61,2389,407292
73,73,73,47,33,1009,307170
75,74,72,40,40,4999,302870
83,82,80,55,45,2616,552293
70,69,68,39,34,1356,457920
82,84,80,47,44,6507,493368
81,74,77,55,45,1695,531836
76,77,78,42,48,1977,135596
77,78,76,42,41,237,326438
82,83,81,47,43,4248,444816
74,78,73,44,50,3187,740067
83,81,83,42,61,3351,673433
73,73,73,47,33,3960,749493
80,75,73,51,51,445,263978
75,77,73,59,42,4159,10010
74,74,72,38,37,1222,89858
76,74,70,44,35,3386,248088
78,78,74,61,61,2276,338235
82,83,81,47,43,3726,792130
82,84,80,47,44,76,595129
71,74,74,45,47,4126,452415
75,74,72,40,40,4016,418310
83,82,80,55,45,6901,294064
80,80,79,47,47,2662,27923
74,69,69,42,35,2362,334076
84,86,83,50,37,2987,671445
86,79,77,55,60,4272,687824
80,82,81,55,45,7542,594530
86,80,79,55,60,6237,118828
82,73,76,55,45,5458,243159
72,74,75,42,43,6237,684701
72,67,71,42,35,7410,90657
77,76,73,44,35,6640,296313
86,86,83,50,37,3252,433008
83,74,74,59,42,5128,146173
81,76,79,46,31,3180,237429
82,82,83,37,61,7143,390340
86,80,79,55,60,3195,46496
81,76,79,46,31,154,697142
68,74,74,44,47,2282,278449
79,73,70,45,33,2257,360139
86,86,83,50,37,189,287713
75,74,72,40,40,891,525471
77,75,73,58,46,3407,615030
81,82,75,60,50,2074,37765
76,77,75,44,50,2996,150271
82,73,76,55,45,2678,606774
83,81,82,37,61,7575,599355
79,74,74,58,46,7663,317775
83,81,82,37,61,2038,93314
85,84,82,56,47,2621,604389
84,80,80,49,47,3787,178132
80,78,80,42,48,5989,97623
78,76,74,44,50,7361,175103
83,80,83,37,61,92,597909
85,84,82,56,47,5028,655821
82,80,80,46,36,7304,572871
86,79,78,55,60,1138,294068
80,74,73,59,42,899,151778
74,69,70,44,33,1200,163581
81,83,81,59,46,173,85118
77,75,72,44,35,3296,458111
78,70,69,45,55,4369,337744
80,80,80,47,47,689,674398
83,80,83,37,61,7462,633436
77,75,72,44,35,3308,127978
79,74,75,55,45,7475,501454
86,79,78,55,60,6678,668195
86,86,83,50,37,6975,620278
82,75,79,46,31,1887,624616
81,83,81,59,46,7299,324137
86,86,83,50,37,1894,6391
83,80,83,37,61,4938,588363
81,83,81,59,46,6834,701696
83,80,83,37,61,6516,86668
86,86,83,50,37,5745,603076
84,86,83,50,37,4567,300713
80,84,81,59,46,2458,510271
74,69,70,48,61,5663,74565
73,75,74,37,34,2,299827
82,78,80,46,36,6864,794531
84,86,83,50,37,3435,646724
84,79,81,49,47,2091,328830
72,69,71,59,42,3371,291147
85,84,82,56,47,7603,195334
73,74,75,42,43,3286,471777
80,84,81,59,46,891,414021
76,69,69,45,55,5194,514826
79,77,72,51,51,3223,258931
78,78,76,35,35,6327,53592
79,74,67,45,43,1110,390963
82,82,80,47,47,62,713216
81,75,73,59,42,1754,101868
83,81,82,37,61,3665,471060
74,69,70,44,33,7767,301423
78,76,72,44,35,7512,1594
80,75,77,55,45,2321,704183
84,86,83,50,37,4210,89720
85,84,82,56,47,815,694174
81,75,73,59,42,5081,800283
80,84,81,59,46,2743,272565
82,82,80,47,47,1692,694414
79,73,70,45,33,7479,419012
84,77,78,46,31,1964,438702
73,69,69,42,35,7199,630394
79,79,79,42,48,7132,500128
83,81,82,37,61,4033,586754
73,75,74,37,34,7115,495681
72,73,66,55,35,1960,34299
83,81,82,37,61,5383,110161
80,84,81,59,46,1325,239960
75,77,75,45,47,1994,109358
85,80,78,55,60,563,499152
78,76,74,44,50,6831,123654
84,86,83,50,37,4431,797280
84,77,78,46,31,2529,386205
76,73,74,58,46,4824,448894
76,69,69,45,55,6426,659608
85,80,78,55,60,171,489269
80,75,77,55,45,1442,718798
80,84,81,59,46,742,503821
84,77,78,46,31,832,365614
82,78,80,46,36,4373,87805
85,84,82,56,47,681,458901
85,79,75,62,67,5492,649455
79,71,72,47,33,4714,82439
81,75,73,59,42,7061,218936
79,73,70,45,33,4329,315485
83,81,82,37,61,462,500254
73,74,75,42,43,4027,52981
78,76,72,44,35,511,730964
84,79,81,49,47,1617,558766
82,78,80,46,36,5973,303604
80,75,77,55,45,2705,453816
76,69,69,45,55,7405,312083
85,84,82,56,47,4171,263259
75,77,75,45,47,6115,785270
85,79,75,62,67,6679,411228
85,80,78,55,60,5931,712885
79,79,79,42,48,3082,291878
85,80,78,55,60,6781,364337
72,74,75,44,47,4175,18391
84,79,81,49,47,3891,609011
74,72,76,32,24,1557,140957
85,84,82,56,47,3046,506713
75,77,75,45,47,2630,348166
82,82,80,47,47,1651,486650
74,77,67,35,35,3254,642481
78,76,74,44,50,2290,691759
73,75,74,37,34,5045,571288
83,81,82,37,61,4418,767684
85,84,82,56,47,6750,522777
85,79,75,62,67,5947,364939
79,71,72,47,33,6934,214694
79,74,67,45,43,5228,770564
74,72,76,32,24,4838,733133
78,78,76,35,35,1501,249913
84,86,83,50,37,6086,805900
82,82,80,47,47,6681,62493
76,73,74,58,46,6738,470222
79,74,67,45,43,1972,430303
76,73,74,58,46,1247,91499
75,77,68,35,35,4544,183299
72,73,66,55,35,7053,756679
84,74,77,46,31,4935,765964
82,79,79,42,48,6921,261969
73,71,72,44,47,6064,433320
82,80,80,47,43,135,725686
85,80,81,46,36,278,633854
79,83,81,57,44,269,810452
74,72,75,37,24,1232,652532
72,71,67,47,47,5676,236346
81,74,69,38,36,4017,332872
80,81,80,47,47,317,411999
85,81,79,55,60,5781,695621
82,81,84,37,61,5270,79407
86,85,83,50,37,7711,430395
73,74,74,47,50,1512,761863
83,85,81,57,44,6496,375464
86,79,75,55,57,7214,210520
73,74,74,44,47,2245,406338
75,74,75,44,47,924,708811
76,79,75,47,50,3506,44831
69,69,69,45,55,1787,15250
83,82,80,46,36,4978,419749
81,73,72,59,42,3239,684519
75,76,76,48,58,5519,188357
83,79,79,47,43,3547,155698
71,71,69,45,55,2969,654290
86,86,83,50,37,2847,62370
83,76,76,46,31,4201,569736
82,82,80,59,46,3416,760742
79,73,75,58,46,4022,765597
78,77,75,47,47,5136,195303
82,79,80,47,47,225,652417
84,80,80,46,36,3934,333277
82,85,81,57,44,722,605681
80,80,79,42,48,668,114442
76,79,76,47,50,1799,618437
73,74,73,44,47,7030,181520
74,77,76,45,47,3609,460727
83,79,79,47,43,3003,160351
84,77,74,55,57,133,477956
74,72,75,37,24,5113,147584
82,79,80,47,47,67,46543
86,81,79,55,60,6001,142213
82,79,80,47,47,2303,775790
76,75,73,44,35,5051,12254
75,75,76,48,58,1653,747432
86,86,83,50,37,6494,253107
80,78,75,55,45,5301,440393
82,82,80,59,46,5424,67127
74,77,76,45,47,2748,577051
82,85,81,57,44,1990,222630
82,81,84,37,61,1883,785793
78,77,75,47,47,5991,477261
84,77,74,55,57,4700,526195
86,86,83,50,37,5174,629067
80,78,75,55,45,2181,466853
83,79,79,47,43,2261,739211
82,80,80,46,36,7730,228967
80,80,79,42,48,1753,601424
82,79,80,47,47,1636,153731
86,86,83,50,37,6101,523395
82,81,84,37,61,2850,670319
84,76,75,50,48,7215,46424
78,77,75,51,51,7601,374631
80,82,80,59,46,1413,664220
82,80,80,46,36,943,794882
80,80,79,42,48,2038,623222
82,85,81,57,50,496,391900
82,81,84,37,61,3513,398989
77,78,75,55,45,1808,160628
84,76,75,50,48,5040,588707
84,80,80,55,60,7123,111167
80,80,79,42,48,5481,437342
82,81,84,37,61,28,97066
82,85,81,57,50,5472,734595
84,80,80,55,60,477,757774
82,85,81,57,50,7435,191951
84,80,80,55,60,6669,312873
82,81,84,37,61,2630,115971
82,85,81,57,50,7449,90834
73,73,73,44,47,2269,235193
73,73,73,44,47,4394,500326
73,74,73,44,47,861,416761
73,74,73,44,47,225,412119
76,79,76,47,50,3296,488845
77,78,77,47,50,1272,29968
76,79,76,47,50,6768,626363
77,78,77,47,50,422,246901
83,78,79,47,43,3360,554340
83,78,79,47,43,3842,37257
83,79,79,47,43,1151,168186
83,79,79,47,43,6918,99731
84,82,82,57,50,1627,74539
84,82,82,57,50,5618,755334
84,83,82,57,44,2295,655024
84,83,82,57,44,5813,660168
75,80,80,42,48,182,586342
75,80,80,42,48,1955,213890
76,80,80,42,48,3466,544886
76,80,80,42,48,797,148672
86,84,83,50,37,5794,150176
86,84,83,50,37,4553,26984
86,84,83,50,37,1667,426807
86,84,83,50,37,7114,242060
81,79,82,59,46,6873,578772
81,79,82,59,46,5703,160294
81,79,82,44,34,4956,778573
81,79,82,44,34,6910,656236
70,70,70,48,61,1800,438725
70,70,70,48,61,5743,371767
70,71,69,48,61,6400,366784
70,71,69,48,61,1610,641400
78,74,74,58,46,5664,628437
76,75,70,44,35,94,362471
79,73,74,58,46,1866,505602
76,75,70,44,35,7352,275818
84,82,82,57,50,3502,8576
84,82,82,57,50,789,332126
84,83,82,57,44,291,535403
84,83,82,57,44,4392,371330
74,72,75,37,24,6871,430909
74,72,75,37,24,986,678588
74,72,75,37,24,7645,691319
74,72,75,37,24,3015,12747
71,69,69,50,40,3472,327220
71,69,69,50,40,4276,647113
70,71,66,47,47,5992,639795
70,71,66,47,47,3155,782568
81,73,72,59,42,5916,796930
78,75,75,59,42,6108,456018
81,73,72,59,42,7220,442195
78,75,75,59,42,6404,149319
78,75,76,56,44,5154,422087
82,75,76,46,31,5520,619939
78,75,76,56,44,1986,705422
82,75,76,46,31,3572,688814
83,78,79,47,43,653,193787
83,79,79,47,43,344,315387
83,78,79,47,43,3737,213601
83,79,79,47,43,2090,146073
84,76,74,50,48,4031,87137
83,77,76,50,48,296,365744
84,76,74,50,48,1779,732099
83,77,76,50,48,3390,792022
78,74,74,58,46,7593,153535
78,74,74,58,46,5601,642327
79,73,74,58,46,3572,311944
79,73,74,58,46,3407,704572
81,79,82,59,46,3911,518878
81,79,82,44,34,2565,370309
81,79,82,59,46,6267,274649
81,79,82,44,34,6906,84385
77,74,75,51,51,4372,614240
77,77,74,51,51,2646,746120
77,73,76,48,58,6569,351107
77,73,76,48,58,3736,392672
75,77,76,45,47,1104,216842
78,76,75,47,47,6809,546977
77,73,69,45,33,6562,185308
77,78,77,47,50,4583,430593
83,82,82,37,61,3199,52813
76,72,75,37,24,150,198059
85,80,80,46,36,5500,607649
83,83,79,57,44,805,657076
73,71,72,47,47,2968,230941
65,72,70,47,33,5041,377727
83,79,79,47,47,7707,401211
73,71,72,47,47,7582,309452
83,83,79,57,44,2571,286278
76,72,75,37,24,5486,795881
74,74,73,38,36,3315,81359
85,76,76,50,48,5205,490763
82,80,81,37,61,5969,379052
70,70,68,47,47,1644,97594
72,69,69,45,33,1695,771015
73,71,71,47,47,4211,787412
75,76,73,40,40,5046,95581
81,79,75,55,45,4964,525687
77,74,74,47,47,3609,326642
82,77,78,47,43,3292,527844
80,79,79,42,48,183,493353
82,80,81,37,61,7785,29409
73,64,70,44,33,1185,450961
78,74,74,44,35,4886,13186
85,80,80,46,36,5624,289634
77,74,74,47,47,5709,732842
75,76,73,40,40,2684,551726
72,69,69,45,33,6193,726991
87,80,80,55,60,3897,285021
75,73,76,44,47,1056,247611
82,77,78,47,43,1287,391880
81,79,75,55,45,1171,413644
83,83,79,57,44,2101,628561
78,77,73,51,51,2792,214440
77,72,72,51,51,2100,653621
76,65,74,48,58,6848,267752
77,72,72,51,51,4675,669979
73,72,67,48,51,7321,680283
77,72,74,59,42,2310,302821
77,72,72,51,51,3916,350725
76,75,73,44,35,4666,767873
74,69,67,55,48,1046,415493
75,73,75,44,47,3078,684570
79,84,80,57,44,7175,34977
71,72,70,50,40,5150,29930
82,81,80,46,36,188,404293
78,76,82,44,34,5341,121808
80,80,78,50,48,1504,752816
82,80,82,37,61,5665,111560
82,79,80,46,36,5924,154410
75,72,76,56,30,6192,185898
80,71,74,38,37,6576,400631
68,67,68,50,40,6996,356894
82,78,79,47,43,5715,365542
64,69,70,48,51,2419,344952
80,84,82,47,37,1749,677877
73,69,68,44,33,96,231545
75,76,75,45,47,2811,222402
78,76,74,58,46,2704,807474
81,80,78,50,48,7576,351556
82,81,82,37,61,577,561964
82,80,79,46,36,660,373083
82,78,79,47,43,6263,725173
80,75,72,59,42,6749,425837
78,78,74,47,50,3765,773834
82,80,82,57,44,6449,273043
77,74,73,44,35,3815,322437
72,69,69,58,46,5462,298100
79,81,79,42,48,3505,307908
86,80,81,55,60,810,629127
72,72,67,47,47,3179,740183
75,74,71,40,40,3851,70666
72,71,71,47,47,3428,594140
82,81,82,37,61,3357,312505
81,79,75,55,45,7496,243600
78,77,75,47,47,3948,426879
82,78,79,47,43,7300,508572
77,74,73,44,35,5075,763295
72,73,67,45,35,4626,780689
86,80,81,55,60,3071,792205
83,80,77,47,47,5772,643305
80,74,74,38,37,7375,514773
82,81,82,37,61,653,461068
77,68,69,45,35,1501,48512
77,74,73,44,35,1903,129795
72,69,69,58,46,3323,90886
75,74,77,56,44,7269,431739
82,81,82,37,61,5428,394733
81,79,75,55,45,2733,631139
77,74,73,44,35,1229,506274
77,68,69,45,35,1989,21024
86,80,81,55,60,3851,800994
82,80,83,37,61,1910,49385
76,76,73,44,35,873,469812
86,80,81,55,60,5212,311715
78,69,72,45,35,331,41012
86,80,81,55,60,2439,398701
69,72,70,47,33,6769,305651
82,82,78,57,44,1515,707337
78,73,74,56,30,170,721809
71,72,70,47,47,3429,498980
80,80,80,46,36,3407,730556
76,76,73,44,35,1590,162457
78,77,75,47,47,3885,17921
76,77,78,45,47,5369,503630
79,79,77,44,34,2471,442072
78,82,77,50,48,1406,12699
70,71,67,47,47,4567,141311
78,73,74,56,30,2321,697973
82,82,78,57,44,4503,575171
81,78,78,47,43,4720,131835
86,80,81,55,60,6415,307480
80,75,72,59,42,62,45540
86,80,81,55,60,664,586503
75,74,77,56,44,706,115847
82,80,83,37,61,1263,727495
81,78,75,55,45,99,771481
82,82,78,57,44,5893,216684
78,73,74,56,30,4815,20702
83,80,75,47,47,6388,323504
71,72,70,47,47,4607,621796
78,72,74,38,37,419,604087
72,70,72,44,33,6999,297127
78,77,75,47,50,2205,498688
79,77,74,58,46,6852,801553
80,80,80,46,36,7632,368180
69,68,68,30,33,1704,350030
78,73,74,56,30,1088,75110
78,72,74,38,37,1809,793307
82,80,83,37,61,6513,354674
71,70,67,45,35,4564,477237
79,79,77,44,34,3450,686290
78,82,77,50,48,5250,546158
86,80,81,55,60,7661,692266
76,76,73,44,35,4663,220612
81,78,75,55,45,492,453999
72,70,72,44,33,5565,40680
81,78,75,55,45,4808,789428
75,74,77,56,44,3805,317824
69,72,70,47,33,3480,328208
86,80,81,55,60,5557,63364
80,81,77,42,48,2865,439516
82,82,78,57,44,983,291210
71,71,70,45,35,1377,694913
80,84,82,47,37,2449,489339
78,82,77,50,48,4270,20640
83,80,75,47,47,3261,255966
80,75,72,59,42,1278,291091
69,72,70,47,33,4926,374312
76,77,78,45,47,4748,189036
82,80,83,37,61,7202,327715
86,80,81,55,60,315,691196
75,72,74,44,47,3437,672892
80,80,80,46,36,5332,154734
79,79,77,44,34,3814,650731
72,71,71,45,33,683,456471
78,72,74,38,37,7345,87656
78,77,75,47,50,4349,31687
75,74,77,56,44,6372,174661
72,70,72,44,33,5783,68867
80,75,72,59,42,536,785279
78,77,70,51,55,5789,537380
81,78,76,55,45,2067,252151
87,82,80,55,60,5749,660454
76,74,72,50,40,1346,419221
74,72,72,45,33,3172,20755
83,85,84,47,37,470,315408
76,72,70,45,35,2284,734220
75,77,76,50,45,567,416069
74,74,73,53,48,2586,424253
83,81,83,37,61,7018,126189
79,76,74,58,46,5638,431978
77,77,77,45,51,3398,429774
81,82,81,46,36,2792,370544
85,81,79,47,47,1793,641490
74,73,75,48,57,3701,501158
80,84,81,57,44,7434,540031
88,73,72,56,37,981,503283
83,85,84,47,37,7221,173923
74,74,73,36,46,1512,314675
87,82,80,55,60,2553,693940
75,77,76,50,45,6920,396167
81,78,76,55,45,218,427361
81,79,81,47,43,3615,3297
81,82,81,46,36,1571,143464
80,84,81,57,44,4800,232010
79,76,74,58,46,2896,349901
74,72,72,47,33,6240,668724
83,81,83,37,61,6297,677516
85,81,79,47,47,1486,426265
76,75,75,44,47,143,510742
74,73,75,48,57,3665,129055
78,73,74,59,42,3474,760306
79,74,78,56,44,4847,353081
78,79,75,44,35,4199,652478
78,77,71,51,55,3845,51885
82,79,80,47,43,615,394582
