strong_bu_speed,strong_bu_passing,strong_bu_positioning,st_id,id
70,30,Free Form,3732,57505
50,50,Organised,7567,21040
70,50,Organised,3606,27102
65,30,Free Form,641,5061
70,30,Free Form,7327,2725
70,35,Free Form,691,53590
67,30,Organised,22,24979
65,45,Organised,3096,35646
50,35,Organised,1437,64794
70,65,Organised,4014,51131
70,30,Free Form,3161,3403
50,70,Organised,1342,78626
70,50,Free Form,1457,21387
65,40,Organised,7769,65847
65,45,Organised,4154,7519
70,45,Organised,3006,35400
70,50,Organised,3995,78643
65,70,Organised,7581,19493
70,65,Organised,1392,17722
70,70,Organised,4864,69364
70,70,Organised,7297,57449
70,65,Organised,5769,24262
70,70,Organised,1979,46946
50,70,Organised,6101,15860
50,35,Organised,766,67741
70,65,Organised,988,53820
70,62,Organised,1672,13115
70,65,Organised,5061,26459
55,70,Organised,2974,3267
70,65,Organised,4895,24997
70,70,Organised,6750,17987
70,30,Free Form,1982,920
45,60,Organised,150,16415
55,70,Organised,5019,58958
67,30,Organised,5979,59692
65,30,Free Form,7738,44499
70,40,Organised,1015,31117
70,70,Organised,1422,424
70,70,Organised,842,40897
50,35,Organised,3359,28829
50,50,Organised,8,3966
67,30,Organised,2646,60925
65,30,Free Form,4785,43443
65,45,Organised,3202,67121
70,40,Organised,4590,38155
70,70,Organised,6362,35053
45,60,Organised,5217,60484
70,62,Organised,3592,72670
67,30,Organised,1661,9974
50,35,Organised,1746,43361
70,50,Free Form,7220,14079
65,30,Free Form,6505,59286
70,30,Free Form,6719,54935
70,40,Organised,7162,70244
70,50,Free Form,5672,46525
70,70,Organised,4053,35727
67,30,Organised,4016,19529
70,30,Free Form,5833,76900
70,50,Free Form,5740,44439
70,40,Organised,2215,16046
70,70,Organised,4709,60053
50,35,Organised,6182,52560
65,40,Organised,3030,5831
70,30,Free Form,4591,37881
70,50,Free Form,6108,8971
70,30,Free Form,7654,3125
70,70,Organised,2726,34676
65,30,Free Form,1302,38073
70,30,Free Form,7424,59876
70,30,Free Form,4772,63668
65,30,Free Form,6731,63025
50,35,Organised,91,58263
65,30,Free Form,7455,38175
70,62,Organised,5702,308
65,30,Free Form,4794,73907
70,30,Free Form,5145,22806
50,65,Organised,7291,71230
70,62,Organised,854,54485
70,70,Organised,2239,50444
65,70,Organised,7606,46565
70,30,Free Form,3718,16377
65,30,Free Form,393,2891
70,40,Organised,2922,68291
70,70,Organised,6768,29644
70,35,Free Form,1694,24552
70,70,Organised,4098,21430
60,60,Organised,5223,31078
70,65,Organised,7095,1729
50,35,Organised,4473,20077
70,62,Organised,3385,75214
70,70,Organised,485,15270
70,70,Organised,904,77130
60,60,Organised,1266,61484
50,65,Organised,3826,72512
65,45,Organised,1401,58058
55,70,Organised,628,12711
65,30,Free Form,1148,69344
65,40,Organised,242,45338
70,50,Organised,6708,46222
50,35,Organised,630,18079
70,30,Free Form,1128,48429
70,70,Organised,7267,9078
70,70,Organised,6994,17545
70,65,Organised,4565,16984
50,70,Organised,1567,68835
70,62,Organised,7575,10109
70,35,Free Form,1951,47792
67,30,Organised,7571,20476
70,30,Free Form,4300,9581
70,70,Organised,2553,58366
70,40,Organised,6867,77208
70,50,Free Form,4049,2298
70,30,Free Form,812,21061
65,70,Organised,3162,72208
70,50,Free Form,3025,40085
70,50,Organised,5115,67852
70,45,Organised,7626,18393
70,55,Organised,5232,2556
50,35,Organised,5385,28979
65,40,Organised,3530,76808
65,30,Free Form,2119,59837
70,30,Free Form,3208,54019
45,60,Organised,2997,38353
50,70,Organised,5997,63150
70,70,Organised,4420,6480
70,70,Organised,217,43636
67,30,Organised,4088,63943
50,35,Organised,6093,24144
65,30,Free Form,5943,6503
70,35,Free Form,2456,70602
70,50,Free Form,5837,59873
70,62,Organised,110,75648
50,65,Organised,2173,40126
70,70,Organised,2255,22186
55,70,Organised,4491,11541
70,30,Free Form,4639,62021
65,70,Organised,2104,27281
70,50,Organised,7198,53350
70,70,Organised,4405,75483
70,30,Free Form,2997,36486
67,30,Organised,4820,1569
50,35,Organised,4664,16494
70,70,Organised,5368,77518
70,70,Organised,2428,52799
60,60,Organised,1717,35734
70,65,Organised,3034,39431
55,53,Organised,4602,38699
68,53,Organised,643,25330
35,35,Organised,5175,68804
50,39,Free Form,2242,22486
77,23,Free Form,713,20424
50,53,Organised,7651,48748
77,56,Organised,2133,72034
57,32,Organised,6659,18928
53,30,Free Form,1107,27436
54,45,Organised,77,43054
73,42,Organised,5380,9351
22,39,Organised,5703,6976
51,41,Organised,1548,61190
35,35,Organised,3929,56569
55,42,Organised,6761,23953
65,30,Organised,1419,76126
54,31,Organised,2630,14008
57,32,Organised,2311,8292
50,62,Organised,4206,46325
39,43,Organised,2100,59950
73,42,Organised,148,42523
50,62,Organised,1097,46236
39,43,Organised,6837,31552
73,42,Organised,5679,17552
54,31,Organised,961,14077
53,30,Free Form,1319,11438
39,57,Organised,1974,47687
65,30,Organised,106,74813
77,23,Free Form,429,66077
38,57,Organised,4421,16668
57,32,Organised,5367,44706
53,30,Free Form,1787,54844
22,39,Organised,1292,41389
50,39,Free Form,4164,11866
50,45,Organised,1298,68687
52,52,Organised,594,47791
35,35,Organised,7005,1053
54,45,Organised,4910,45533
39,43,Organised,1280,3011
39,43,Organised,6094,32178
51,41,Organised,761,43417
53,30,Free Form,4957,57415
57,32,Organised,7173,70359
53,30,Free Form,6422,1612
52,37,Organised,2100,70842
77,23,Free Form,2627,3530
51,33,Organised,1802,54817
45,58,Organised,4907,43769
55,53,Organised,6409,53213
39,43,Organised,7800,38678
39,57,Organised,2694,1334
73,42,Organised,3164,74149
52,52,Organised,1383,75196
39,43,Organised,7550,36164
51,33,Organised,5788,44067
54,31,Organised,7295,35310
55,53,Organised,3543,19846
66,42,Organised,5921,46176
35,35,Organised,4540,8576
50,39,Free Form,1141,36548
73,42,Organised,6810,47327
54,45,Organised,7060,76098
50,45,Organised,1921,35677
50,53,Organised,3079,53353
57,32,Organised,3144,25831
53,30,Free Form,7700,37422
77,23,Free Form,7724,57459
52,52,Organised,5521,2956
52,37,Organised,900,19621
56,57,Organised,5245,48537
73,42,Organised,2200,33627
65,30,Organised,3552,49163
73,42,Organised,55,68125
28,55,Organised,6259,62936
50,39,Free Form,1927,28292
53,30,Free Form,3042,68063
77,23,Free Form,4505,13135
35,35,Organised,4366,16082
44,50,Organised,3491,33697
55,53,Organised,246,60954
52,52,Organised,5492,49405
54,45,Organised,3686,31375
50,45,Organised,7090,20993
35,35,Organised,2812,3397
50,39,Free Form,1363,62957
54,31,Organised,4477,75713
77,23,Free Form,4604,59582
52,37,Organised,5729,45782
66,42,Organised,1020,1816
39,57,Organised,4766,30974
54,45,Organised,4071,38207
73,42,Organised,713,37549
22,39,Organised,4657,41466
50,39,Free Form,1722,13426
56,57,Organised,3316,61729
44,50,Organised,252,1393
37,53,Organised,3993,3375
59,44,Organised,1471,6364
60,58,Organised,3313,4214
63,49,Organised,924,43645
59,40,Organised,5444,78020
48,53,Organised,915,75379
52,53,Organised,2724,72660
45,35,Organised,7304,61113
50,35,Organised,5262,58875
70,59,Organised,1453,29809
49,31,Organised,5515,41714
75,55,Organised,5970,77203
70,50,Organised,2395,75415
32,39,Free Form,6784,64834
62,42,Organised,4721,50544
62,42,Organised,1532,40728
40,44,Organised,5198,49611
60,58,Organised,5471,71944
61,37,Organised,7676,32415
40,33,Organised,4842,21633
26,39,Organised,815,12855
29,34,Organised,692,11474
63,49,Organised,2482,16627
59,40,Organised,1489,5949
35,55,Organised,3020,70720
40,33,Organised,4779,4125
37,40,Organised,7274,40443
41,47,Organised,49,41471
61,37,Organised,4643,16353
45,35,Organised,5892,61827
32,39,Free Form,4567,34997
65,50,Organised,7216,74731
63,49,Organised,753,31103
29,34,Organised,2604,59867
59,44,Organised,4096,65835
49,31,Organised,7112,69512
61,37,Organised,7502,3969
50,35,Organised,2754,25622
45,45,Organised,5173,45311
37,53,Organised,7188,34040
50,39,Organised,7411,40185
61,37,Organised,5548,28939
59,40,Organised,2238,60674
29,34,Organised,5848,72631
50,35,Organised,2875,76893
59,44,Organised,2970,6458
37,40,Organised,1732,37089
75,55,Organised,6607,65506
48,36,Organised,4438,74133
60,58,Organised,6949,50790
49,31,Organised,1963,53104
59,40,Organised,860,46608
45,35,Organised,5988,47648
37,40,Organised,1944,42155
63,49,Organised,5442,46391
60,58,Organised,7355,22537
59,40,Organised,1014,28107
49,31,Organised,6617,56291
37,40,Organised,6153,62663
45,35,Organised,7663,30879
48,36,Organised,1751,66381
59,40,Organised,5360,35083
37,40,Organised,612,27682
63,49,Organised,3679,77849
37,40,Organised,5385,5267
59,40,Organised,1486,11546
37,40,Organised,2457,12069
40,33,Organised,3428,49977
29,34,Organised,4888,61276
59,44,Organised,4862,47282
62,42,Organised,7499,5812
63,49,Organised,3963,58753
48,36,Organised,2545,19857
59,40,Organised,2617,71911
53,54,Organised,1693,21666
60,56,Organised,6511,57019
26,39,Organised,1803,68524
60,58,Organised,387,55699
40,45,Organised,7243,33406
70,50,Organised,633,67737
61,37,Organised,2344,52981
61,37,Organised,1318,78025
45,35,Organised,1958,830
75,55,Organised,152,55168
48,36,Organised,2672,68625
29,34,Organised,5911,36086
60,58,Organised,930,26331
41,47,Organised,3885,59871
59,40,Organised,6395,31704
48,53,Organised,6831,77236
50,35,Organised,690,2253
29,34,Organised,3847,74544
70,59,Organised,4820,39310
32,39,Free Form,4286,24320
75,55,Organised,5693,62756
61,37,Organised,525,27334
32,39,Free Form,4924,42321
65,50,Organised,7222,62141
62,42,Organised,4559,53133
59,40,Organised,6230,16131
50,39,Organised,136,70347
49,31,Organised,7154,23789
41,47,Organised,201,44171
40,33,Organised,6191,8106
48,53,Organised,2620,14545
32,39,Free Form,7022,68663
50,35,Organised,2402,30385
59,40,Organised,6467,39803
40,33,Organised,2180,41322
