weak_attack,weak_midfield,weak_deffense,weak_aggression,weak_preassure,wt_id,id
72,74,73,70,70,11070,88982
71,67,70,70,55,30020,75650
73,75,74,70,45,38939,62548
82,82,82,60,55,9774,79932
81,79,79,46,58,43675,31802
69,72,66,70,55,54979,59114
73,73,74,60,70,30326,58506
60,57,58,70,70,70223,59060
72,71,70,50,70,68909,98367
69,68,67,70,60,1251,88690
63,64,64,70,70,69374,48402
73,73,72,70,65,20324,14772
74,74,73,60,45,67387,52382
70,71,67,70,70,39727,26903
67,69,65,65,65,2202,12626
67,69,65,60,65,18298,22757
71,67,70,70,55,12088,19129
70,70,68,70,60,53312,13683
73,74,74,70,70,70722,1509
60,57,58,70,70,35471,24560
73,74,74,60,65,15686,21875
70,71,67,70,70,990,55473
75,70,73,45,35,39255,15511
72,71,70,50,70,6505,32135
73,74,74,60,65,402,61804
66,66,70,70,70,12784,25083
69,72,66,70,55,21480,12384
67,69,70,70,45,67090,82497
71,70,74,50,30,55592,2773
72,71,70,50,70,1816,92485
72,72,74,50,50,9853,65847
73,73,74,60,70,19122,14146
75,70,73,45,35,46012,34534
75,73,72,70,70,4919,23022
73,74,74,60,65,30632,89125
67,69,65,60,65,43990,72784
63,64,64,70,70,22684,51784
60,57,58,70,70,3888,44529
72,71,70,50,70,27828,65376
69,72,66,70,55,9837,77450
70,71,67,70,70,18132,99430
74,74,73,60,45,138,74411
69,68,67,70,60,19184,55208
70,71,67,70,70,3449,50260
76,70,74,45,30,15568,1999
72,71,70,50,70,3421,15848
67,69,65,60,65,61943,34643
71,71,68,70,50,35226,92943
75,70,73,45,35,52280,45790
72,72,74,50,50,9445,24901
70,71,67,70,70,35883,22223
74,74,73,60,45,8760,16066
67,69,65,60,65,51365,44938
73,74,74,60,65,16132,75689
70,67,67,70,50,38318,23860
72,72,74,50,50,25432,90783
60,57,58,70,70,67943,15471
76,75,74,30,30,65176,95067
73,74,74,60,65,50114,70995
70,71,67,70,70,6356,96881
70,67,67,70,50,32755,108576
73,73,74,60,70,37998,12439
60,57,58,70,70,17701,30189
77,81,79,40,35,57314,72966
67,69,65,60,65,51575,60524
73,74,74,60,65,49858,45916
81,79,79,46,58,62722,14695
77,81,79,40,35,63013,38228
81,80,76,60,35,11167,3623
81,79,79,46,58,28191,85723
75,70,73,45,35,52756,58539
76,70,74,45,30,68346,22999
81,79,79,46,58,62011,78544
76,70,74,45,30,11298,85618
81,80,76,60,35,33540,11554
72,71,70,50,70,15233,27210
71,67,70,70,55,11931,67613
72,72,74,50,50,6476,50547
69,72,66,70,55,22190,103156
67,69,70,70,45,47628,79285
72,74,73,70,70,31423,33155
73,74,74,60,65,45832,96528
75,73,72,70,70,62504,75325
69,68,67,70,60,39812,104213
70,70,68,70,60,2401,57868
70,67,67,70,50,16564,90478
73,73,72,70,65,65167,23959
71,70,74,50,30,26320,35309
73,72,70,70,55,2587,73927
