weak_attack,weak_midfield,weak_deffense,weak_aggression,weak_preassure,wt_id,id
73,75,74,70,45,54744,18692
70,70,68,70,60,70764,8948
70,67,67,70,50,16978,96956
69,72,66,70,55,50691,51363
71,71,68,70,50,34289,107904
67,69,65,65,65,30350,43964
69,68,67,70,60,64716,54569
83,81,78,30,30,36794,62993
63,64,64,70,70,14920,97860
76,75,74,30,30,52989,48273
67,69,70,70,45,8826,45846
75,73,72,70,70,15530,23357
69,68,67,70,60,24878,2550
74,74,73,60,45,24561,1608
73,75,74,70,45,42899,43890
73,73,72,70,65,61619,82800
77,77,74,70,55,50670,27730
72,74,73,70,70,25859,39905
66,66,70,70,70,38084,16201
72,72,74,50,50,31398,71720
75,70,73,45,35,62491,97798
71,70,74,50,30,33679,5695
69,68,67,70,60,38732,17083
73,72,70,70,55,55589,60082
71,67,70,70,55,38611,72847
63,64,64,70,70,55472,15444
75,73,72,70,70,42368,93503
69,68,67,70,60,6625,50512
69,72,66,70,55,15049,30648
78,73,74,70,60,32609,15321
60,57,58,70,70,7043,40607
73,73,72,70,65,33844,67460
83,81,78,30,30,10392,88961
71,67,70,70,55,3761,48874
72,72,74,50,50,3095,46896
82,82,82,60,55,17462,106419
75,73,72,70,70,43358,39261
71,70,74,50,30,25743,51758
77,77,74,70,55,69335,34296
77,81,79,40,35,45194,53996
73,75,74,70,45,725,90707
70,71,67,70,70,49279,27487
78,73,74,70,60,23722,43200
73,72,70,70,55,4464,61533
67,69,65,60,65,9316,522
71,70,74,50,30,25691,27537
77,81,79,40,35,22670,53483
67,69,70,70,45,28469,72762
73,74,74,70,70,1411,20178
72,72,74,50,50,19629,64114
82,82,82,60,55,61374,23331
81,79,79,46,58,51798,68585
71,67,70,70,55,52552,10409
69,68,67,70,60,58218,29918
66,66,70,70,70,35853,2954
73,72,70,70,55,31543,7713
67,69,65,60,65,5420,14647
72,69,73,39,37,67850,21616
64,58,61,70,30,6997,11429
72,70,68,60,41,20506,7037
69,71,69,70,65,52663,102088
72,71,73,29,44,55000,93153
70,71,67,39,49,31334,108603
73,74,73,57,50,31295,21192
71,73,71,45,48,39719,16203
74,73,72,59,42,42321,74245
77,75,74,48,45,31761,65911
70,70,68,60,34,68642,19760
72,71,70,47,39,25737,71396
74,72,71,47,38,17160,101383
72,70,68,60,41,26555,30100
69,71,69,70,65,49983,21287
67,71,69,60,36,64989,93452
72,69,73,39,37,59688,10718
71,66,64,48,37,36715,23757
66,68,69,60,43,24322,61061
71,66,64,48,37,34794,59452
79,74,74,58,30,2871,59271
74,73,72,59,42,27512,97420
64,58,61,70,30,65508,44746
72,69,73,39,37,19164,95976
74,74,76,48,38,32505,91404
80,80,76,62,47,51268,10855
74,73,74,51,47,2090,330
75,74,74,68,29,70089,16673
71,73,71,45,48,54586,34371
64,58,61,70,30,39225,60430
72,71,70,47,39,59190,88432
69,70,71,47,35,52244,64803
71,66,64,48,37,31268,53830
74,72,71,47,38,20436,42693
72,73,71,48,58,55694,108915
67,71,69,60,36,2215,101138
79,74,74,58,30,21779,9057
72,71,70,47,39,21554,4639
71,66,64,48,37,4242,88929
71,73,71,45,48,6443,20916
75,72,74,47,47,56404,67623
71,66,64,48,37,21893,89925
79,74,74,58,30,31421,47971
80,80,79,58,48,43189,38381
74,72,71,47,38,31070,20838
81,79,79,55,34,39774,94908
75,74,74,68,29,4542,91329
73,74,73,57,50,53192,45739
69,71,69,70,65,16235,3099
71,73,71,45,48,14354,99910
70,71,67,39,49,8284,7762
72,69,73,39,37,25725,59927
72,70,68,60,41,55915,69508
72,71,70,47,39,50214,16771
74,73,72,59,42,1998,76128
72,69,73,39,37,66510,42037
71,73,71,45,48,25408,56450
75,74,74,68,29,40109,20797
67,71,69,60,36,13007,40748
69,71,69,70,65,14025,9730
72,71,70,47,39,16981,3991
69,70,71,47,35,25076,61658
74,72,71,47,38,28147,101501
70,71,67,39,49,27668,64501
81,80,82,43,60,2662,64341
82,79,78,43,41,53066,94749
72,71,73,29,44,55558,62701
67,71,69,60,36,29904,87838
72,72,73,70,20,15507,70259
70,68,66,50,44,7941,54443
76,76,75,50,31,9722,108977
73,74,73,57,50,49379,101269
74,74,76,48,38,16665,85911
67,71,69,60,36,48923,90082
66,68,69,60,43,1277,43222
75,72,74,47,47,53647,77989
74,73,72,59,42,67699,95965
76,73,74,60,59,61302,30378
71,66,64,48,37,29375,50542
69,70,71,47,35,70790,17137
73,74,73,57,50,24165,80700
71,73,71,45,48,23275,99600
72,72,73,70,20,60976,30119
74,73,74,51,47,37945,107566
72,71,70,47,39,3140,108853
77,75,74,48,45,21745,29309
81,82,80,49,47,751,50216
76,76,75,50,31,24561,92003
67,71,69,60,36,4719,77410
76,73,74,60,59,51619,732
74,74,76,48,38,43966,52647
80,80,76,62,47,19317,6387
69,70,71,47,35,24640,77576
79,74,74,58,30,18136,51223
72,70,68,60,41,59811,38829
69,71,69,70,65,8958,80938
68,70,67,30,33,62208,99388
75,77,73,59,42,23720,32011
73,73,73,44,47,68951,48761
81,81,75,49,42,19782,17501
81,81,82,46,36,65307,63313
73,73,75,23,24,37749,35432
69,68,67,30,48,66413,68288
70,74,72,35,35,53049,23263
76,73,74,58,46,12028,66087
65,69,70,50,40,57550,105250
74,74,72,38,37,54867,88837
74,69,69,42,35,8704,18984
73,73,73,50,40,70438,26271
71,74,74,45,47,55820,5075
69,71,66,45,55,60610,23722
69,71,66,45,55,11899,90577
66,67,67,37,37,68343,57616
81,74,77,55,45,51286,72199
73,73,73,44,47,45243,72637
68,70,67,30,33,24672,18288
72,72,68,59,42,32570,35629
69,68,67,30,48,36116,16265
73,73,73,47,33,13810,91022
71,74,74,45,47,35590,64068
73,73,73,50,40,69948,108945
69,68,67,30,48,62421,1436
72,70,68,48,61,35119,62806
74,69,69,42,35,68036,96878
70,74,72,35,35,57070,4744
77,78,76,42,41,60002,29822
72,73,67,55,35,69167,47938
70,69,68,39,34,70112,77034
76,77,78,42,48,38413,22510
65,69,70,50,40,55528,21275
73,73,73,47,33,13319,83647
74,78,73,44,50,44084,9524
76,73,74,58,46,13295,79004
69,71,66,45,55,64135,40455
68,70,67,43,32,50798,64764
74,69,69,42,35,17727,87283
73,73,75,23,24,41297,23941
86,79,77,55,60,14201,60328
80,80,79,47,47,10053,81351
73,73,73,44,47,37230,60266
72,73,67,55,35,35655,91658
75,74,72,40,40,50234,83884
83,82,80,55,45,53260,78361
69,71,66,45,55,56686,37802
82,83,81,47,43,69237,95383
74,74,72,38,37,48245,18053
73,73,73,44,47,46479,70573
81,81,75,49,42,34839,79765
78,78,74,61,61,25534,73081
75,74,72,40,40,15478,59566
75,77,73,59,42,28330,107817
73,73,75,23,24,45777,98789
73,73,73,44,47,384,22097
81,81,75,49,42,34386,74320
78,78,74,61,61,27591,60733
75,74,72,40,40,27470,52126
75,77,73,59,42,7956,59915
73,73,75,23,24,56916,47427
81,81,82,46,36,37093,66278
83,82,80,55,45,68764,60617
80,80,79,47,47,32918,37965
83,82,80,55,45,31645,73265
83,82,80,55,45,1029,103984
75,71,72,37,34,46064,31117
76,77,78,42,48,66839,44905
71,74,74,45,47,26436,79501
72,73,67,55,35,28303,76280
83,82,80,55,45,60735,39926
81,74,77,55,45,25891,70557
86,79,77,55,60,3119,14259
70,74,72,35,35,47544,45741
68,70,67,30,33,5127,84643
73,73,73,47,33,30184,45376
80,75,73,51,51,20556,945
70,69,68,39,34,57573,77662
74,69,69,42,35,46947,2707
75,77,73,59,42,48266,67123
70,71,67,45,55,19498,92673
69,68,67,30,48,52562,97812
77,74,72,55,45,43028,26166
68,70,67,30,33,62723,16479
74,78,73,44,50,53413,60736
65,69,70,50,40,53129,68320
72,72,68,59,42,65036,94217
75,71,72,37,34,6063,63709
78,78,74,61,61,27322,100443
76,74,70,44,35,48418,85507
68,70,67,43,32,47646,74401
72,72,68,59,42,1462,103917
69,71,66,45,55,16028,25501
72,73,67,55,35,25270,36324
86,79,77,55,60,67309,61479
81,74,77,55,45,30694,13744
69,68,67,30,48,14602,15137
72,73,67,55,35,40053,64894
75,74,72,40,40,24722,34837
70,71,67,45,55,68806,85664
77,78,76,42,41,42752,58263
73,73,73,47,33,32326,45879
74,69,69,42,35,37813,103688
73,73,73,50,40,29918,73879
76,74,70,44,35,64567,91069
74,73,75,48,58,42890,51196
75,77,73,59,42,45642,59239
68,70,67,43,32,9068,103527
73,73,73,44,47,60228,31571
65,69,70,50,40,49717,23913
74,69,69,42,35,28676,22774
81,81,82,46,36,17289,46712
74,74,72,38,37,24201,62303
75,71,72,37,34,34464,15099
77,74,72,55,45,51309,93949
68,70,67,43,32,56774,40426
73,73,75,23,24,65359,6421
81,81,82,46,36,25829,1442
72,70,68,48,61,62303,107629
81,81,75,49,42,13780,77105
74,74,72,38,37,11219,33938
74,69,69,42,35,27523,13214
70,74,72,35,35,55235,16602
75,77,73,59,42,60579,8022
73,73,73,44,47,70560,54382
86,79,77,55,60,47514,77294
70,71,67,45,55,6185,25448
66,67,67,37,37,35110,85661
68,70,67,30,33,40902,33708
74,69,69,42,35,45770,97163
66,67,67,37,37,67998,25649
72,70,68,48,61,23126,105565
83,81,83,42,61,14524,44682
81,81,82,46,36,53070,92448
73,73,75,23,24,65768,43870
74,74,72,38,37,26720,27903
81,81,75,49,42,35131,98769
72,73,67,55,35,50716,29590
70,69,68,39,34,40291,57359
81,74,77,55,45,42353,92650
75,77,73,59,42,46448,43892
82,82,83,37,61,56889,13553
74,69,70,44,33,60660,72471
71,64,66,45,34,37219,90141
68,74,74,44,47,16325,17224
71,72,66,50,40,50810,122
75,70,69,45,55,50624,77748
69,70,66,30,33,2261,18254
75,74,72,40,40,39619,89809
79,73,70,45,33,58513,33407
78,78,76,35,35,42902,88351
71,64,66,45,34,55861,65975
77,76,73,44,35,40884,47398
67,66,68,30,48,64764,67056
72,73,66,55,35,48676,58205
86,79,81,46,36,7721,77285
75,74,73,37,34,34910,13910
74,74,72,35,35,28468,7513
72,67,71,42,35,25954,104226
71,72,66,50,40,15917,24148
74,69,70,44,33,70455,21029
71,64,66,45,34,68181,63708
75,70,69,45,55,47471,49905
75,76,73,44,35,2876,35128
73,74,66,55,35,23051,50795
74,74,72,40,40,2557,58414
70,73,69,35,35,69788,14185
72,69,71,59,42,30831,62781
84,80,80,49,47,59071,90691
70,74,69,35,35,13030,76448
82,75,79,46,31,735,5032
79,74,75,55,45,3400,76446
73,75,74,37,34,12447,80448
71,62,64,45,34,65123,425
73,75,74,42,43,63580,32743
79,73,70,45,33,10968,96227
75,74,66,55,35,5987,73851
78,78,76,35,35,1360,75426
82,80,80,46,36,10507,25255
71,62,64,45,34,40579,85928
78,70,69,45,55,26102,13899
75,74,66,55,35,25538,57173
74,74,72,40,40,54517,51837
74,69,70,44,33,41128,5427
77,75,74,58,46,49834,60487
82,75,79,46,31,21285,25038
77,75,74,58,46,24915,58054
83,80,83,37,61,45059,24070
82,75,79,46,31,57935,95881
81,83,81,59,46,38724,84036
83,81,83,37,61,28046,51153
84,76,78,46,31,40622,100759
71,69,68,39,34,22942,101590
74,72,76,32,24,56462,69539
79,79,79,42,48,19341,35415
73,74,66,55,35,42451,10484
74,74,71,50,40,24311,70226
66,71,69,30,33,2961,65382
79,73,70,45,33,29388,43359
69,68,67,50,40,13981,105153
85,80,78,55,60,38726,60212
74,69,70,48,61,1833,105573
76,73,74,58,46,19392,92690
70,68,69,50,40,19823,24456
72,74,75,44,47,12096,64547
85,79,75,62,67,40441,73832
79,71,72,47,33,22345,2778
75,77,75,45,47,8143,83742
72,64,65,45,34,62944,9697
74,69,70,44,33,24690,27365
72,73,66,55,35,41508,83555
66,71,69,30,33,39519,20859
73,75,74,37,34,39517,46572
74,74,72,40,40,69079,65331
69,67,66,30,48,66009,96004
70,68,69,50,40,17344,34480
71,64,65,45,34,12127,2740
76,69,69,45,55,19826,52412
69,68,67,50,40,11217,56095
74,74,71,50,40,14202,71176
68,69,68,39,34,39459,105991
74,74,72,40,40,42565,62825
71,64,65,45,34,59267,101931
82,82,80,47,47,43026,1067
73,74,75,42,43,7715,102563
79,71,72,47,33,35826,36287
79,73,70,45,33,57753,5587
73,69,69,42,35,33715,23205
78,76,72,44,35,15818,78048
80,75,77,55,45,39222,71702
73,77,67,35,35,42925,45473
74,69,70,44,33,28655,3127
76,69,69,45,55,2471,87796
78,76,72,44,35,28988,57196
72,74,75,44,47,52810,63556
72,73,66,55,35,17581,107220
68,69,68,39,34,11148,45103
74,74,72,40,40,19161,26827
69,68,67,50,40,50294,33907
72,69,71,59,42,47634,12992
73,75,74,37,34,1286,76135
74,69,70,44,33,22164,3801
75,69,70,48,61,26990,36385
69,67,66,30,48,7951,21330
72,73,66,55,35,30166,60422
79,74,67,45,43,63431,68016
66,71,69,30,33,19874,25987
79,73,70,45,33,25851,96897
71,64,65,45,34,18760,21116
81,75,73,59,42,31329,97841
72,69,71,59,42,67314,33817
78,76,74,44,50,105,1310
84,77,78,46,31,48063,20725
80,75,77,55,45,1047,42185
72,73,66,55,35,35619,7299
79,71,72,47,33,8601,102212
78,76,72,44,35,41644,100883
73,69,69,42,35,29560,93957
80,84,81,59,46,3484,65225
75,69,70,48,61,28713,14250
81,75,73,59,42,46669,38212
74,74,71,50,40,28220,64981
70,68,69,50,40,66712,10226
74,77,67,35,35,38981,56273
78,76,72,44,35,34773,89120
84,79,81,49,47,564,25913
80,75,77,55,45,380,84712
74,74,71,50,40,32177,97310
74,74,72,40,40,24723,32320
73,69,69,42,35,62569,97900
75,69,70,48,61,22118,359
68,69,68,45,55,24430,21493
81,75,73,59,42,62848,47084
66,58,64,44,30,57563,56867
79,71,72,47,33,11245,81519
75,69,70,48,61,19549,108539
68,66,66,48,61,44751,33761
72,69,68,39,34,59822,19301
73,76,73,37,34,31413,87260
78,77,73,51,51,54349,6567
71,73,70,47,33,65937,67057
75,74,75,44,47,31897,89132
85,79,76,55,57,21907,60837
77,75,74,44,35,63995,88845
71,66,62,48,61,65144,24943
67,71,69,30,33,15603,90829
75,71,70,50,40,37907,80555
75,75,76,48,58,57857,17366
73,69,71,47,47,11128,93358
66,70,68,45,55,33820,105133
82,83,81,59,46,44129,39259
79,75,74,59,42,35948,8818
81,74,72,38,36,3583,27924
72,73,67,55,35,42107,44489
67,71,69,30,33,13093,108700
69,69,66,47,47,25106,102186
75,74,71,40,40,31700,61023
76,70,65,39,34,44542,31245
71,73,70,47,33,67701,65745
75,74,75,44,47,57118,46945
78,73,70,45,33,21822,6243
77,69,70,45,55,1296,39789
68,59,65,53,30,26506,53535
69,55,63,45,34,24177,40565
68,67,68,50,40,33587,33038
75,74,71,40,40,4167,85225
72,74,67,55,35,30434,96130
71,73,70,47,33,34124,71943
74,72,75,37,24,17246,77192
78,73,70,45,33,28129,29560
75,75,76,48,58,7848,92472
81,73,72,59,42,45112,28990
74,74,69,35,35,10339,95463
72,76,73,37,34,43943,23522
77,69,70,45,55,10888,62099
72,74,67,55,35,3838,15029
70,75,72,53,48,9315,36618
69,55,63,45,34,34896,24234
79,73,75,58,46,38154,62357
70,73,71,36,46,27822,84473
75,74,71,40,40,29563,8604
75,69,67,39,34,63626,81631
79,73,75,58,46,25065,101013
84,77,74,55,57,69716,46012
74,72,75,37,24,8764,12506
83,79,79,47,43,55144,76793
72,74,67,55,35,5758,9154
82,79,80,47,47,20219,73698
79,73,75,58,46,64958,19468
70,71,69,48,61,58706,25957
75,69,67,39,34,11169,50382
76,75,73,44,35,19240,49918
79,77,76,51,51,48958,83264
83,76,76,46,31,53617,6255
74,77,76,45,47,65797,43350
78,77,75,47,47,60269,47234
75,74,73,35,35,48460,66461
71,70,65,39,34,31475,65406
76,72,76,48,58,13583,63177
76,75,71,44,35,44764,4910
74,72,75,37,24,60384,94288
84,75,76,46,31,22029,41604
72,73,67,55,35,20820,94131
70,71,69,48,61,14135,42702
75,74,73,35,35,67601,20815
76,75,71,44,35,43023,76098
84,75,76,46,31,49633,72212
79,73,74,58,46,6257,33927
74,77,76,45,47,16181,47752
75,74,73,35,35,20691,20643
77,78,75,55,45,982,17295
82,80,80,46,36,49904,70794
80,80,79,42,48,29009,78363
82,81,84,37,61,44839,42541
84,76,75,50,48,22366,87422
84,76,75,50,48,55908,75733
84,80,80,55,60,43678,78270
75,72,71,35,35,45983,42551
76,74,72,35,35,35183,85233
75,72,71,35,35,63643,75250
76,74,72,35,35,10593,19012
71,74,74,44,47,18689,56291
71,74,74,44,47,57307,25924
71,75,75,44,47,45890,29532
71,75,75,44,47,67424,15117
71,72,70,47,33,35826,55743
71,73,70,47,33,64698,100959
71,72,70,47,33,69348,6806
71,73,70,47,33,28887,8216
84,80,80,55,60,41720,17156
85,80,80,55,60,28399,49170
84,80,80,55,60,61984,18612
85,80,80,55,60,47150,108818
71,70,65,39,34,12998,68107
74,70,66,55,48,4846,9753
71,70,65,39,34,53975,61922
74,70,66,55,48,69125,23217
82,80,80,46,36,66488,18328
82,80,80,46,36,927,75402
83,80,80,46,36,38202,68405
83,80,80,46,36,70251,34920
84,76,74,50,48,62690,70273
83,77,76,50,48,29926,28610
84,76,74,50,48,56987,80785
83,77,76,50,48,23364,35834
72,69,72,44,33,40664,33157
74,69,70,44,33,55370,21664
72,69,72,44,33,10796,39911
74,69,70,44,33,36990,45520
77,75,70,44,35,67650,107722
78,74,74,58,46,44614,31317
77,75,70,44,35,47344,10061
79,73,74,58,46,10240,81818
75,74,68,50,40,5146,28189
75,74,69,50,40,61131,73558
75,74,68,50,40,35576,52631
75,74,69,50,40,62180,82253
73,71,72,47,47,58601,70172
73,72,72,47,47,65196,105204
73,71,72,47,47,36472,85832
73,72,72,47,47,44660,76410
69,67,65,47,47,27651,75911
69,67,65,47,47,53962,98011
71,69,69,50,40,21563,67585
71,69,69,50,40,36873,7312
73,71,72,37,34,49336,91626
73,71,72,37,34,58376,82886
73,74,71,37,34,69121,88348
73,74,71,37,34,50258,29378
70,70,70,48,61,2475,33289
70,70,70,48,61,46587,97342
70,71,69,48,61,48399,62843
70,71,69,48,61,20337,10954
74,77,77,45,47,25426,30754
74,77,77,45,47,47597,5617
75,77,76,45,47,15298,52851
75,77,76,45,47,4608,49734
73,73,73,44,47,6886,52253
73,73,73,44,47,65598,29664
73,74,73,44,47,12363,84765
73,74,73,44,47,13093,93858
68,57,63,45,34,43179,93856
68,60,63,45,34,62701,105035
68,57,63,45,34,19938,14317
68,60,63,45,34,56957,14833
71,72,70,47,33,65513,89236
71,72,70,47,33,37508,14318
71,73,70,47,33,25116,100554
71,73,70,47,33,23855,42087
76,72,75,48,58,10315,77501
76,72,75,48,58,7943,84341
77,74,75,51,51,43557,75641
77,77,74,51,51,461,58052
74,67,69,36,46,20380,89663
77,74,74,59,42,47086,43825
73,70,69,48,51,22251,74136
73,73,73,44,47,57248,6907
84,80,79,55,60,4190,52146
68,69,68,30,33,59263,60613
83,79,79,47,47,50527,32475
74,74,73,38,36,15384,3903
70,70,68,47,47,53002,8155
68,69,67,32,48,59753,88875
75,74,74,44,47,13546,25308
68,69,68,30,33,61987,47546
75,75,73,40,40,11294,5275
71,70,69,50,40,51662,48342
75,74,69,50,40,37986,3735
77,71,70,58,46,54329,104498
74,76,75,47,50,61363,41949
68,70,67,30,33,24472,9340
74,67,67,45,35,2482,6544
71,68,68,50,40,61548,32773
76,72,70,50,40,52982,34611
76,71,73,35,35,12231,95680
71,76,72,37,34,59667,12490
71,67,68,36,46,23726,3511
64,74,72,53,48,61475,104158
71,76,72,37,34,54554,48914
66,64,63,45,34,3163,94557
76,73,75,56,44,8477,84462
77,72,74,59,42,29746,91191
70,70,68,47,47,24285,49651
76,71,73,35,35,40043,88535
74,67,67,45,35,63775,72548
83,80,79,47,47,47861,89095
73,71,71,47,47,43965,41907
76,72,70,50,40,6016,9446
71,67,68,36,46,40793,30465
82,84,82,50,37,10794,107635
76,72,76,48,58,65498,66391
68,69,67,45,55,41283,56735
68,69,67,45,55,23389,108937
77,72,74,59,42,26328,6830
73,69,65,55,48,33926,8714
68,70,67,30,33,56379,82044
76,65,74,48,58,47730,30047
71,75,72,35,35,25046,49320
64,71,69,48,51,3449,79394
76,73,74,42,38,63949,3339
74,69,67,55,48,39937,22794
71,68,68,50,40,61083,98485
79,81,81,37,61,38536,37702
67,69,67,32,48,47111,32752
78,78,74,47,50,20920,47562
77,73,69,44,35,6457,98699
74,73,76,44,47,48548,18747
73,71,66,47,47,16618,106725
77,76,73,40,40,38810,105827
68,71,67,30,33,32681,22440
78,76,82,44,34,16337,17644
65,60,66,53,30,41887,34812
80,80,78,50,48,57647,61730
72,68,69,45,35,42108,34896
75,73,69,42,38,13010,87212
75,73,69,42,38,44549,28349
76,73,72,42,38,66488,48855
72,69,69,58,46,6983,5313
79,81,79,42,48,45181,27135
75,74,71,40,40,16985,9794
71,73,71,47,33,2307,1944
67,69,67,32,48,15817,11500
76,73,72,42,38,46209,7518
72,73,67,45,35,43612,72132
70,65,67,45,34,10773,43059
75,70,72,53,48,10999,33098
68,71,69,45,33,52098,56132
69,66,66,30,33,58603,32177
75,71,71,50,40,59648,84954
69,70,67,50,40,59964,25264
77,68,69,45,35,46751,81176
73,69,68,44,33,46653,49510
72,76,73,37,34,10323,31244
73,71,69,36,46,53743,92397
72,69,69,58,46,65585,38498
70,65,67,45,34,10244,25653
75,74,77,56,44,29548,32643
78,77,81,44,34,44226,89412
75,72,75,56,30,17664,26160
81,79,75,55,45,27965,21279
73,69,68,44,33,16122,58212
70,65,67,45,34,56402,26000
72,73,67,45,35,12459,98134
68,71,69,45,33,8531,36240
73,69,68,44,33,28659,77432
77,68,69,45,35,46206,41155
75,74,77,56,44,36809,99083
70,65,67,45,34,37377,34065
81,78,74,55,45,64690,34000
68,71,69,45,33,64664,62671
78,69,72,45,35,497,98243
68,71,69,45,33,44213,44807
68,71,69,45,33,70124,63777
76,76,73,44,35,15672,58177
67,70,66,32,48,49180,51164
78,72,74,38,37,66957,47039
69,68,68,30,33,39275,106524
70,71,67,47,47,21030,25617
83,80,75,47,47,23612,13810
72,71,71,45,33,65533,31843
80,75,72,59,42,55294,28075
72,71,68,36,46,63629,72765
67,70,66,32,48,62596,30904
78,77,75,47,50,31443,49869
69,69,67,50,40,65761,93848
71,72,70,47,47,8652,27459
76,72,70,50,40,57930,76900
76,77,78,45,47,42301,75996
79,77,74,58,46,68168,93858
71,74,74,37,34,3129,39770
71,70,67,45,35,43877,68878
71,64,67,45,34,52416,39304
76,76,73,44,35,9591,37537
71,71,70,45,35,50537,7877
74,75,71,40,40,68454,53296
69,69,67,50,40,57427,72538
75,72,74,44,47,5881,14571
69,68,68,30,33,42219,30345
76,72,70,50,40,15439,67903
72,71,71,45,33,51267,82721
73,73,72,44,47,2657,59622
76,70,72,42,38,59780,87283
75,72,74,44,47,56988,44401
69,69,67,50,40,43323,101512
70,71,67,47,47,20276,44040
74,75,71,40,40,14262,779
72,70,72,44,33,68032,67044
71,64,67,45,34,15961,91047
69,72,70,47,33,2754,61632
73,73,72,44,47,25322,41697
72,71,71,45,33,64805,31309
71,71,70,45,35,40209,48082
75,74,77,56,44,23672,66724
71,64,67,45,34,28624,11938
76,76,73,44,35,65320,78270
71,70,67,45,35,7042,98871
70,71,67,47,47,48176,85336
82,80,83,37,61,35507,40987
79,79,77,44,34,26204,35957
80,80,80,46,36,56266,78733
72,71,71,45,33,2280,31647
81,78,78,47,43,31217,52119
73,73,71,53,48,68851,11621
78,77,75,47,47,51371,311
75,72,74,44,47,28488,31982
70,71,67,47,47,69164,64445
71,74,74,37,34,34823,28957
71,71,70,45,35,37785,52661
81,78,75,55,45,1421,98920
80,75,72,59,42,35606,22279
81,78,78,47,43,43604,100501
71,72,70,47,47,8806,16304
71,64,67,45,34,46583,5272
73,73,72,44,47,62972,93072
78,73,74,56,30,45943,33623
76,76,73,44,35,63825,95224
71,70,67,45,35,22889,74763
69,68,68,30,33,49910,83997
74,73,75,48,57,2424,33185
64,65,64,45,34,51066,106987
78,79,75,44,35,54299,27539
70,72,72,44,47,66203,28310
73,74,69,45,35,2333,98660
77,80,81,44,34,15855,38072
72,69,70,44,33,247,44488
78,73,74,59,42,49574,71600
70,70,70,50,40,43339,65600
79,74,78,56,44,46235,51741
66,69,64,55,55,39090,51781
76,74,74,40,40,12714,68027
81,79,76,50,48,17574,67945
68,70,68,32,48,44090,17207
67,71,72,45,55,28640,49073
81,79,81,47,43,59253,87150
68,68,68,35,33,46242,53551
73,73,74,47,47,52085,67923
70,70,70,50,40,3258,6551
64,65,64,45,34,56472,31273
71,75,74,63,54,3431,104111
73,74,69,45,35,9339,2608
81,79,76,50,48,4278,69439
77,76,76,47,47,64459,106452
77,80,81,44,34,41306,53935
66,69,64,55,55,563,26034
68,68,68,35,33,29902,103919
74,72,72,45,33,30414,70811
81,82,79,42,48,42258,48830
76,74,72,50,40,2293,95307
