study,nyc_paths,nyc_runtime,school_paths,school_runtime,credit_paths,credit_runtime,steel_paths,steel_runtime
enumerate,11,16.090322971343994,1104,1.8188531398773193,1,0.3652231693267822,139,0.45615696907043457
enumerate_join,11,97.80441808700562,1104,894.5505170822144,1,2.2490670680999756,139,70.75007104873657
enumerate_prune,5,68.50846910476685,76,103.63948583602905,1,3.243295907974243,139,76.39772272109985
enumerate_join_prune_fs,5,94.34099507331848,76,1100.10804104805,1,2.793949842453003,69,161.21091675758362
enumerate_join_prune_fs_rank_jk,5,103.16117119789124,41,1012.9766409397125,1,3.443817138671875,38,176.14471101760864
