algorithm,data_path,approach,data_label,join_time,total_time,feature_selection_time,depth,accuracy,train_time,feature_importance,join_path_features,cutoff_threshold,redundancy_threshold,rank
ExtraTrees,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_2.csv,MAB,credit,,9.25,9.25,,0.65,0,"{'credit/table_1_1.housing': 0.08975, 'credit/table_0_0.employment': 0.07049999999999998, 'Key_0_0': 0.06275000000000001, 'credit/table_1_1.Key_1_1': 0.0615, 'credit/table_1_2.own_telephone': 0.05800000000000001, 'credit/table_1_1.job': 0.05425000000000002, 'credit/table_0_0.residence_since': 0.053500000000000034, 'credit/table_1_2.Key_1_2': 0.05325000000000002, 'credit/table_1_2.existing_credits': 0.050999999999999976, 'credit/table_1_2.other_payment_plans': 0.04024999999999999, 'credit/table_0_0.num_dependents': 0.024499999999999987, 'credit/table_1_1.other_parties': 0.016250000000000007}","['credit/table_0_0.class', 'credit/table_0_0.residence_since', 'credit/table_0_0.num_dependents', 'credit/table_0_0.employment', 'Key_0_0', 'credit/table_1_1.Key_1_1', 'credit/table_1_1.housing', 'credit/table_1_1.job', 'credit/table_1_1.other_parties', 'credit/table_1_2.own_telephone', 'credit/table_1_2.Key_1_2', 'credit/table_1_2.existing_credits', 'credit/table_1_2.other_payment_plans']",,,
XGBoost,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_2.csv,MAB,credit,,7.51,7.51,,0.685,0,"{'credit/table_1_1.housing': 0.08700000000000001, 'credit/table_1_1.Key_1_1': 0.049250000000000016, 'credit/table_1_2.Key_1_2': 0.041000000000000016, 'credit/table_1_2.other_payment_plans': 0.040000000000000036, 'Key_0_0': 0.03450000000000002, 'credit/table_0_0.employment': 0.028750000000000008, 'credit/table_1_2.own_telephone': 0.012999999999999966, 'credit/table_0_0.residence_since': 0.011000000000000032, 'credit/table_1_1.job': 0.01100000000000001, 'credit/table_1_2.existing_credits': 0.008250000000000025, 'credit/table_0_0.num_dependents': 0.0, 'credit/table_1_1.other_parties': -0.0004999999999999894}","['credit/table_0_0.class', 'credit/table_0_0.residence_since', 'credit/table_0_0.num_dependents', 'credit/table_0_0.employment', 'Key_0_0', 'credit/table_1_1.housing', 'credit/table_1_1.Key_1_1', 'credit/table_1_1.other_parties', 'credit/table_1_1.job', 'credit/table_1_2.Key_1_2', 'credit/table_1_2.other_payment_plans', 'credit/table_1_2.own_telephone', 'credit/table_1_2.existing_credits']",,,
LightGBM,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_2.csv,MAB,credit,,5.14,5.14,,0.665,0,"{'credit/table_1_1.housing': 0.02725000000000004, 'credit/table_1_2.Key_1_2': 0.019750000000000045, 'credit/table_1_1.Key_1_1': 0.016000000000000014, 'credit/table_0_0.employment': 0.013250000000000007, 'Key_0_0': 0.010250000000000047, 'credit/table_0_0.residence_since': 0.006000000000000072, 'credit/table_1_2.own_telephone': 0.003250000000000042, 'credit/table_1_2.existing_credits': 0.0025000000000000577, 'credit/table_1_1.other_parties': 0.0012500000000000623, 'credit/table_0_0.num_dependents': 0.0007500000000000506, 'credit/table_1_2.other_payment_plans': 4.4408920985006264e-17, 'credit/table_1_1.job': 0.0}","['credit/table_0_0.class', 'credit/table_0_0.residence_since', 'credit/table_0_0.num_dependents', 'credit/table_0_0.employment', 'Key_0_0', 'credit/table_1_1.Key_1_1', 'credit/table_1_1.housing', 'credit/table_1_1.other_parties', 'credit/table_1_1.job', 'credit/table_1_2.Key_1_2', 'credit/table_1_2.own_telephone', 'credit/table_1_2.existing_credits', 'credit/table_1_2.other_payment_plans']",,,
RandomForest,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_2.csv,MAB,credit,,9.32,9.32,,0.68,0,"{'Key_0_0': 0.08524999999999998, 'credit/table_1_2.Key_1_2': 0.07549999999999997, 'credit/table_1_1.Key_1_1': 0.07074999999999998, 'credit/table_1_1.housing': 0.059499999999999977, 'credit/table_0_0.employment': 0.05224999999999998, 'credit/table_1_1.job': 0.03299999999999996, 'credit/table_0_0.residence_since': 0.03199999999999996, 'credit/table_1_2.other_payment_plans': 0.028749999999999942, 'credit/table_1_2.existing_credits': 0.014749999999999952, 'credit/table_1_2.own_telephone': 0.010499999999999976, 'credit/table_0_0.num_dependents': 0.009249999999999958, 'credit/table_1_1.other_parties': 0.003999999999999959}","['credit/table_0_0.class', 'credit/table_0_0.residence_since', 'credit/table_0_0.num_dependents', 'credit/table_0_0.employment', 'Key_0_0', 'credit/table_1_1.Key_1_1', 'credit/table_1_1.housing', 'credit/table_1_1.job', 'credit/table_1_1.other_parties', 'credit/table_1_2.Key_1_2', 'credit/table_1_2.other_payment_plans', 'credit/table_1_2.existing_credits', 'credit/table_1_2.own_telephone']",,,
ExtraTrees,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_3.csv,MAB,steel,,8.5,8.5,,0.6966580976863753,0,"{'steel/table_1_3.V20': 0.08079896907216488, 'steel/table_1_1.V21': 0.04226804123711336, 'steel/table_1_2.V25': 0.03350515463917525, 'Key_0_0': 0.03028350515463918, 'steel/table_1_3.V16': 0.027706185567010322, 'steel/table_1_3.Key_1_3': 0.0259020618556701, 'steel/table_1_1.Key_1_1': 0.02293814432989687, 'steel/table_1_2.Key_1_2': 0.02126288659793809, 'steel/table_1_2.V26': 0.018943298969072098, 'steel/table_1_1.V10': 0.017525773195876226, 'steel/table_0_0.V12': 0.013402061855670055, 'steel/table_0_0.V13': 0.006314432989690699}","['steel/table_0_0.Class', 'steel/table_0_0.V13', 'steel/table_0_0.V12', 'Key_0_0', 'steel/table_1_1.V10', 'steel/table_1_1.Key_1_1', 'steel/table_1_1.V21', 'steel/table_1_2.V25', 'steel/table_1_2.V26', 'steel/table_1_2.Key_1_2', 'steel/table_1_3.V20', 'steel/table_1_3.V16', 'steel/table_1_3.Key_1_3']",,,
XGBoost,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_3.csv,MAB,steel,,5.9,5.9,,0.6735218508997429,0,"{'steel/table_1_3.V20': 0.147680412371134, 'steel/table_1_2.V25': 0.05167525773195871, 'steel/table_0_0.V13': 0.05064432989690717, 'steel/table_1_2.V26': 0.04793814432989685, 'steel/table_1_1.V10': 0.025515463917525773, 'steel/table_1_3.V16': 0.023195876288659777, 'steel/table_1_3.Key_1_3': 0.012371134020618513, 'steel/table_1_1.Key_1_1': 0.010824742268041199, 'Key_0_0': 0.006185567010309256, 'steel/table_1_2.Key_1_2': 0.002577319587628857, 'steel/table_0_0.V12': 0.0, 'steel/table_1_1.V21': 0.0}","['steel/table_0_0.Class', 'steel/table_0_0.V13', 'steel/table_0_0.V12', 'Key_0_0', 'steel/table_1_1.V10', 'steel/table_1_1.Key_1_1', 'steel/table_1_1.V21', 'steel/table_1_2.V26', 'steel/table_1_2.V25', 'steel/table_1_2.Key_1_2', 'steel/table_1_3.V20', 'steel/table_1_3.V16', 'steel/table_1_3.Key_1_3']",,,
LightGBM,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_3.csv,MAB,steel,,4.34,4.34,,0.6915167095115681,0,"{'steel/table_1_3.V20': 0.12448453608247426, 'steel/table_0_0.V13': 0.05309278350515467, 'steel/table_1_2.V26': 0.04974226804123716, 'steel/table_1_2.V25': 0.046391752577319645, 'steel/table_1_1.V10': 0.04046391752577323, 'steel/table_1_3.V16': 0.032860824742268036, 'steel/table_1_3.Key_1_3': 0.028737113402061865, 'Key_0_0': 0.02126288659793818, 'steel/table_1_1.Key_1_1': 0.017912371134020666, 'steel/table_1_2.Key_1_2': 0.013788659793814495, 'steel/table_0_0.V12': 0.0006443298969072142, 'steel/table_1_1.V21': 0.0}","['steel/table_0_0.Class', 'steel/table_0_0.V13', 'steel/table_0_0.V12', 'Key_0_0', 'steel/table_1_1.V10', 'steel/table_1_1.Key_1_1', 'steel/table_1_1.V21', 'steel/table_1_2.V26', 'steel/table_1_2.V25', 'steel/table_1_2.Key_1_2', 'steel/table_1_3.V20', 'steel/table_1_3.V16', 'steel/table_1_3.Key_1_3']",,,
RandomForest,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_3.csv,MAB,steel,,7.52,7.52,,0.7146529562982005,0,"{'steel/table_1_3.V20': 0.09987113402061853, 'steel/table_1_3.V16': 0.040592783505154606, 'steel/table_1_2.V26': 0.03994845360824739, 'steel/table_1_1.V10': 0.03762886597938142, 'steel/table_1_2.V25': 0.03634020618556699, 'Key_0_0': 0.023582474226804106, 'steel/table_1_3.Key_1_3': 0.014304123711340155, 'steel/table_1_2.Key_1_2': 0.010309278350515427, 'steel/table_1_1.Key_1_1': 0.009922680412371099, 'steel/table_0_0.V13': 0.0029639175257731853, 'steel/table_0_0.V12': 0.0012886597938144284, 'steel/table_1_1.V21': -0.0006443298969072142}","['steel/table_0_0.Class', 'steel/table_0_0.V13', 'steel/table_0_0.V12', 'Key_0_0', 'steel/table_1_1.V10', 'steel/table_1_1.Key_1_1', 'steel/table_1_1.V21', 'steel/table_1_2.V26', 'steel/table_1_2.V25', 'steel/table_1_2.Key_1_2', 'steel/table_1_3.V20', 'steel/table_1_3.V16', 'steel/table_1_3.Key_1_3']",,,
ExtraTrees,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_3.csv--Key_0_0-table_1_3.csv,MAB,jannis,,173.38,173.38,,0.544373046196596,0,"{'jannis/table_0_0.V4': 0.06011999999999997, 'jannis/table_1_2.V29': 0.0011999999999999789, 'jannis/table_1_3.V53': 0.0008799999999999697, 'Key_0_0': 0.00043999999999995155, 'jannis/table_0_0.V42': 0.00040000000000000034, 'jannis/table_1_2.V40': 0.00039999999999997817, 'jannis/table_0_0.V54': 0.00035999999999998257, 'jannis/table_0_0.V46': 0.0002799999999999692, 'jannis/table_1_2.V43': 0.00023999999999997358, 'jannis/table_1_3.V48': 0.00019999999999997797, 'jannis/table_1_3.Key_1_3': 0.00015999999999998237, 'jannis/table_1_1.Key_1_1': 0.00011999999999998679, 'jannis/table_1_1.V32': 0.00011999999999996458, 'jannis/table_1_1.V35': 3.999999999997339e-05, 'jannis/table_1_2.Key_1_2': 3.999999999997339e-05, 'jannis/table_1_3.V37': -4.00000000000178e-05, 'jannis/table_1_1.V31': -4.0000000000040004e-05, 'jannis/table_1_1.V49': -8.00000000000356e-05, 'jannis/table_1_3.V33': -0.00036000000000002697, 'jannis/table_1_2.V38': -0.00040000000000000034}","['jannis/table_0_0.class', 'jannis/table_0_0.V4', 'jannis/table_0_0.V46', 'jannis/table_0_0.V54', 'jannis/table_0_0.V42', 'Key_0_0', 'jannis/table_1_1.Key_1_1', 'jannis/table_1_1.V31', 'jannis/table_1_1.V49', 'jannis/table_1_1.V32', 'jannis/table_1_1.V35', 'jannis/table_1_2.V29', 'jannis/table_1_2.Key_1_2', 'jannis/table_1_2.V38', 'jannis/table_1_2.V43', 'jannis/table_1_2.V40', 'jannis/table_1_3.V37', 'jannis/table_1_3.V48', 'jannis/table_1_3.V33', 'jannis/table_1_3.V53', 'jannis/table_1_3.Key_1_3']",,,
XGBoost,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_3.csv--Key_0_0-table_1_3.csv,MAB,jannis,,28.18,28.18,,0.5592219520666898,0,"{'jannis/table_0_0.V4': 0.08911999999999998, 'jannis/table_1_1.V32': 0.004359999999999986, 'jannis/table_1_2.V38': 0.004279999999999973, 'Key_0_0': 0.0032399999999999764, 'jannis/table_1_3.V33': 0.0023199999999999666, 'jannis/table_1_3.V53': 0.002239999999999953, 'jannis/table_1_1.V31': 0.0021999999999999576, 'jannis/table_0_0.V46': 0.0017999999999999572, 'jannis/table_0_0.V54': 0.0017199999999999882, 'jannis/table_1_3.V37': 0.0016399999999999748, 'jannis/table_0_0.V42': 0.0011599999999999833, 'jannis/table_1_3.Key_1_3': 0.0011599999999999833, 'jannis/table_1_2.V40': 0.0010399999999999964, 'jannis/table_1_2.V29': 0.0010399999999999743, 'jannis/table_1_2.Key_1_2': 0.001039999999999952, 'jannis/table_1_1.V49': 0.0009599999999999831, 'jannis/table_1_2.V43': 0.0008799999999999697, 'jannis/table_1_1.Key_1_1': 0.0007199999999999651, 'jannis/table_1_1.V35': 0.0004399999999999737, 'jannis/table_1_3.V48': 0.00035999999999998257}","['jannis/table_0_0.class', 'jannis/table_0_0.V4', 'jannis/table_0_0.V46', 'jannis/table_0_0.V54', 'jannis/table_0_0.V42', 'Key_0_0', 'jannis/table_1_1.V31', 'jannis/table_1_1.V32', 'jannis/table_1_1.V49', 'jannis/table_1_1.V35', 'jannis/table_1_1.Key_1_1', 'jannis/table_1_2.V38', 'jannis/table_1_2.V29', 'jannis/table_1_2.V40', 'jannis/table_1_2.Key_1_2', 'jannis/table_1_2.V43', 'jannis/table_1_3.V33', 'jannis/table_1_3.V53', 'jannis/table_1_3.V37', 'jannis/table_1_3.Key_1_3', 'jannis/table_1_3.V48']",,,
