algorithm,data_path,approach,data_label,join_time,total_time,feature_selection_time,depth,accuracy,train_time,feature_importance,join_path_features,cutoff_threshold,redundancy_threshold,rank
LightGBM,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_3.csv--Key_0_0-table_1_3.csv,MAB,jannis,,19.23,19.23,,0.5545328238971865,0,"{'jannis/table_0_0.V4': 0.07895999999999996, 'jannis/table_1_3.V33': 0.002639999999999998, 'Key_0_0': 0.0016399999999999748, 'jannis/table_0_0.V42': 0.0012399999999999523, 'jannis/table_1_2.V29': 0.0011999999999999789, 'jannis/table_1_1.V31': 0.0009599999999999831, 'jannis/table_1_3.V53': 0.0009199999999999653, 'jannis/table_1_3.V37': 0.0007599999999999607, 'jannis/table_0_0.V46': 0.0006799999999999695, 'jannis/table_1_1.V35': 0.0006399999999999961, 'jannis/table_1_2.Key_1_2': 0.0005199999999999872, 'jannis/table_1_1.V49': 0.0005199999999999649, 'jannis/table_1_3.Key_1_3': 0.00035999999999998257, 'jannis/table_1_2.V38': 0.00031999999999996474, 'jannis/table_1_2.V43': 0.00027999999999999136, 'jannis/table_1_2.V40': 0.00015999999999998237, 'jannis/table_1_1.Key_1_1': 0.00011999999999996458, 'jannis/table_1_1.V32': 0.0, 'jannis/table_0_0.V54': 0.0, 'jannis/table_1_3.V48': 0.0}","['jannis/table_0_0.class', 'jannis/table_0_0.V4', 'jannis/table_0_0.V46', 'jannis/table_0_0.V54', 'jannis/table_0_0.V42', 'Key_0_0', 'jannis/table_1_1.V32', 'jannis/table_1_1.V31', 'jannis/table_1_1.V49', 'jannis/table_1_1.V35', 'jannis/table_1_1.Key_1_1', 'jannis/table_1_2.V38', 'jannis/table_1_2.V40', 'jannis/table_1_2.V43', 'jannis/table_1_2.V29', 'jannis/table_1_2.Key_1_2', 'jannis/table_1_3.V33', 'jannis/table_1_3.V53', 'jannis/table_1_3.V37', 'jannis/table_1_3.Key_1_3', 'jannis/table_1_3.V48']",,,
RandomForest,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_3.csv--Key_0_0-table_1_3.csv,MAB,jannis,,221.21,221.21,,0.5501910385550538,0,"{'jannis/table_0_0.V4': 0.23491999999999996, 'jannis/table_1_3.V33': 0.0009200000000000097, 'jannis/table_1_2.V43': 0.0008400000000000407, 'Key_0_0': 0.00032000000000003136, 'jannis/table_0_0.V46': 0.00027999999999999136, 'jannis/table_1_3.Key_1_3': 0.00023999999999999578, 'jannis/table_1_2.V29': 0.00011999999999998679, 'jannis/table_1_1.V49': 7.999999999999118e-05, 'jannis/table_1_3.V48': 4.0000000000040004e-05, 'jannis/table_1_1.V35': 3.999999999999559e-05, 'jannis/table_0_0.V42': 2.2204460492503132e-17, 'jannis/table_1_1.V31': 0.0, 'jannis/table_1_2.V40': -3.999999999997339e-05, 'jannis/table_1_3.V53': -7.999999999999118e-05, 'jannis/table_1_1.V32': -0.00015999999999998237, 'jannis/table_1_2.V38': -0.00023999999999995135, 'jannis/table_1_2.Key_1_2': -0.00023999999999997358, 'jannis/table_1_1.Key_1_1': -0.0002799999999999692, 'jannis/table_0_0.V54': -0.00027999999999999136, 'jannis/table_1_3.V37': -0.00027999999999999136}","['jannis/table_0_0.class', 'jannis/table_0_0.V4', 'jannis/table_0_0.V46', 'jannis/table_0_0.V54', 'jannis/table_0_0.V42', 'Key_0_0', 'jannis/table_1_1.V35', 'jannis/table_1_1.V31', 'jannis/table_1_1.Key_1_1', 'jannis/table_1_1.V32', 'jannis/table_1_1.V49', 'jannis/table_1_2.V43', 'jannis/table_1_2.Key_1_2', 'jannis/table_1_2.V38', 'jannis/table_1_2.V29', 'jannis/table_1_2.V40', 'jannis/table_1_3.V33', 'jannis/table_1_3.Key_1_3', 'jannis/table_1_3.V53', 'jannis/table_1_3.V48', 'jannis/table_1_3.V37']",,,
ExtraTrees,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_3.csv--Key_0_0-table_1_3.csv,MAB,miniboone,,139.48,139.48,,0.8713013698630137,0,"{'miniboone/table_1_2.ParticleID_0': 0.13467999999999997, 'miniboone/table_1_3.ParticleID_1': 0.09527999999999999, 'miniboone/table_1_3.ParticleID_17': 0.04379999999999999, 'miniboone/table_0_0.ParticleID_19': 0.03831999999999998, 'miniboone/table_1_3.ParticleID_32': 0.036719999999999975, 'miniboone/table_1_1.ParticleID_30': 0.034319999999999996, 'miniboone/table_0_0.ParticleID_43': 0.028159999999999984, 'miniboone/table_1_2.ParticleID_37': 0.02792000000000001, 'miniboone/table_1_1.ParticleID_47': 0.027839999999999976, 'miniboone/table_0_0.ParticleID_33': 0.023239999999999993, 'miniboone/table_1_1.ParticleID_40': 0.017679999999999963, 'miniboone/table_1_2.ParticleID_48': 0.01419999999999999, 'miniboone/table_1_1.Key_1_1': 0.007519999999999994, 'miniboone/table_1_2.Key_1_2': 0.007359999999999989, 'miniboone/table_1_3.Key_1_3': 0.00723999999999998, 'Key_0_0': 0.006679999999999997}","['miniboone/table_0_0.signal', 'miniboone/table_0_0.ParticleID_19', 'miniboone/table_0_0.ParticleID_33', 'miniboone/table_0_0.ParticleID_43', 'Key_0_0', 'miniboone/table_1_1.ParticleID_47', 'miniboone/table_1_1.ParticleID_30', 'miniboone/table_1_1.ParticleID_40', 'miniboone/table_1_1.Key_1_1', 'miniboone/table_1_2.ParticleID_0', 'miniboone/table_1_2.ParticleID_37', 'miniboone/table_1_2.ParticleID_48', 'miniboone/table_1_2.Key_1_2', 'miniboone/table_1_3.ParticleID_1', 'miniboone/table_1_3.ParticleID_17', 'miniboone/table_1_3.ParticleID_32', 'miniboone/table_1_3.Key_1_3']",,,
XGBoost,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_3.csv--Key_0_0-table_1_3.csv,MAB,miniboone,,37.47,37.47,,0.8797945205479452,0,"{'miniboone/table_1_3.ParticleID_1': 0.1416, 'miniboone/table_1_2.ParticleID_0': 0.11443999999999999, 'miniboone/table_1_3.ParticleID_17': 0.07067999999999999, 'miniboone/table_0_0.ParticleID_19': 0.039880000000000006, 'miniboone/table_0_0.ParticleID_43': 0.026839999999999975, 'miniboone/table_1_1.ParticleID_30': 0.015559999999999996, 'miniboone/table_1_1.ParticleID_47': 0.012359999999999993, 'miniboone/table_0_0.ParticleID_33': 0.011920000000000019, 'miniboone/table_1_1.ParticleID_40': 0.011919999999999997, 'miniboone/table_1_2.ParticleID_37': 0.01040000000000001, 'miniboone/table_1_2.ParticleID_48': 0.01040000000000001, 'miniboone/table_1_3.ParticleID_32': 0.010280000000000022, 'Key_0_0': 0.0035600000000000076, 'miniboone/table_1_2.Key_1_2': 0.0029999999999999805, 'miniboone/table_1_1.Key_1_1': 0.0024399999999999977, 'miniboone/table_1_3.Key_1_3': 0.0020399999999999975}","['miniboone/table_0_0.signal', 'miniboone/table_0_0.ParticleID_19', 'miniboone/table_0_0.ParticleID_33', 'miniboone/table_0_0.ParticleID_43', 'Key_0_0', 'miniboone/table_1_1.ParticleID_47', 'miniboone/table_1_1.ParticleID_30', 'miniboone/table_1_1.ParticleID_40', 'miniboone/table_1_1.Key_1_1', 'miniboone/table_1_2.ParticleID_0', 'miniboone/table_1_2.ParticleID_37', 'miniboone/table_1_2.ParticleID_48', 'miniboone/table_1_2.Key_1_2', 'miniboone/table_1_3.ParticleID_1', 'miniboone/table_1_3.ParticleID_17', 'miniboone/table_1_3.ParticleID_32', 'miniboone/table_1_3.Key_1_3']",,,
LightGBM,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_3.csv--Key_0_0-table_1_3.csv,MAB,miniboone,,34.03,34.03,,0.8792465753424658,0,"{'miniboone/table_1_3.ParticleID_1': 0.13496000000000002, 'miniboone/table_1_2.ParticleID_0': 0.10404, 'miniboone/table_1_3.ParticleID_17': 0.06927999999999998, 'miniboone/table_0_0.ParticleID_19': 0.03660000000000001, 'miniboone/table_0_0.ParticleID_43': 0.02515999999999998, 'miniboone/table_1_1.ParticleID_30': 0.013960000000000018, 'miniboone/table_0_0.ParticleID_33': 0.01344000000000003, 'miniboone/table_1_2.ParticleID_37': 0.010840000000000006, 'miniboone/table_1_1.ParticleID_47': 0.010600000000000009, 'miniboone/table_1_3.ParticleID_32': 0.010519999999999996, 'miniboone/table_1_2.ParticleID_48': 0.009159999999999991, 'miniboone/table_1_1.ParticleID_40': 0.008240000000000025, 'miniboone/table_1_2.Key_1_2': 0.0028400000000000205, 'miniboone/table_1_1.Key_1_1': 0.0027200000000000115, 'miniboone/table_1_3.Key_1_3': 0.0014800000000000147, 'Key_0_0': 0.00132000000000001}","['miniboone/table_0_0.signal', 'miniboone/table_0_0.ParticleID_19', 'miniboone/table_0_0.ParticleID_33', 'miniboone/table_0_0.ParticleID_43', 'Key_0_0', 'miniboone/table_1_1.ParticleID_47', 'miniboone/table_1_1.ParticleID_30', 'miniboone/table_1_1.ParticleID_40', 'miniboone/table_1_1.Key_1_1', 'miniboone/table_1_2.ParticleID_0', 'miniboone/table_1_2.ParticleID_37', 'miniboone/table_1_2.ParticleID_48', 'miniboone/table_1_2.Key_1_2', 'miniboone/table_1_3.ParticleID_1', 'miniboone/table_1_3.ParticleID_17', 'miniboone/table_1_3.ParticleID_32', 'miniboone/table_1_3.Key_1_3']",,,
RandomForest,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_3.csv--Key_0_0-table_1_3.csv,MAB,miniboone,,183.43,183.43,,0.8765753424657534,0,"{'miniboone/table_1_3.ParticleID_1': 0.16151999999999997, 'miniboone/table_1_2.ParticleID_0': 0.15219999999999997, 'miniboone/table_1_3.ParticleID_17': 0.09276, 'miniboone/table_0_0.ParticleID_19': 0.05599999999999998, 'miniboone/table_0_0.ParticleID_43': 0.03155999999999999, 'miniboone/table_1_1.ParticleID_30': 0.029360000000000032, 'miniboone/table_1_1.ParticleID_47': 0.02200000000000002, 'miniboone/table_1_2.ParticleID_37': 0.02155999999999998, 'miniboone/table_1_3.ParticleID_32': 0.017559999999999975, 'miniboone/table_1_2.ParticleID_48': 0.015879999999999984, 'miniboone/table_0_0.ParticleID_33': 0.011719999999999975, 'miniboone/table_1_1.ParticleID_40': 0.01088, 'miniboone/table_1_2.Key_1_2': 0.0032399999999999985, 'miniboone/table_1_3.Key_1_3': 0.003159999999999985, 'Key_0_0': 0.003080000000000016, 'miniboone/table_1_1.Key_1_1': 0.0026000000000000025}","['miniboone/table_0_0.signal', 'miniboone/table_0_0.ParticleID_19', 'miniboone/table_0_0.ParticleID_33', 'miniboone/table_0_0.ParticleID_43', 'Key_0_0', 'miniboone/table_1_1.ParticleID_47', 'miniboone/table_1_1.ParticleID_30', 'miniboone/table_1_1.ParticleID_40', 'miniboone/table_1_1.Key_1_1', 'miniboone/table_1_2.ParticleID_0', 'miniboone/table_1_2.ParticleID_37', 'miniboone/table_1_2.ParticleID_48', 'miniboone/table_1_2.Key_1_2', 'miniboone/table_1_3.ParticleID_1', 'miniboone/table_1_3.ParticleID_17', 'miniboone/table_1_3.ParticleID_32', 'miniboone/table_1_3.Key_1_3']",,,
ExtraTrees,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_3.csv--Key_0_0-table_1_3.csv,MAB,covertype,,482.81,482.81,,0.6180962046827795,0,"{'covertype/table_1_2.Aspect': 0.19688, 'covertype/table_1_2.Horizontal_Distance_To_Hydrology': 0.16563999999999995, 'covertype/table_1_1.Hillshade_3pm': 0.14944, 'covertype/table_1_3.Wilderness_Area3': 0.12891999999999998, 'Key_0_0': 0.10755999999999996, 'covertype/table_1_3.Key_1_3': 0.10699999999999998, 'covertype/table_1_1.Key_1_1': 0.10364, 'covertype/table_1_2.Key_1_2': 0.10332, 'covertype/table_1_2.Wilderness_Area1': 0.09176, 'covertype/table_0_0.Soil_Type33': 0.04663999999999997, 'covertype/table_1_3.Soil_Type31': 0.03243999999999998, 'covertype/table_0_0.Soil_Type32': 0.030999999999999982, 'covertype/table_0_0.Soil_Type20': 0.009479999999999978, 'covertype/table_1_3.Soil_Type16': 0.003479999999999972, 'covertype/table_1_3.Soil_Type17': 0.0016800000000000148, 'covertype/table_1_2.Soil_Type27': 0.00132000000000001, 'covertype/table_1_1.Soil_Type25': 0.0008399999999999963, 'covertype/table_0_0.Soil_Type36': 3.999999999999559e-05, 'covertype/table_1_1.Soil_Type8': 3.999999999999559e-05, 'covertype/table_1_1.Soil_Type7': 0.0}","['covertype/table_0_0.class', 'covertype/table_0_0.Soil_Type20', 'covertype/table_0_0.Soil_Type36', 'covertype/table_0_0.Soil_Type32', 'covertype/table_0_0.Soil_Type33', 'Key_0_0', 'covertype/table_1_1.Hillshade_3pm', 'covertype/table_1_1.Key_1_1', 'covertype/table_1_1.Soil_Type25', 'covertype/table_1_1.Soil_Type7', 'covertype/table_1_1.Soil_Type8', 'covertype/table_1_2.Aspect', 'covertype/table_1_2.Horizontal_Distance_To_Hydrology', 'covertype/table_1_2.Key_1_2', 'covertype/table_1_2.Wilderness_Area1', 'covertype/table_1_2.Soil_Type27', 'covertype/table_1_3.Wilderness_Area3', 'covertype/table_1_3.Key_1_3', 'covertype/table_1_3.Soil_Type31', 'covertype/table_1_3.Soil_Type16', 'covertype/table_1_3.Soil_Type17']",,,
XGBoost,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_3.csv--Key_0_0-table_1_3.csv,MAB,covertype,,67.9,67.9,,0.6214713935045317,0,"{'covertype/table_1_2.Horizontal_Distance_To_Hydrology': 0.06136000000000001, 'covertype/table_1_2.Aspect': 0.05875999999999999, 'covertype/table_1_1.Hillshade_3pm': 0.049680000000000016, 'covertype/table_1_3.Wilderness_Area3': 0.040160000000000015, 'covertype/table_1_2.Wilderness_Area1': 0.03956, 'covertype/table_0_0.Soil_Type33': 0.015759999999999996, 'covertype/table_1_3.Soil_Type31': 0.012480000000000024, 'covertype/table_0_0.Soil_Type20': 0.003919999999999968, 'covertype/table_1_3.Soil_Type16': 0.002760000000000007, 'covertype/table_0_0.Soil_Type32': 0.002719999999999989, 'covertype/table_1_2.Soil_Type27': 0.0012000000000000233, 'covertype/table_1_3.Soil_Type17': 0.0011600000000000278, 'covertype/table_1_2.Key_1_2': 0.0008800000000000141, 'covertype/table_1_3.Key_1_3': 0.0007999999999999785, 'covertype/table_1_1.Soil_Type25': 0.0005600000000000049, 'covertype/table_1_1.Key_1_1': 0.0005199999999999872, 'Key_0_0': 0.00032000000000003136, 'covertype/table_1_1.Soil_Type8': 3.999999999999559e-05, 'covertype/table_0_0.Soil_Type36': 0.0, 'covertype/table_1_1.Soil_Type7': -7.999999999999118e-05}","['covertype/table_0_0.class', 'covertype/table_0_0.Soil_Type20', 'covertype/table_0_0.Soil_Type36', 'covertype/table_0_0.Soil_Type32', 'covertype/table_0_0.Soil_Type33', 'Key_0_0', 'covertype/table_1_1.Hillshade_3pm', 'covertype/table_1_1.Key_1_1', 'covertype/table_1_1.Soil_Type25', 'covertype/table_1_1.Soil_Type8', 'covertype/table_1_1.Soil_Type7', 'covertype/table_1_2.Aspect', 'covertype/table_1_2.Horizontal_Distance_To_Hydrology', 'covertype/table_1_2.Wilderness_Area1', 'covertype/table_1_2.Key_1_2', 'covertype/table_1_2.Soil_Type27', 'covertype/table_1_3.Wilderness_Area3', 'covertype/table_1_3.Soil_Type31', 'covertype/table_1_3.Soil_Type16', 'covertype/table_1_3.Soil_Type17', 'covertype/table_1_3.Key_1_3']",,,
LightGBM,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_3.csv--Key_0_0-table_1_3.csv,MAB,covertype,,47.01,47.01,,0.6128091956193353,0,"{'covertype/table_1_2.Aspect': 0.0548, 'covertype/table_1_2.Horizontal_Distance_To_Hydrology': 0.04588000000000003, 'covertype/table_1_3.Wilderness_Area3': 0.03968000000000001, 'covertype/table_1_2.Wilderness_Area1': 0.034319999999999996, 'covertype/table_1_1.Hillshade_3pm': 0.02148000000000001, 'covertype/table_0_0.Soil_Type33': 0.011720000000000019, 'covertype/table_1_3.Soil_Type31': 0.01072000000000004, 'covertype/table_0_0.Soil_Type20': 0.0022800000000000376, 'covertype/table_1_3.Soil_Type16': 0.0018399999999999972, 'covertype/table_1_3.Soil_Type17': 0.0014799999999999924, 'covertype/table_1_2.Soil_Type27': 0.0007600000000000274, 'covertype/table_0_0.Soil_Type32': 0.0002800000000000136, 'covertype/table_1_1.Soil_Type25': 0.00020000000000002237, 'covertype/table_1_1.Soil_Type7': 0.00011999999999998679, 'covertype/table_1_1.Key_1_1': 0.0, 'covertype/table_1_1.Soil_Type8': 0.0, 'covertype/table_0_0.Soil_Type36': 0.0, 'covertype/table_1_2.Key_1_2': 0.0, 'Key_0_0': 0.0, 'covertype/table_1_3.Key_1_3': 0.0}","['covertype/table_0_0.class', 'covertype/table_0_0.Soil_Type20', 'covertype/table_0_0.Soil_Type36', 'covertype/table_0_0.Soil_Type32', 'covertype/table_0_0.Soil_Type33', 'Key_0_0', 'covertype/table_1_1.Hillshade_3pm', 'covertype/table_1_1.Soil_Type7', 'covertype/table_1_1.Soil_Type25', 'covertype/table_1_1.Key_1_1', 'covertype/table_1_1.Soil_Type8', 'covertype/table_1_2.Aspect', 'covertype/table_1_2.Horizontal_Distance_To_Hydrology', 'covertype/table_1_2.Wilderness_Area1', 'covertype/table_1_2.Soil_Type27', 'covertype/table_1_2.Key_1_2', 'covertype/table_1_3.Wilderness_Area3', 'covertype/table_1_3.Soil_Type31', 'covertype/table_1_3.Soil_Type16', 'covertype/table_1_3.Soil_Type17', 'covertype/table_1_3.Key_1_3']",,,
RandomForest,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_3.csv--Key_0_0-table_1_3.csv,MAB,covertype,,834.2,834.2,,0.6340398413897281,0,"{'covertype/table_1_2.Aspect': 0.26087999999999995, 'covertype/table_1_1.Hillshade_3pm': 0.22915999999999997, 'covertype/table_1_2.Horizontal_Distance_To_Hydrology': 0.22131999999999996, 'covertype/table_1_3.Wilderness_Area3': 0.14647999999999997, 'covertype/table_1_2.Wilderness_Area1': 0.10755999999999996, 'covertype/table_1_3.Key_1_3': 0.10063999999999998, 'Key_0_0': 0.09839999999999996, 'covertype/table_1_1.Key_1_1': 0.09767999999999996, 'covertype/table_1_2.Key_1_2': 0.09507999999999997, 'covertype/table_0_0.Soil_Type33': 0.05267999999999995, 'covertype/table_0_0.Soil_Type32': 0.04423999999999997, 'covertype/table_1_3.Soil_Type31': 0.03587999999999998, 'covertype/table_0_0.Soil_Type20': 0.00923999999999996, 'covertype/table_1_3.Soil_Type16': 0.0031599999999999628, 'covertype/table_1_3.Soil_Type17': 0.0019999999999999797, 'covertype/table_1_2.Soil_Type27': 0.0013199999999999878, 'covertype/table_1_1.Soil_Type25': 0.0006399999999999961, 'covertype/table_0_0.Soil_Type36': 3.999999999999559e-05, 'covertype/table_1_1.Soil_Type8': 3.999999999999559e-05, 'covertype/table_1_1.Soil_Type7': 3.999999999999559e-05}","['covertype/table_0_0.class', 'covertype/table_0_0.Soil_Type20', 'covertype/table_0_0.Soil_Type36', 'covertype/table_0_0.Soil_Type32', 'covertype/table_0_0.Soil_Type33', 'Key_0_0', 'covertype/table_1_1.Hillshade_3pm', 'covertype/table_1_1.Key_1_1', 'covertype/table_1_1.Soil_Type25', 'covertype/table_1_1.Soil_Type7', 'covertype/table_1_1.Soil_Type8', 'covertype/table_1_2.Aspect', 'covertype/table_1_2.Horizontal_Distance_To_Hydrology', 'covertype/table_1_2.Wilderness_Area1', 'covertype/table_1_2.Key_1_2', 'covertype/table_1_2.Soil_Type27', 'covertype/table_1_3.Wilderness_Area3', 'covertype/table_1_3.Key_1_3', 'covertype/table_1_3.Soil_Type31', 'covertype/table_1_3.Soil_Type16', 'covertype/table_1_3.Soil_Type17']",,,
ExtraTrees,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_3.csv--Key_0_0-table_1_3.csv,MAB,eyemove,,43.77,43.77,,0.5558475689881734,0,"{'Key_0_0': 0.015599999999999992, 'eyemove/table_1_3.P1stFixation': 0.014000000000000012, 'eyemove/table_1_1.Key_1_1': 0.009840000000000005, 'eyemove/table_1_3.Key_1_3': 0.00504, 'eyemove/table_1_2.firstPassFixDur': 0.0025600000000000067, 'eyemove/table_1_3.pupilDiamMax': 0.002400000000000002, 'eyemove/table_1_1.prevFixDur': 0.0023199999999999887, 'eyemove/table_0_0.firstfixDur': 0.0018399999999999972, 'eyemove/table_1_2.assgNo': 0.0012399999999999967, 'eyemove/table_1_1.nextFixDur': 0.0011600000000000054, 'eyemove/table_1_2.lineNo': 0.00047999999999999156, 'eyemove/table_0_0.timePrtctg': 0.00027999999999999136, 'eyemove/table_1_2.lineNo.1': 0.0002799999999999692, 'eyemove/table_0_0.meanFixDur': 0.00019999999999997797, 'eyemove/table_1_1.totalFixDur': -0.001200000000000001, 'eyemove/table_1_3.leavingPos': -0.001200000000000001}","['eyemove/table_0_0.label', 'eyemove/table_0_0.meanFixDur', 'eyemove/table_0_0.timePrtctg', 'eyemove/table_0_0.firstfixDur', 'Key_0_0', 'eyemove/table_1_1.Key_1_1', 'eyemove/table_1_1.prevFixDur', 'eyemove/table_1_1.nextFixDur', 'eyemove/table_1_1.totalFixDur', 'eyemove/table_1_2.firstPassFixDur', 'eyemove/table_1_2.assgNo', 'eyemove/table_1_2.lineNo.1', 'eyemove/table_1_2.lineNo', 'eyemove/table_1_3.P1stFixation', 'eyemove/table_1_3.Key_1_3', 'eyemove/table_1_3.pupilDiamMax', 'eyemove/table_1_3.leavingPos']",,,
XGBoost,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_3.csv--Key_0_0-table_1_3.csv,MAB,eyemove,,31.29,31.29,,0.5551905387647832,0,"{'eyemove/table_1_2.lineNo': 0.09108000000000002, 'eyemove/table_1_3.pupilDiamMax': 0.07472000000000001, 'eyemove/table_0_0.timePrtctg': 0.05792000000000001, 'eyemove/table_1_3.leavingPos': 0.05392000000000001, 'eyemove/table_1_1.Key_1_1': 0.05156000000000003, 'Key_0_0': 0.0508, 'eyemove/table_1_3.Key_1_3': 0.04864000000000002, 'eyemove/table_1_2.assgNo': 0.04132000000000002, 'eyemove/table_1_1.prevFixDur': 0.030920000000000013, 'eyemove/table_1_1.nextFixDur': 0.0268, 'eyemove/table_0_0.firstfixDur': 0.024960000000000003, 'eyemove/table_1_2.firstPassFixDur': 0.019279999999999985, 'eyemove/table_0_0.meanFixDur': 0.01484000000000001, 'eyemove/table_1_1.totalFixDur': 0.014480000000000003, 'eyemove/table_1_3.P1stFixation': 0.004560000000000031, 'eyemove/table_1_2.lineNo.1': 0.0}","['eyemove/table_0_0.label', 'eyemove/table_0_0.meanFixDur', 'eyemove/table_0_0.timePrtctg', 'eyemove/table_0_0.firstfixDur', 'Key_0_0', 'eyemove/table_1_1.Key_1_1', 'eyemove/table_1_1.prevFixDur', 'eyemove/table_1_1.nextFixDur', 'eyemove/table_1_1.totalFixDur', 'eyemove/table_1_2.lineNo', 'eyemove/table_1_2.assgNo', 'eyemove/table_1_2.firstPassFixDur', 'eyemove/table_1_2.lineNo.1', 'eyemove/table_1_3.pupilDiamMax', 'eyemove/table_1_3.leavingPos', 'eyemove/table_1_3.Key_1_3', 'eyemove/table_1_3.P1stFixation']",,,
LightGBM,table_0_0--Key_0_0-table_1_1.csv--Key_0_0-table_1_1.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_2.csv--Key_0_0-table_1_3.csv--Key_0_0-table_1_3.csv,MAB,eyemove,,21.0,21.0,,0.5177398160315374,0,"{'eyemove/table_1_3.leavingPos': 0.09475999999999998, 'eyemove/table_1_2.lineNo': 0.06555999999999998, 'eyemove/table_1_3.pupilDiamMax': 0.06383999999999998, 'Key_0_0': 0.049719999999999986, 'eyemove/table_0_0.timePrtctg': 0.04407999999999999, 'eyemove/table_1_1.Key_1_1': 0.03819999999999999, 'eyemove/table_1_3.Key_1_3': 0.03811999999999997, 'eyemove/table_1_1.nextFixDur': 0.02692000000000001, 'eyemove/table_0_0.firstfixDur': 0.026159999999999982, 'eyemove/table_1_1.prevFixDur': 0.021119999999999983, 'eyemove/table_1_2.firstPassFixDur': 0.018520000000000002, 'eyemove/table_1_2.assgNo': 0.01372, 'eyemove/table_1_1.totalFixDur': 0.009079999999999977, 'eyemove/table_1_3.P1stFixation': 0.008599999999999986, 'eyemove/table_0_0.meanFixDur': 0.007319999999999971, 'eyemove/table_1_2.lineNo.1': 0.0}","['eyemove/table_0_0.label', 'eyemove/table_0_0.meanFixDur', 'eyemove/table_0_0.timePrtctg', 'eyemove/table_0_0.firstfixDur', 'Key_0_0', 'eyemove/table_1_1.Key_1_1', 'eyemove/table_1_1.prevFixDur', 'eyemove/table_1_1.nextFixDur', 'eyemove/table_1_1.totalFixDur', 'eyemove/table_1_2.lineNo', 'eyemove/table_1_2.firstPassFixDur', 'eyemove/table_1_2.assgNo', 'eyemove/table_1_2.lineNo.1', 'eyemove/table_1_3.leavingPos', 'eyemove/table_1_3.pupilDiamMax', 'eyemove/table_1_3.Key_1_3', 'eyemove/table_1_3.P1stFixation']",,,
