algorithm,data_path,approach,data_label,join_time,total_time,feature_selection_time,depth,accuracy,train_time,feature_importance,join_path_features,cutoff_threshold,redundancy_threshold,rank,top_k
LightGBM,credit/table_0_0.csv--Key_0_0-credit/table_1_1.csv--Key_0_0-credit/table_1_2.csv,ARDA,credit,,6.352835655212402,3.192009210586548,,0.69,3.1608264446258545,"{'credit/table_1_1.csv.Key_1_1': 0.0, 'credit/table_1_2.csv.Key_1_2': 0.0, 'credit/table_0_0.csv.residence_since': 0.0, 'credit/table_0_0.csv.num_dependents': 0.0, 'credit/table_0_0.csv.employment': 0.0, 'credit/table_0_0.csv.Key_0_0': 0.0}","['credit/table_1_1.csv.Key_1_1', 'credit/table_1_2.csv.Key_1_2', 'credit/table_0_0.csv.residence_since', 'credit/table_0_0.csv.num_dependents', 'credit/table_0_0.csv.employment', 'credit/table_0_0.csv.Key_0_0']",,,,
RandomForest,credit/table_0_0.csv--Key_0_0-credit/table_1_1.csv--Key_0_0-credit/table_1_2.csv,ARDA,credit,,6.352835655212402,3.192009210586548,,0.67,3.1608264446258545,"{'credit/table_0_0.csv.residence_since': 0.009000000000000008, 'credit/table_1_1.csv.Key_1_1': -0.0029999999999999805, 'credit/table_0_0.csv.employment': -0.008999999999999963, 'credit/table_0_0.csv.num_dependents': -0.009999999999999986, 'credit/table_1_2.csv.Key_1_2': -0.010999999999999987, 'credit/table_0_0.csv.Key_0_0': -0.013999999999999967}","['credit/table_1_1.csv.Key_1_1', 'credit/table_1_2.csv.Key_1_2', 'credit/table_0_0.csv.residence_since', 'credit/table_0_0.csv.num_dependents', 'credit/table_0_0.csv.employment', 'credit/table_0_0.csv.Key_0_0']",,,,
ExtraTrees,credit/table_0_0.csv--Key_0_0-credit/table_1_1.csv--Key_0_0-credit/table_1_2.csv,ARDA,credit,,6.352835655212402,3.192009210586548,,0.67,3.1608264446258545,"{'credit/table_0_0.csv.residence_since': 0.01200000000000001, 'credit/table_0_0.csv.employment': 0.008000000000000007, 'credit/table_1_2.csv.Key_1_2': -0.003999999999999981, 'credit/table_0_0.csv.Key_0_0': -0.006999999999999962, 'credit/table_1_1.csv.Key_1_1': -0.008999999999999985, 'credit/table_0_0.csv.num_dependents': -0.012999999999999966}","['credit/table_1_1.csv.Key_1_1', 'credit/table_1_2.csv.Key_1_2', 'credit/table_0_0.csv.residence_since', 'credit/table_0_0.csv.num_dependents', 'credit/table_0_0.csv.employment', 'credit/table_0_0.csv.Key_0_0']",,,,
XGBoost,credit/table_0_0.csv--Key_0_0-credit/table_1_1.csv--Key_0_0-credit/table_1_2.csv,ARDA,credit,,6.352835655212402,3.192009210586548,,0.685,3.1608264446258545,"{'credit/table_1_2.csv.Key_1_2': 0.030000000000000027, 'credit/table_0_0.csv.residence_since': 0.028000000000000025, 'credit/table_0_0.csv.employment': 0.02000000000000004, 'credit/table_1_1.csv.Key_1_1': 0.002000000000000046, 'credit/table_0_0.csv.num_dependents': 0.0, 'credit/table_0_0.csv.Key_0_0': -0.0029999999999999584}","['credit/table_1_1.csv.Key_1_1', 'credit/table_1_2.csv.Key_1_2', 'credit/table_0_0.csv.residence_since', 'credit/table_0_0.csv.num_dependents', 'credit/table_0_0.csv.employment', 'credit/table_0_0.csv.Key_0_0']",,,,
LightGBM,steel/table_0_0.csv--Key_0_0-steel/table_1_1.csv--Key_0_0-steel/table_1_2.csv--Key_0_0-steel/table_1_3.csv,ARDA,steel,,10.556017398834229,7.338414907455444,,0.712082262210797,3.217602491378784,"{'steel/table_1_3.csv.V20': 0.0488431876606684, 'steel/table_1_2.csv.V25': 0.044730077120822664, 'steel/table_1_3.csv.V16': 0.038046272493573306, 'steel/table_0_0.csv.V13': 0.038046272493573306, 'steel/table_1_2.csv.Key_1_2': 0.0020565552699228994, 'steel/table_1_2.csv.V26': 2.2204460492503132e-17, 'steel/table_0_0.csv.V12': 0.0, 'steel/table_0_0.csv.Key_0_0': -0.001542416452442108, 'steel/table_1_3.csv.Key_1_3': -0.006169665809768588}","['steel/table_1_2.csv.V26', 'steel/table_1_2.csv.V25', 'steel/table_1_2.csv.Key_1_2', 'steel/table_1_3.csv.V16', 'steel/table_1_3.csv.V20', 'steel/table_1_3.csv.Key_1_3', 'steel/table_0_0.csv.V13', 'steel/table_0_0.csv.V12', 'steel/table_0_0.csv.Key_0_0']",,,,
RandomForest,steel/table_0_0.csv--Key_0_0-steel/table_1_1.csv--Key_0_0-steel/table_1_2.csv--Key_0_0-steel/table_1_3.csv,ARDA,steel,,10.556017398834229,7.338414907455444,,0.7146529562982005,3.217602491378784,"{'steel/table_1_3.csv.V20': 0.06478149100257066, 'steel/table_1_2.csv.V25': 0.052956298200514104, 'steel/table_1_2.csv.V26': 0.036503856041131065, 'steel/table_0_0.csv.V13': 0.01799485861182515, 'steel/table_0_0.csv.V12': 0.017480719794344447, 'steel/table_1_3.csv.V16': 0.017480719794344422, 'steel/table_0_0.csv.Key_0_0': -0.002056555269922944, 'steel/table_1_3.csv.Key_1_3': -0.005141388174807226, 'steel/table_1_2.csv.Key_1_2': -0.009254498714653003}","['steel/table_1_2.csv.V26', 'steel/table_1_2.csv.V25', 'steel/table_1_2.csv.Key_1_2', 'steel/table_1_3.csv.V16', 'steel/table_1_3.csv.V20', 'steel/table_1_3.csv.Key_1_3', 'steel/table_0_0.csv.V13', 'steel/table_0_0.csv.V12', 'steel/table_0_0.csv.Key_0_0']",,,,
ExtraTrees,steel/table_0_0.csv--Key_0_0-steel/table_1_1.csv--Key_0_0-steel/table_1_2.csv--Key_0_0-steel/table_1_3.csv,ARDA,steel,,10.556017398834229,7.338414907455444,,0.7095115681233933,3.217602491378784,"{'steel/table_1_3.csv.V20': 0.05192802056555272, 'steel/table_1_2.csv.V25': 0.03907455012853471, 'steel/table_1_2.csv.V26': 0.03136246786632395, 'steel/table_1_3.csv.V16': 0.0282776349614396, 'steel/table_0_0.csv.V13': 0.019023136246786664, 'steel/table_0_0.csv.V12': 0.009254498714652958, 'steel/table_0_0.csv.Key_0_0': 0.008740359897172234, 'steel/table_1_2.csv.Key_1_2': 2.2204460492503132e-17, 'steel/table_1_3.csv.Key_1_3': -0.0010282776349614276}","['steel/table_1_2.csv.V26', 'steel/table_1_2.csv.V25', 'steel/table_1_2.csv.Key_1_2', 'steel/table_1_3.csv.V16', 'steel/table_1_3.csv.V20', 'steel/table_1_3.csv.Key_1_3', 'steel/table_0_0.csv.V13', 'steel/table_0_0.csv.V12', 'steel/table_0_0.csv.Key_0_0']",,,,
XGBoost,steel/table_0_0.csv--Key_0_0-steel/table_1_1.csv--Key_0_0-steel/table_1_2.csv--Key_0_0-steel/table_1_3.csv,ARDA,steel,,10.556017398834229,7.338414907455444,,0.7172236503856041,3.217602491378784,"{'steel/table_1_3.csv.V20': 0.07249357326478148, 'steel/table_1_2.csv.V25': 0.06426735218508997, 'steel/table_0_0.csv.V13': 0.04061696658097687, 'steel/table_1_3.csv.V16': 0.018508997429305896, 'steel/table_1_2.csv.V26': 0.016452442159382998, 'steel/table_0_0.csv.Key_0_0': 0.0005141388174807026, 'steel/table_0_0.csv.V12': 0.0, 'steel/table_1_3.csv.Key_1_3': -0.0051413881748072045, 'steel/table_1_2.csv.Key_1_2': -0.006169665809768654}","['steel/table_1_2.csv.V26', 'steel/table_1_2.csv.V25', 'steel/table_1_2.csv.Key_1_2', 'steel/table_1_3.csv.V16', 'steel/table_1_3.csv.V20', 'steel/table_1_3.csv.Key_1_3', 'steel/table_0_0.csv.V13', 'steel/table_0_0.csv.V12', 'steel/table_0_0.csv.Key_0_0']",,,,
LightGBM,jannis/table_0_0.csv--V44-jannis/table_2_5.csv--Key_0_0-jannis/table_1_1.csv--Key_0_0-jannis/table_1_2.csv--Key_0_0-jannis/table_1_3.csv,ARDA,jannis,,61.85723614692688,58.190502643585205,,0.5633333333333334,3.666733503341675,"{'jannis/table_0_0.csv.V4': 0.04633333333333336, 'jannis/table_0_0.csv.V42': 0.01033333333333335, 'jannis/table_1_1.csv.V32': 0.008333333333333326, 'jannis/table_1_1.csv.Key_1_1': 0.007999999999999985, 'jannis/table_1_3.csv.V53': 0.007666666666666666, 'jannis/table_1_2.csv.V43': 0.007000000000000006, 'jannis/table_1_3.csv.V33': 0.0050000000000000044, 'jannis/table_0_0.csv.V46': 0.0050000000000000044, 'jannis/table_1_1.csv.V31': 0.004666666666666685, 'jannis/table_1_1.csv.V35': 0.004333333333333344, 'jannis/table_1_3.csv.V48': 0.0, 'jannis/table_1_2.csv.V40': -0.0003333333333332966, 'jannis/table_0_0.csv.Key_0_0': -0.0019999999999999797, 'jannis/table_1_3.csv.Key_1_3': -0.0026666666666666393, 'jannis/table_0_0.csv.V54': -0.0029999999999999805}","['jannis/table_1_2.csv.V43', 'jannis/table_1_3.csv.Key_1_3', 'jannis/table_1_1.csv.V35', 'jannis/table_1_1.csv.V31', 'jannis/table_1_3.csv.V33', 'jannis/table_1_3.csv.V53', 'jannis/table_1_1.csv.Key_1_1', 'jannis/table_1_2.csv.V40', 'jannis/table_1_3.csv.V48', 'jannis/table_1_1.csv.V32', 'jannis/table_0_0.csv.V4', 'jannis/table_0_0.csv.V46', 'jannis/table_0_0.csv.V54', 'jannis/table_0_0.csv.V42', 'jannis/table_0_0.csv.Key_0_0']",,,,
RandomForest,jannis/table_0_0.csv--V44-jannis/table_2_5.csv--Key_0_0-jannis/table_1_1.csv--Key_0_0-jannis/table_1_2.csv--Key_0_0-jannis/table_1_3.csv,ARDA,jannis,,61.85723614692688,58.190502643585205,,0.5516666666666666,3.666733503341675,"{'jannis/table_0_0.csv.V4': 0.058999999999999955, 'jannis/table_1_3.csv.Key_1_3': 0.015666666666666607, 'jannis/table_1_3.csv.V33': 0.012333333333333307, 'jannis/table_1_3.csv.V53': 0.010333333333333306, 'jannis/table_0_0.csv.V46': 0.008666666666666645, 'jannis/table_1_2.csv.V40': 0.007999999999999962, 'jannis/table_0_0.csv.V54': 0.004999999999999938, 'jannis/table_1_1.csv.V35': 0.0009999999999999788, 'jannis/table_1_1.csv.V32': 0.0003333333333332744, 'jannis/table_1_2.csv.V43': -0.002000000000000046, 'jannis/table_0_0.csv.Key_0_0': -0.002333333333333365, 'jannis/table_0_0.csv.V42': -0.004333333333333389, 'jannis/table_1_3.csv.V48': -0.0056666666666666645, 'jannis/table_1_1.csv.Key_1_1': -0.006333333333333346, 'jannis/table_1_1.csv.V31': -0.016666666666666698}","['jannis/table_1_2.csv.V43', 'jannis/table_1_3.csv.Key_1_3', 'jannis/table_1_1.csv.V35', 'jannis/table_1_1.csv.V31', 'jannis/table_1_3.csv.V33', 'jannis/table_1_3.csv.V53', 'jannis/table_1_1.csv.Key_1_1', 'jannis/table_1_2.csv.V40', 'jannis/table_1_3.csv.V48', 'jannis/table_1_1.csv.V32', 'jannis/table_0_0.csv.V4', 'jannis/table_0_0.csv.V46', 'jannis/table_0_0.csv.V54', 'jannis/table_0_0.csv.V42', 'jannis/table_0_0.csv.Key_0_0']",,,,
