approach,dataset,algorithm,depth,accuracy,join_time,train_time,total_time,feature_importances,fs_time
arda,other-data/data/CORA,CART,4.0,0.3283,0.02609992027282715,0.11531996726989746,206.44019508361816,"{'paper_id_paper.csv': 0.464, 'paper_id_content.csv': 0.473, 'citing_paper_id_cites.csv': 0.068}",206.29877519607544
arda,other-data/data/CORA,ID3,2.0,0.9333,0.02609992027282715,146.25308275222778,352.57795786857605,{},206.29877519607544
arda,other-data/data/CORA,XGBoost,4.0,0.7973000000000001,0.02609992027282715,13.958452939987183,220.28332805633545,"{'paper_id_paper.csv': 0.534, 'word_cited_id_content.csv': 0.183, 'citing_paper_id_cites.csv': 0.285}",206.29877519607544
