approach,data_path,dataset,algorithm,join_time,total_time,feature_selection_time,depth,accuracy,train_time,feature_importance,cutoff_threshold,redundancy_threshold
TFD_PATH,titanic/titanic.csv/PassengerId--titanic/passenger_info.csv/PassengerId,titanic,CART,0.4205029010772705,0.4736299514770508,,5.0,0.8103620474406992,0.05312705039978027,"{'Name': 0.028, 'TicketId': 0.077, 'Sex': 0.563, 'Age': 0.161, 'SibSp': 0.102, 'Parch': 0.051, 'PassengerId': 0.023}",,
TFD_PATH,titanic/titanic.csv/PassengerId--titanic/passenger_info.csv/PassengerId,titanic,ID3,0.4205029010772705,75.72523808479309,,2.0,0.38378277153558055,75.30473518371582,{},,
TFD_PATH,titanic/titanic.csv/PassengerId--titanic/passenger_info.csv/PassengerId,titanic,XGBoost,0.4205029010772705,0.716768741607666,,1.0,0.7934706616729089,0.2962658405303955,"{'Name': 0.022, 'TicketId': 0.025, 'Sex': 0.818, 'Age': 0.022, 'SibSp': 0.064, 'Parch': 0.049}",,
TFD,titanic/titanic.csv/PassengerId--titanic/passenger_info.csv/PassengerId,titanic,CART,0.4205029010772705,0.46103477478027344,,5.0,0.807016229712859,0.04053187370300293,"{'Name': 0.027, 'TicketId': 0.079, 'Sex': 0.563, 'Age': 0.167, 'SibSp': 0.102, 'Parch': 0.051, 'PassengerId': 0.019}",,
TFD,titanic/titanic.csv/PassengerId--titanic/passenger_info.csv/PassengerId,titanic,ID3,0.4205029010772705,75.08951497077942,,2.0,0.38378277153558055,74.66901206970215,{},,
TFD,titanic/titanic.csv/PassengerId--titanic/passenger_info.csv/PassengerId,titanic,XGBoost,0.4205029010772705,0.7149431705474854,,1.0,0.7934706616729089,0.29444026947021484,"{'Name': 0.022, 'TicketId': 0.025, 'Sex': 0.818, 'Age': 0.022, 'SibSp': 0.064, 'Parch': 0.049}",,
ARDA,../other-data/synthetic/titanic/titanic.csv,titanic,CART,0.019312143325805664,7.566366910934448,7.519497871398926,1.0,0.7882495266147695,0.027556896209716797,{'Sex': 1.0},,
ARDA,../other-data/synthetic/titanic/titanic.csv,titanic,ID3,0.019312143325805664,78.4550769329071,7.519497871398926,2.0,0.38453608247422677,70.91626691818237,{},,
ARDA,../other-data/synthetic/titanic/titanic.csv,titanic,XGBoost,0.019312143325805664,7.824958086013794,7.519497871398926,1.0,0.7533873343151692,0.2861480712890625,"{'PassengerId': 0.019, 'TicketId': 0.018, 'Sex': 0.964}",,
BASE,../other-data/synthetic/titanic/titanic.csv,titanic,CART,,0.026893138885498047,,1.0,0.6240199750312111,0.026893138885498047,{'TicketId': 1.0},,
BASE,../other-data/synthetic/titanic/titanic.csv,titanic,ID3,,69.8537290096283,,2.0,0.38378277153558055,69.8537290096283,{},,
BASE,../other-data/synthetic/titanic/titanic.csv,titanic,XGBoost,,0.2652609348297119,,1.0,0.5624843945068665,0.2652609348297119,"{'PassengerId': 0.491, 'TicketId': 0.509}",,
TFD_JOIN_ALL,../other-data/synthetic/titanic/titanic.csv,titanic,CART,0.044420719146728516,0.08971762657165527,,4.0,0.7726551226551226,0.04529690742492676,"{'Name': 0.019, 'Nametitanic/passenger_info.csv': 0.015, 'Sex': 0.573, 'Age': 0.032, 'Parch': 0.027, 'Ticket': 0.021, 'Fare': 0.051, 'Pclass': 0.163, 'Cabin': 0.089}",,
TFD_JOIN_ALL,../other-data/synthetic/titanic/titanic.csv,titanic,ID3,0.044420719146728516,84.03405284881592,,2.0,0.3852813852813853,83.98963212966919,{},,
TFD_JOIN_ALL,../other-data/synthetic/titanic/titanic.csv,titanic,XGBoost,0.044420719146728516,0.5876674652099609,,2.0,0.7452587095444239,0.5432467460632324,"{'Name': 0.028, 'Sex': 0.47, 'Age': 0.036, 'SibSp': 0.04, 'Parch': 0.038, 'Ticket': 0.025, 'Fare': 0.029, 'Pclass': 0.231, 'Embarked': 0.034, 'Cabin': 0.057}",,
TFD_JOIN_ALL_FS,../other-data/synthetic/titanic/titanic.csv,titanic,CART,0.03456592559814453,0.6101000308990479,0.56551194190979,2.0,0.8011956297670583,0.010022163391113281,"{'Name': 0.905, 'Nametitanic/passenger_info.csv': 0.095}",,
TFD_JOIN_ALL_FS,../other-data/synthetic/titanic/titanic.csv,titanic,XGBoost,0.03456592559814453,9.507818937301636,8.928704977035522,4.0,0.8267676767676768,0.5445480346679688,"{'Name': 0.663, 'Nametitanic/passenger_info.csv': 0.047, 'Sex': 0.055, 'Age': 0.051, 'SibSp': 0.143, 'Parch': 0.036}",,
