approach,data_path,algorithm,depth,accuracy,join_time,train_time,total_time,feature_importances,fs_time,dataset
arda,other-data/decision-trees-split/titanic,CART,1.0,0.7899814471243043,0.07464194297790527,0.06854796409606934,5.85968279838562,{'Sex': 1.0},5.7164928913116455,titanic
arda,other-data/decision-trees-split/titanic,ID3,2.0,0.6147186147186148,0.07464194297790527,0.2379288673400879,6.029063701629639,{},5.7164928913116455,titanic
arda,other-data/decision-trees-split/titanic,XGBoost,1.0,0.7899814471243043,0.07464194297790527,0.29424309730529785,6.085377931594849,{'Sex': 1.0},5.7164928913116455,titanic
join_all,other-data/decision-trees-split/titanic,CART,4.0,0.7726551226551226,0.06478500366210938,0.07250213623046875,0.13728713989257812,"{'Name': 0.021, 'Nametitanic/passenger_info.csv': 0.016, 'Sex': 0.573, 'Age': 0.032, 'Parch': 0.027, 'Ticket': 0.02, 'Fare': 0.051, 'Pclass': 0.163, 'Cabin': 0.084}",,titanic
join_all,other-data/decision-trees-split/titanic,ID3,2.0,0.3852813852813853,0.06478500366210938,191.39384388923645,191.45862889289856,{},,titanic
join_all,other-data/decision-trees-split/titanic,XGBoost,2.0,0.7452587095444239,0.06478500366210938,0.651824951171875,0.7166099548339844,"{'Name': 0.028, 'Sex': 0.47, 'Age': 0.036, 'SibSp': 0.04, 'Parch': 0.038, 'Ticket': 0.025, 'Fare': 0.029, 'Pclass': 0.231, 'Embarked': 0.034, 'Cabin': 0.057}",,titanic
join_all_ffs,other-data/decision-trees-split/titanic,CART,2.0,0.8011956297670583,0.05900311470031738,0.027013778686523438,1.1565618515014648,"{'Name': 0.905, 'Nametitanic/passenger_info.csv': 0.095}",1.070544958114624,titanic
join_all_ffs,other-data/decision-trees-split/titanic,XGBoost,4.0,0.8267676767676768,0.05900311470031738,0.6526689529418945,14.122271299362183,"{'Name': 0.663, 'Nametitanic/passenger_info.csv': 0.047, 'Sex': 0.055, 'Age': 0.051, 'SibSp': 0.143, 'Parch': 0.036}",13.41059923171997,titanic
all-in-path,titanic/titanic.csv/PassengerId--titanic/passenger_info.csv/PassengerId,CART,5.0,0.8092384519350813,0.5131127834320068,0.07009100914001465,0.5832037925720215,"{'Name': 0.012, 'TicketId': 0.083, 'Sex': 0.563, 'Age': 0.161, 'SibSp': 0.102, 'Parch': 0.051, 'PassengerId': 0.029}",,titanic
all-in-path,titanic/titanic.csv/PassengerId--titanic/passenger_info.csv/PassengerId,ID3,2.0,0.38378277153558055,0.5131127834320068,184.83973002433777,185.35284280776978,{},,titanic
all-in-path,titanic/titanic.csv/PassengerId--titanic/passenger_info.csv/PassengerId,XGBoost,1.0,0.7934706616729089,0.5131127834320068,0.4383580684661865,0.9514708518981934,"{'Name': 0.022, 'TicketId': 0.025, 'Sex': 0.818, 'Age': 0.022, 'SibSp': 0.064, 'Parch': 0.049}",,titanic
best-ranked,titanic/titanic.csv/PassengerId--titanic/passenger_info.csv/PassengerId,CART,3.0,0.6578401997503122,0.5131127834320068,0.07508206367492676,0.5881948471069336,"{'Name': 0.026, 'TicketId': 0.112, 'SibSp': 0.522, 'Parch': 0.301}",,titanic
best-ranked,titanic/titanic.csv/PassengerId--titanic/passenger_info.csv/PassengerId,ID3,2.0,0.38378277153558055,0.5131127834320068,169.24656081199646,169.75967359542847,{},,titanic
best-ranked,titanic/titanic.csv/PassengerId--titanic/passenger_info.csv/PassengerId,XGBoost,1.0,0.6073907615480649,0.5131127834320068,0.3772578239440918,0.8903706073760986,"{'Name': 0.141, 'TicketId': 0.152, 'SibSp': 0.348, 'Parch': 0.358}",,titanic
non-aug,other-data/decision-trees-split/titanic,CART,1.0,0.6240199750312111,,0.058320045471191406,0.058320045471191406,{'TicketId': 1.0},,titanic
non-aug,other-data/decision-trees-split/titanic,ID3,2.0,0.38378277153558055,,164.0906720161438,164.0906720161438,{},,titanic
non-aug,other-data/decision-trees-split/titanic,XGBoost,1.0,0.5624843945068665,,0.3419151306152344,0.3419151306152344,"{'PassengerId': 0.491, 'TicketId': 0.509}",,titanic
non-aug,other-data/decision-trees-split/football,CART,1.0,0.5037601481270475,,0.057708024978637695,0.057708024978637695,{},,football
non-aug,other-data/decision-trees-split/football,ID3,2.0,0.5190428713858425,,140.5145390033722,140.5145390033722,{},,football
non-aug,other-data/decision-trees-split/football,XGBoost,4.0,0.4733300099700897,,0.8733019828796387,0.8733019828796387,"{'id': 0.274, 'strong_team': 0.247, 'weak_team': 0.223, 'tournament': 0.254}",,football
all-in-path,football/football.csv/id--football/weak_team.csv/ft_id--football/strong_team.csv/ft_id,CART,7.0,0.9974718701039738,6.125425815582275,0.08397507667541504,6.20940089225769,"{'weak_score': 0.405, 'strong_score': 0.595}",,football
all-in-path,football/football.csv/id--football/weak_team.csv/ft_id--football/strong_team.csv/ft_id,ID3,2.0,0.5190428713858425,6.125425815582275,228.93013501167297,235.05556082725525,{},,football
all-in-path,football/football.csv/id--football/weak_team.csv/ft_id--football/strong_team.csv/ft_id,XGBoost,1.0,0.9966244124768551,6.125425815582275,0.6193430423736572,6.744768857955933,"{'weak_score': 0.418, 'strong_score': 0.582}",,football
best-ranked,football/football.csv/id--football/weak_team.csv/ft_id--football/strong_team.csv/ft_id,CART,2.0,0.7987608602763139,6.125425815582275,0.06537103652954102,6.190796852111816,{'strong_score': 1.0},,football
best-ranked,football/football.csv/id--football/weak_team.csv/ft_id--football/strong_team.csv/ft_id,ID3,4.0,0.5283577837914828,6.125425815582275,164.52042889595032,170.6458547115326,{},,football
best-ranked,football/football.csv/id--football/weak_team.csv/ft_id--football/strong_team.csv/ft_id,XGBoost,1.0,0.7751175046289702,6.125425815582275,0.4280540943145752,6.553479909896851,"{'date': 0.037, 'weak_team': 0.029, 'id': 0.049, 'strong_team': 0.026, 'strong_score': 0.823, 'strong_avg_age': 0.027}",,football
arda,other-data/decision-trees-split/football,CART,6.0,0.9994791666666666,0.3497328758239746,0.0657510757446289,31.876688957214355,"{'weak_score': 0.402, 'strong_score': 0.597, 'strong_avg_age': 0.001}",31.461205005645752,football
arda,other-data/decision-trees-split/football,ID3,4.0,0.9989583333333332,0.3497328758239746,40.28259992599487,72.0935378074646,{},31.461205005645752,football
arda,other-data/decision-trees-split/football,XGBoost,2.0,0.9984375,0.3497328758239746,0.6050429344177246,32.41598081588745,"{'weak_score': 0.372, 'strong_score': 0.617, 'strong_avg_age': 0.003, 'dif_overall': 0.002, 'dif_midfield': 0.003, 'dif_deffense': 0.003}",31.461205005645752,football
join_all,other-data/decision-trees-split/football,CART,10.0,0.9958196989528796,0.2545328140258789,0.15398812294006348,0.4085209369659424,"{'weak_score': 0.402, 'strong_score': 0.594}",,football
join_all,other-data/decision-trees-split/football,ID3,4.0,0.49320735165794066,0.2545328140258789,825.5299870967865,825.7845199108124,{},,football
join_all,other-data/decision-trees-split/football,XGBoost,2.0,0.9973931064572426,0.2545328140258789,2.569211959838867,2.823744773864746,"{'date': 0.002, 'strong_team': 0.001, 'weak_team': 0.003, 'weak_score': 0.332, 'weak_overall': 0.002, 'strong_score': 0.575, 'strong_avg_age': 0.003, 'idfootball/differences_stats.csv': 0.005, 'dif_attack': 0.004, 'dif_bu_speed': 0.004, 'dif_cc_crossing': 0.003, 'dif_cc_passing': 0.002, 'dif_preassure': 0.002, 'strong_aggression': 0.002, 'strong_preassure': 0.001, 'strong_cc_passing': 0.004, 'idfootball/strong_change_creation.csv': 0.003, 'weak_bu_speed': 0.002, 'weak_midfield': 0.002, 'weak_cc_shooting': 0.003, 'idfootball/weak_change_creation.csv': 0.013}",,football
join_all_ffs,other-data/decision-trees-split/football,CART,2.0,0.8413203534031414,0.2871549129486084,0.02312183380126953,32.08549380302429,"{'date': 0.553, 'strong_team': 0.447}",31.775217056274414,football
join_all_ffs,other-data/decision-trees-split/football,XGBoost,3.0,0.9994791666666666,0.2871549129486084,0.612069845199585,292.25795674324036,"{'date': 0.359, 'strong_team': 0.638, 'weak_team': 0.002}",291.35873198509216,football
all-in-path,steel-plate-fault/steel_plate_fault.csv/index--steel-plate-fault/indices.csv/spf_id--steel-plate-fault/type_of_fault.csv/spf_id,CART,6.0,0.9716494845360824,85.04681611061096,0.1151070594787597,85.16192317008972,"{'V28': 0.196, 'V29': 0.162, 'V30': 0.173, 'V31': 0.132, 'V32': 0.168, 'V33': 0.179}",,steel-plate-fault
all-in-path,steel-plate-fault/steel_plate_fault.csv/index--steel-plate-fault/indices.csv/spf_id--steel-plate-fault/type_of_fault.csv/spf_id,ID3,2.0,0.3469072164948453,85.04681611061096,740.9827060699463,826.0295221805573,{},,steel-plate-fault
all-in-path,steel-plate-fault/steel_plate_fault.csv/index--steel-plate-fault/indices.csv/spf_id--steel-plate-fault/type_of_fault.csv/spf_id,XGBoost,1.0,0.9716494845360824,85.04681611061096,0.9928879737854004,86.03970408439636,"{'V28': 0.158, 'V29': 0.17, 'V30': 0.216, 'V31': 0.11, 'V32': 0.106, 'V33': 0.23}",,steel-plate-fault
best-ranked,steel-plate-fault/steel_plate_fault.csv/index--steel-plate-fault/indices.csv/spf_id--steel-plate-fault/type_of_fault.csv/spf_id,CART,9.0,0.5871134020618556,85.04681611061096,0.1158487796783447,85.1626648902893,"{'V5': 0.094, 'V11': 0.118, 'V12': 0.008, 'V13': 0.015, 'V14': 0.276, 'V22': 0.069, 'V25': 0.18, 'V27': 0.041, 'index': 0.039, 'V31': 0.029, 'V32': 0.041}",,steel-plate-fault
