approach,data_path,algorithm,depth,accuracy,join_time,train_time,total_time,feature_importances,fs_time,dataset
best-ranked,steel-plate-fault/steel_plate_fault.csv/index--steel-plate-fault/indices.csv/spf_id--steel-plate-fault/type_of_fault.csv/spf_id,ID3,4.0,0.3551546391752578,85.04681611061096,424.2677781581879,509.3145942687988,{},,steel-plate-fault
best-ranked,steel-plate-fault/steel_plate_fault.csv/index--steel-plate-fault/indices.csv/spf_id--steel-plate-fault/type_of_fault.csv/spf_id,XGBoost,11.0,0.6036082474226804,85.04681611061096,3.981338262557984,89.02815437316895,"{'V5': 0.053, 'V11': 0.062, 'V12': 0.072, 'V14': 0.125, 'V25': 0.052, 'V27': 0.041, 'index': 0.029, 'V31': 0.276, 'V32': 0.292}",,steel-plate-fault
arda,other-data/decision-trees-split/steel-plate-fault,CART,4.0,0.9291545189504372,0.4285159111022949,0.0601270198822021,217.05015110969543,"{'V28': 0.254, 'V29': 0.211, 'V30': 0.277, 'V33': 0.259}",216.5615081787109,steel-plate-fault
arda,other-data/decision-trees-split/steel-plate-fault,ID3,8.0,0.8551020408163265,0.4285159111022949,1.3389508724212646,218.3289749622345,{},216.5615081787109,steel-plate-fault
arda,other-data/decision-trees-split/steel-plate-fault,XGBoost,1.0,0.9291545189504372,0.4285159111022949,0.4873380661010742,217.4773621559143,"{'V28': 0.189, 'V29': 0.199, 'V30': 0.327, 'V33': 0.327}",216.5615081787109,steel-plate-fault
join_all,other-data/decision-trees-split/steel-plate-fault,CART,6.0,0.9638483965014576,0.186445951461792,0.2792961597442627,0.4657421112060547,"{'V28': 0.174, 'V29': 0.146, 'V30': 0.189, 'V31': 0.195, 'V32': 0.121, 'V33': 0.177}",,steel-plate-fault
join_all,other-data/decision-trees-split/steel-plate-fault,ID3,4.0,0.3419739825754863,0.186445951461792,2296.318083047867,2296.5045289993286,{},,steel-plate-fault
join_all,other-data/decision-trees-split/steel-plate-fault,XGBoost,1.0,0.9638483965014576,0.186445951461792,2.1397199630737305,2.3261659145355225,"{'V28': 0.153, 'V29': 0.164, 'V30': 0.233, 'V31': 0.119, 'V32': 0.114, 'V33': 0.243}",,steel-plate-fault
join_all_ffs,other-data/decision-trees-split/steel-plate-fault,CART,13.0,0.9177825516171382,0.3157789707183838,0.1258413791656494,36.769078493118286,"{'V5': 0.002, 'V11': 0.001, 'V12': 0.041, 'V13': 0.066, 'V14': 0.035, 'V22': 0.012, 'V25': 0.175, 'V27': 0.146, 'V15': 0.191, 'V16': 0.116, 'V17': 0.179, 'V21': 0.024, 'V8': 0.006}",36.32745814323425,steel-plate-fault
join_all_ffs,other-data/decision-trees-split/steel-plate-fault,XGBoost,9.0,0.946938775510204,0.3157789707183838,3.3098819255828857,361.44771790504456,"{'V5': 0.004, 'V12': 0.006, 'V13': 0.002, 'V22': 0.216, 'V25': 0.185, 'V27': 0.202, 'V15': 0.178, 'V16': 0.197, 'V17': 0.002, 'V21': 0.003}",357.8220570087433,steel-plate-fault
non-aug,other-data/decision-trees-split/steel-plate-fault,CART,6.0,0.6,,0.09965014457702637,0.09965014457702637,"{'index': 0.02, 'V5': 0.1, 'V11': 0.151, 'V12': 0.014, 'V13': 0.002, 'V14': 0.342, 'V22': 0.084, 'V25': 0.18, 'V27': 0.03}",,steel-plate-fault
non-aug,other-data/decision-trees-split/steel-plate-fault,ID3,2.0,0.34690721649484535,,344.46403408050537,344.46403408050537,{},,steel-plate-fault
non-aug,other-data/decision-trees-split/steel-plate-fault,XGBoost,4.0,0.6118556701030927,,1.5287830829620361,1.5287830829620361,"{'index': 0.063, 'V5': 0.163, 'V11': 0.13, 'V12': 0.192, 'V14': 0.239, 'V25': 0.114, 'V27': 0.089}",,steel-plate-fault

