approach,dataset,algorithm,depth,accuracy,join_time,train_time,total_time,feature_importances
all-in-path,football/football.csv/id--football/differences_stats.csv/ft_id--football/strong_team.csv/ft_id,CART,2.0,0.7987608602763139,2.075651168823242,0.08193778991699219,2.1575889587402344,{'strong_score': 1.0}
all-in-path,football/football.csv/id--football/differences_stats.csv/ft_id--football/strong_team.csv/ft_id,ID3,2.0,0.5190428713858425,2.075651168823242,269.79202485084534,271.8676760196686,{}
all-in-path,football/football.csv/id--football/differences_stats.csv/ft_id--football/strong_team.csv/ft_id,XGBoost,1.0,0.7844039310639509,2.075651168823242,0.7721230983734131,2.8477742671966553,"{'date': 0.033, 'weak_team': 0.018, 'dif_overall': 0.02, 'dif_attack': 0.059, 'dif_midfield': 0.034, 'dif_bu_speed': 0.019, 'dif_bu_passing': 0.022, 'dif_cc_crossing': 0.032, 'dif_cc_passing': 0.017, 'dif_cc_shooting': 0.038, 'dif_aggression': 0.028, 'dif_preassure': 0.032, 'dif_avg_age': 0.03, 'ft_id': 0.032, 'id': 0.038, 'strong_team': 0.021, 'strong_score': 0.456, 'strong_overall': 0.026, 'strong_avg_age': 0.02}"
best-ranked,football/football.csv/id--football/differences_stats.csv/ft_id--football/strong_team.csv/ft_id,CART,4.0,0.7852015382424156,2.075651168823242,0.0874640941619873,2.1631152629852295,"{'date': 0.022, 'dif_midfield': 0.016, 'id': 0.004, 'strong_score': 0.933, 'strong_avg_age': 0.016}"
best-ranked,football/football.csv/id--football/differences_stats.csv/ft_id--football/strong_team.csv/ft_id,ID3,4.0,0.5283577837914828,2.075651168823242,173.25289106369019,175.32854223251343,{}
best-ranked,football/football.csv/id--football/differences_stats.csv/ft_id--football/strong_team.csv/ft_id,XGBoost,2.0,0.7632602193419742,2.075651168823242,0.7629761695861816,2.838627338409424,"{'date': 0.045, 'weak_team': 0.051, 'tournament': 0.046, 'dif_overall': 0.046, 'dif_attack': 0.051, 'dif_midfield': 0.049, 'dif_deffense': 0.031, 'id': 0.043, 'strong_team': 0.038, 'strong_score': 0.551, 'strong_avg_age': 0.047}"
