approach,dataset,algorithm,depth,accuracy,join_time,train_time,total_time,feature_importances
all-in-path,steel-plate-fault/steel_plate_fault.csv/index--steel-plate-fault/indices.csv/spf_id--steel-plate-fault/luminosity.csv/spf_id--steel-plate-fault/type_of_fault.csv/spf_id,CART,6.0,0.9716494845360824,7.144530773162842,0.1064610481262207,7.2509918212890625,"{'V28': 0.196, 'V29': 0.162, 'V30': 0.173, 'V31': 0.132, 'V32': 0.168, 'V33': 0.179}"
all-in-path,steel-plate-fault/steel_plate_fault.csv/index--steel-plate-fault/indices.csv/spf_id--steel-plate-fault/luminosity.csv/spf_id--steel-plate-fault/type_of_fault.csv/spf_id,ID3,2.0,0.34690721649484535,7.144530773162842,439.641236782074,446.7857675552368,{}
all-in-path,steel-plate-fault/steel_plate_fault.csv/index--steel-plate-fault/indices.csv/spf_id--steel-plate-fault/luminosity.csv/spf_id--steel-plate-fault/type_of_fault.csv/spf_id,XGBoost,1.0,0.9716494845360824,7.144530773162842,0.6633617877960205,7.807892560958862,"{'V28': 0.158, 'V29': 0.17, 'V30': 0.216, 'V31': 0.11, 'V32': 0.106, 'V33': 0.23}"
best-ranked,steel-plate-fault/steel_plate_fault.csv/index--steel-plate-fault/indices.csv/spf_id--steel-plate-fault/luminosity.csv/spf_id--steel-plate-fault/type_of_fault.csv/spf_id,CART,13.0,0.6314432989690721,7.144530773162842,0.12526988983154297,7.269800662994385,"{'V5': 0.052, 'V11': 0.121, 'V12': 0.008, 'V13': 0.023, 'V14': 0.188, 'V22': 0.142, 'V25': 0.145, 'V27': 0.054, 'V21': 0.001, 'V10': 0.093, 'index': 0.055, 'V31': 0.039, 'V32': 0.038}"
best-ranked,steel-plate-fault/steel_plate_fault.csv/index--steel-plate-fault/indices.csv/spf_id--steel-plate-fault/luminosity.csv/spf_id--steel-plate-fault/type_of_fault.csv/spf_id,ID3,4.0,0.3551546391752578,7.144530773162842,185.63764905929565,192.7821798324585,{}
best-ranked,steel-plate-fault/steel_plate_fault.csv/index--steel-plate-fault/indices.csv/spf_id--steel-plate-fault/luminosity.csv/spf_id--steel-plate-fault/type_of_fault.csv/spf_id,XGBoost,9.0,0.6041237113402061,7.144530773162842,2.1108341217041016,9.255364894866943,"{'V5': 0.056, 'V11': 0.056, 'V12': 0.074, 'V14': 0.121, 'V25': 0.046, 'V27': 0.037, 'V10': 0.045, 'index': 0.025, 'V31': 0.262, 'V32': 0.273}"
