approach,dataset,algorithm,depth,accuracy,join_time,train_time,total_time,feature_importances,fs_time
arda,other-data/decision-trees-split/titanic,CART,1.0,0.7899814471243043,0.0077288150787353516,0.010097980499267578,3.1050846576690674,{'Sex_passenger_info.csv': 1.0},3.0872578620910645
arda,other-data/decision-trees-split/titanic,ID3,2.0,0.6147186147186148,0.0077288150787353516,0.04956865310668945,3.1445553302764893,{},3.0872578620910645
arda,other-data/decision-trees-split/titanic,XGBoost,1.0,0.7899814471243043,0.0077288150787353516,0.09147906303405762,3.1864657402038574,{'Sex_passenger_info.csv': 1.0},3.0872578620910645
