date,strong_team,weak_team,win,tournament,strong_team/other-data/decision-trees-split/football/strong_team.csv,strong_score,strong_overall,strong_avg_age,dif_overall,dif_attack,dif_deffense,dif_bu_speed,dif_bu_passing,dif_cc_crossing,dif_cc_passing,dif_cc_shooting,dif_aggression,dif_preassure,dif_avg_age,weak_team/other-data/decision-trees-split/football/weak_team.csv,weak_score,weak_overall,weak_avg_age,weak_bu_speed,weak_bu_passing,weak_bu_positioning,weak_attack,weak_deffense,weak_aggression,weak_preassure,weak_cc_crossing,weak_cc_passing,weak_cc_shooting,weak_cc_positioning,strong_bu_speed,strong_bu_passing,strong_bu_positioning,strong_attack,strong_deffense,strong_aggression,strong_preassure,strong_cc_crossing,strong_cc_passing,strong_cc_shooting,strong_cc_positioning
2010-03-03,Mexico,New Zealand,1,Friendly,Mexico,2,77,26.2,15,13,16,-5,-25,-15,-5,-5,-10,-5,0.23,New Zealand,0,62,25.97,70,70,Organised,60,58,70,70,70,70,70,Organised,65,45,Organised,73,74,60,65,55,65,65,Organised
2010-03-03,Netherlands,USA,1,Friendly,Netherlands,2,80,26.4,6,9,6,-20,-15,25,40,26,10,-35,1.0,USA,1,74,25.4,70,50,Free Form,72,70,50,70,45,30,40,Free Form,50,35,Organised,81,76,60,35,70,70,66,Organised
2010-03-03,Bulgaria,Poland,0,Friendly,Bulgaria,0,73,27.63,1,1,1,0,0,0,10,0,0,0,0.66,Poland,2,72,26.97,70,65,Organised,69,67,70,60,65,60,65,Organised,70,65,Organised,70,68,70,60,65,70,65,Organised
2010-03-03,Portugal,China,1,Friendly,Portugal,2,82,27.1,16,14,15,0,-40,30,25,0,-30,-35,0.1700000000000019,China,0,66,26.93,70,70,Organised,63,64,70,70,40,45,70,Organised,70,30,Free Form,77,79,40,35,70,70,70,Free Form
2010-03-03,Czech Republic,Scotland,0,Friendly,Czech Republic,0,78,27.73,3,0,2,-20,0,-5,-5,0,0,5,1.13,Scotland,1,75,26.6,70,70,Organised,73,72,70,65,70,50,70,Organised,50,70,Organised,73,74,70,70,65,45,70,Organised
2010-03-03,Uruguay,Switzerland,1,Friendly,Uruguay,3,78,25.73,2,2,1,20,-15,5,-7,0,-15,-15,0.0300000000000011,Switzerland,1,76,25.7,50,65,Organised,74,73,60,45,65,67,70,Organised,70,50,Free Form,76,74,45,30,70,60,70,Free Form
2010-03-31,Paraguay,South Africa,0,Friendly,Paraguay,1,75,27.5,3,5,6,-5,-30,-20,0,0,-25,-35,0.5399999999999989,South Africa,1,72,26.96,70,70,Organised,70,67,70,70,60,65,70,Organised,65,40,Organised,75,73,45,35,40,65,70,Organised
2010-05-07,Mexico,Ecuador,0,Friendly,Mexico,0,77,26.2,5,6,9,-5,0,10,0,-5,-5,0,-1.63,Ecuador,0,72,27.83,70,45,Organised,67,65,65,65,45,65,70,Organised,65,45,Organised,73,74,60,65,55,65,65,Organised
2010-05-16,Ecuador,Korea Republic,0,Friendly,Ecuador,0,72,27.83,2,0,0,0,-15,-20,0,0,5,0,2.26,Korea Republic,2,70,25.57,70,60,Organised,67,65,60,65,65,65,70,Organised,70,45,Organised,67,65,65,65,45,65,70,Organised
2010-05-19,Croatia,Austria,1,Friendly,Croatia,1,78,26.37,5,6,3,0,-20,-35,5,-10,-15,-10,2.4,Austria,0,73,23.97,70,70,Organised,71,70,70,55,65,65,65,Organised,70,50,Organised,77,73,55,45,30,70,55,Free Form
2010-05-19,Belgium,Bulgaria,1,Friendly,Belgium,2,76,24.33,3,3,6,-5,5,-10,-5,-5,0,-15,-3.3,Bulgaria,1,73,27.63,70,65,Organised,70,68,70,60,65,70,65,Organised,65,70,Organised,73,74,70,45,55,65,60,Organised
2010-05-22,Turkey,Czech Republic,1,Friendly,Turkey,2,78,25.47,0,4,0,20,-5,5,25,0,0,-15,-2.26,Czech Republic,1,78,27.73,50,70,Organised,73,74,70,70,65,45,70,Organised,70,65,Organised,77,74,70,55,70,70,70,Organised
2010-05-24,Australia,New Zealand,1,Friendly,Australia,2,75,27.5,13,11,10,0,0,-10,0,0,0,-20,1.53,New Zealand,1,62,25.97,70,70,Organised,60,58,70,70,70,70,70,Organised,70,70,Organised,71,68,70,50,60,70,70,Organised
2010-05-24,England,Mexico,1,Friendly,England,3,83,26.93,6,8,8,5,25,15,-10,5,10,0,0.73,Mexico,1,77,26.2,65,45,Organised,73,74,60,65,55,65,65,Organised,70,70,Organised,81,82,70,65,70,55,70,Organised
2010-05-24,England,Mexico,1,Friendly,England,3,83,26.93,6,8,8,5,25,15,-10,5,10,0,0.73,Mexico,1,77,26.2,65,45,Organised,73,74,60,65,55,65,65,Organised,70,70,Organised,80,75,65,35,44,68,50,Organised
2010-05-24,England,Mexico,1,Friendly,England,3,83,26.93,6,8,8,5,25,15,-10,5,10,0,0.73,Mexico,1,77,26.2,65,45,Organised,73,74,60,65,55,65,65,Organised,64,35,Organised,81,82,70,65,70,55,70,Organised
2010-05-24,England,Mexico,1,Friendly,England,3,83,26.93,6,8,8,5,25,15,-10,5,10,0,0.73,Mexico,1,77,26.2,65,45,Organised,73,74,60,65,55,65,65,Organised,64,35,Organised,80,75,65,35,44,68,50,Organised
2010-05-24,Bulgaria,South Africa,0,Friendly,Bulgaria,1,73,27.63,1,0,1,0,-5,5,5,-5,0,-10,0.6699999999999979,South Africa,1,72,26.96,70,70,Organised,70,67,70,70,60,65,70,Organised,70,65,Organised,70,68,70,60,65,70,65,Organised
2010-05-25,Ireland,Paraguay,1,Friendly,Ireland,2,75,26.83,0,-3,0,5,30,30,5,0,25,35,-0.670000000000002,Paraguay,1,75,27.5,65,40,Organised,75,73,45,35,40,65,70,Organised,70,70,Organised,72,73,70,70,70,70,70,Organised
2010-05-25,Czech Republic,USA,1,Friendly,Czech Republic,4,78,27.73,4,1,4,-20,20,20,15,30,20,0,2.33,USA,2,74,25.4,70,50,Free Form,72,70,50,70,45,30,40,Free Form,50,70,Organised,73,74,70,70,65,45,70,Organised
2010-05-25,Czech Republic,USA,1,Friendly,Czech Republic,4,78,27.73,4,1,4,-20,20,20,15,30,20,0,2.33,USA,2,74,25.4,70,50,Free Form,72,70,50,70,45,30,40,Free Form,50,70,Organised,86,83,50,37,37,41,56,Free Form
2010-05-25,Czech Republic,USA,1,Friendly,Czech Republic,4,78,27.73,4,1,4,-20,20,20,15,30,20,0,2.33,USA,2,74,25.4,70,50,Free Form,72,70,50,70,45,30,40,Free Form,37,40,Organised,73,74,70,70,65,45,70,Organised
2010-05-25,Czech Republic,USA,1,Friendly,Czech Republic,4,78,27.73,4,1,4,-20,20,20,15,30,20,0,2.33,USA,2,74,25.4,70,50,Free Form,72,70,50,70,45,30,40,Free Form,37,40,Organised,86,83,50,37,37,41,56,Free Form
2010-05-26,Netherlands,Mexico,1,Friendly,Netherlands,2,80,26.4,3,8,2,-15,-10,15,5,1,0,-30,0.1999999999999989,Mexico,1,77,26.2,65,45,Organised,73,74,60,65,55,65,65,Organised,50,35,Organised,81,76,60,35,70,70,66,Organised
2010-05-26,Turkey,Northern Ireland,1,Friendly,Turkey,2,78,25.47,7,11,4,0,-5,5,0,0,0,-15,0.0399999999999991,Northern Ireland,0,71,25.43,70,70,Organised,66,70,70,70,65,70,70,Organised,70,65,Organised,77,74,70,55,70,70,70,Organised
2010-05-29,Germany,Hungary,1,Friendly,Germany,3,82,24.8,10,12,13,0,-8,-23,9,0,-24,3,-2.58,Hungary,0,72,27.38,70,70,Organised,69,66,70,55,60,50,70,Organised,70,62,Organised,81,79,46,58,37,59,70,Organised
2010-05-29,Poland,Finland,0,Friendly,Poland,0,72,26.97,0,2,-3,0,10,10,10,5,0,15,-0.73,Finland,0,72,27.7,70,55,Organised,67,70,70,45,55,50,60,Organised,70,65,Organised,69,67,70,60,65,60,65,Organised
2010-05-29,Ukraine,Romania,1,Friendly,Ukraine,3,76,26.0,1,2,-4,-15,5,0,0,0,20,25,-1.23,Romania,2,75,27.23,70,65,Organised,71,74,50,30,70,65,70,Organised,55,70,Organised,73,70,70,55,70,65,70,Organised
2010-05-29,Ukraine,Romania,1,Friendly,Ukraine,3,76,26.0,1,2,-4,-15,5,0,0,0,20,25,-1.23,Romania,2,75,27.23,70,65,Organised,71,74,50,30,70,65,70,Organised,55,70,Organised,76,78,45,51,59,59,43,Organised
2010-05-29,Ukraine,Romania,1,Friendly,Ukraine,3,76,26.0,1,2,-4,-15,5,0,0,0,20,25,-1.23,Romania,2,75,27.23,70,65,Organised,71,74,50,30,70,65,70,Organised,62,52,Organised,73,70,70,55,70,65,70,Organised
2010-05-29,Ukraine,Romania,1,Friendly,Ukraine,3,76,26.0,1,2,-4,-15,5,0,0,0,20,25,-1.23,Romania,2,75,27.23,70,65,Organised,71,74,50,30,70,65,70,Organised,62,52,Organised,76,78,45,51,59,59,43,Organised
2010-05-29,Turkey,USA,0,Friendly,Turkey,1,78,25.47,4,5,4,0,15,25,40,30,20,-15,0.0700000000000003,USA,2,74,25.4,70,50,Free Form,72,70,50,70,45,30,40,Free Form,70,65,Organised,77,74,70,55,70,70,70,Organised
2010-06-01,Australia,Denmark,1,Friendly,Australia,1,75,27.5,0,-1,-6,20,20,10,20,20,20,0,0.5,Denmark,0,75,27.0,50,50,Organised,72,74,50,50,50,50,50,Organised,70,70,Organised,71,68,70,50,60,70,70,Organised
2010-06-01,Australia,Denmark,1,Friendly,Australia,1,75,27.5,0,-1,-6,20,20,10,20,20,20,0,0.5,Denmark,0,75,27.0,50,50,Organised,72,74,50,50,50,50,50,Organised,70,70,Organised,85,82,56,47,41,54,61,Organised
2010-06-01,Australia,Denmark,1,Friendly,Australia,1,75,27.5,0,-1,-6,20,20,10,20,20,20,0,0.5,Denmark,0,75,27.0,50,50,Organised,72,74,50,50,50,50,50,Organised,64,40,Organised,71,68,70,50,60,70,70,Organised
2010-06-01,Australia,Denmark,1,Friendly,Australia,1,75,27.5,0,-1,-6,20,20,10,20,20,20,0,0.5,Denmark,0,75,27.0,50,50,Organised,72,74,50,50,50,50,50,Organised,64,40,Organised,85,82,56,47,41,54,61,Organised
2010-06-01,Portugal,Cameroon,1,Friendly,Portugal,3,82,27.1,6,4,5,0,-40,25,0,0,-20,-35,1.1,Cameroon,1,76,26.0,70,70,Organised,73,74,60,70,45,70,70,Organised,70,30,Free Form,77,79,40,35,70,70,70,Free Form
2010-06-02,Greece,Paraguay,0,Friendly,Greece,0,76,26.63,1,1,1,-20,20,30,-35,-40,-15,-5,-0.870000000000001,Paraguay,2,75,27.5,65,40,Organised,75,73,45,35,40,65,70,Organised,45,60,Organised,76,74,30,30,70,30,30,Organised
2010-06-02,Greece,Paraguay,0,Friendly,Greece,0,76,26.63,1,1,1,-20,20,30,-35,-40,-15,-5,-0.870000000000001,Paraguay,2,75,27.5,65,40,Organised,75,73,45,35,40,65,70,Organised,45,60,Organised,76,75,37,24,60,51,52,Organised
2010-06-02,Greece,Paraguay,0,Friendly,Greece,0,76,26.63,1,1,1,-20,20,30,-35,-40,-15,-5,-0.870000000000001,Paraguay,2,75,27.5,65,40,Organised,75,73,45,35,40,65,70,Organised,52,56,Organised,76,74,30,30,70,30,30,Organised
2010-06-02,Greece,Paraguay,0,Friendly,Greece,0,76,26.63,1,1,1,-20,20,30,-35,-40,-15,-5,-0.870000000000001,Paraguay,2,75,27.5,65,40,Organised,75,73,45,35,40,65,70,Organised,52,56,Organised,76,75,37,24,60,51,52,Organised
2010-06-02,Ukraine,Norway,1,Friendly,Ukraine,1,76,26.0,1,-2,-2,-15,0,0,15,0,0,-15,-1.33,Norway,0,75,27.33,70,70,Organised,75,72,70,70,70,50,70,Organised,55,70,Organised,73,70,70,55,70,65,70,Organised
2010-06-03,Italy,Mexico,0,Friendly,Italy,1,83,27.17,6,10,6,2,-15,5,-10,-25,-30,-35,0.970000000000002,Mexico,2,77,26.2,65,45,Organised,73,74,60,65,55,65,65,Organised,67,30,Organised,83,80,30,30,60,55,40,Organised
2010-06-03,Spain,Korea Republic,1,Friendly,Spain,1,85,25.17,15,16,17,-5,-30,-20,5,-5,-15,-5,-0.3999999999999989,Korea Republic,0,70,25.57,70,60,Organised,67,65,60,65,65,65,70,Organised,65,30,Free Form,83,82,45,60,45,70,65,Free Form
2010-06-04,France,China,0,Friendly,France,0,83,26.17,17,19,18,0,-30,10,25,-40,-10,-15,-0.7599999999999979,China,1,66,26.93,70,70,Organised,63,64,70,70,40,45,70,Organised,70,40,Organised,82,82,60,55,50,70,30,Organised
2010-06-04,Slovenia,New Zealand,1,Friendly,Slovenia,3,70,25.67,8,10,9,0,0,-5,-15,0,0,-20,-0.299999999999997,New Zealand,1,62,25.97,70,70,Organised,60,58,70,70,70,70,70,Organised,70,70,Organised,70,67,70,50,65,55,70,Organised
2010-06-05,Australia,USA,0,Friendly,Australia,1,75,27.5,1,-1,-2,0,20,15,40,30,20,-20,2.1,USA,3,74,25.4,70,50,Free Form,72,70,50,70,45,30,40,Free Form,70,70,Organised,71,68,70,50,60,70,70,Organised
2010-06-05,Netherlands,Hungary,1,Friendly,Netherlands,6,80,26.4,8,12,10,-20,-35,10,20,-4,-10,-20,-0.98,Hungary,1,72,27.38,70,70,Organised,69,66,70,55,60,50,70,Organised,50,35,Organised,81,76,60,35,70,70,66,Organised
2010-06-05,Denmark,South Africa,0,Friendly,Denmark,0,75,27.0,3,2,7,-20,-20,-10,-15,-20,-20,-20,0.0399999999999991,South Africa,1,72,26.96,70,70,Organised,70,67,70,70,60,65,70,Organised,50,50,Organised,72,74,50,50,50,50,50,Organised
2010-06-05,Italy,Switzerland,0,Friendly,Italy,1,83,27.17,7,9,7,17,-35,-5,-12,-30,-30,-15,1.47,Switzerland,1,76,25.7,50,65,Organised,74,73,60,45,65,67,70,Organised,67,30,Organised,83,80,30,30,60,55,40,Organised
2010-06-05,Italy,Switzerland,0,Friendly,Italy,1,83,27.17,7,9,7,17,-35,-5,-12,-30,-30,-15,1.47,Switzerland,1,76,25.7,50,65,Organised,74,73,60,45,65,67,70,Organised,67,30,Organised,77,74,51,51,73,59,53,Organised
2010-06-05,Italy,Switzerland,0,Friendly,Italy,1,83,27.17,7,9,7,17,-35,-5,-12,-30,-30,-15,1.47,Switzerland,1,76,25.7,50,65,Organised,74,73,60,45,65,67,70,Organised,66,49,Organised,83,80,30,30,60,55,40,Organised
2010-06-05,Italy,Switzerland,0,Friendly,Italy,1,83,27.17,7,9,7,17,-35,-5,-12,-30,-30,-15,1.47,Switzerland,1,76,25.7,50,65,Organised,74,73,60,45,65,67,70,Organised,66,49,Organised,77,74,51,51,73,59,53,Organised
2010-06-08,Spain,Poland,1,Friendly,Spain,6,85,25.17,13,14,15,-5,-35,-20,10,0,-25,0,-1.8,Poland,0,72,26.97,70,65,Organised,69,67,70,60,65,60,65,Organised,65,30,Free Form,83,82,45,60,45,70,65,Free Form
2010-06-11,Mexico,South Africa,0,FIFA World Cup,Mexico,1,77,26.2,5,3,7,-5,-25,-5,0,-5,-10,-5,-0.7600000000000021,South Africa,1,72,26.96,70,70,Organised,70,67,70,70,60,65,70,Organised,65,45,Organised,73,74,60,65,55,65,65,Organised
2010-06-11,Mexico,South Africa,0,FIFA World Cup,Mexico,1,77,26.2,5,3,7,-5,-25,-5,0,-5,-10,-5,-0.7600000000000021,South Africa,1,72,26.96,70,70,Organised,64,69,48,51,38,45,45,Free Form,65,45,Organised,73,74,60,65,55,65,65,Organised
2010-06-11,Mexico,South Africa,0,FIFA World Cup,Mexico,1,77,26.2,5,3,7,-5,-25,-5,0,-5,-10,-5,-0.7600000000000021,South Africa,1,72,26.96,55,40,Organised,70,67,70,70,60,65,70,Organised,65,45,Organised,73,74,60,65,55,65,65,Organised
2010-06-11,Mexico,South Africa,0,FIFA World Cup,Mexico,1,77,26.2,5,3,7,-5,-25,-5,0,-5,-10,-5,-0.7600000000000021,South Africa,1,72,26.96,55,40,Organised,64,69,48,51,38,45,45,Free Form,65,45,Organised,73,74,60,65,55,65,65,Organised
2010-06-11,France,Uruguay,0,FIFA World Cup,France,0,83,26.17,5,6,8,0,-10,-20,10,-40,15,25,0.440000000000001,Uruguay,0,78,25.73,70,50,Free Form,76,74,45,30,70,60,70,Free Form,70,40,Organised,82,82,60,55,50,70,30,Organised
2010-06-12,England,USA,0,FIFA World Cup,England,1,83,26.93,9,9,12,0,20,25,25,30,20,-5,1.53,USA,1,74,25.4,70,50,Free Form,72,70,50,70,45,30,40,Free Form,70,70,Organised,81,82,70,65,70,55,70,Organised
2010-06-12,Greece,Korea Republic,0,FIFA World Cup,Greece,0,76,26.63,6,9,9,-25,0,5,-35,-40,-30,-35,1.06,Korea Republic,2,70,25.57,70,60,Organised,67,65,60,65,65,65,70,Organised,45,60,Organised,76,74,30,30,70,30,30,Organised
2010-06-13,Germany,Australia,1,FIFA World Cup,Germany,4,82,24.8,7,10,11,0,-8,-23,-11,0,-24,8,-2.7,Australia,0,75,27.5,70,70,Organised,71,68,70,50,60,70,70,Organised,70,62,Organised,81,79,46,58,37,59,70,Organised
2010-06-14,Italy,Paraguay,0,FIFA World Cup,Italy,1,83,27.17,8,8,7,2,-10,20,-10,-30,-15,-5,-0.3299999999999979,Paraguay,1,75,27.5,65,40,Organised,75,73,45,35,40,65,70,Organised,67,30,Organised,83,80,30,30,60,55,40,Organised
2010-06-14,Netherlands,Denmark,1,FIFA World Cup,Netherlands,2,80,26.4,5,9,2,0,-15,20,20,16,10,-15,-0.600000000000001,Denmark,0,75,27.0,50,50,Organised,72,74,50,50,50,50,50,Organised,50,35,Organised,81,76,60,35,70,70,66,Organised
2010-06-16,Uruguay,South Africa,1,FIFA World Cup,Uruguay,3,78,25.73,6,6,7,0,-20,10,-5,0,-25,-40,-1.23,South Africa,0,72,26.96,70,70,Organised,70,67,70,70,60,65,70,Organised,70,50,Free Form,76,74,45,30,70,60,70,Free Form
2010-06-16,Uruguay,South Africa,1,FIFA World Cup,Uruguay,3,78,25.73,6,6,7,0,-20,10,-5,0,-25,-40,-1.23,South Africa,0,72,26.96,70,70,Organised,70,67,70,70,60,65,70,Organised,70,50,Free Form,81,72,59,42,39,33,68,Organised
2010-06-16,Uruguay,South Africa,1,FIFA World Cup,Uruguay,3,78,25.73,6,6,7,0,-20,10,-5,0,-25,-40,-1.23,South Africa,0,72,26.96,70,70,Organised,70,67,70,70,60,65,70,Organised,49,32,Organised,76,74,45,30,70,60,70,Free Form
2010-06-16,Uruguay,South Africa,1,FIFA World Cup,Uruguay,3,78,25.73,6,6,7,0,-20,10,-5,0,-25,-40,-1.23,South Africa,0,72,26.96,70,70,Organised,70,67,70,70,60,65,70,Organised,49,32,Organised,81,72,59,42,39,33,68,Organised
2010-06-16,Spain,Switzerland,0,FIFA World Cup,Spain,0,85,25.17,9,9,9,15,-35,-20,3,-5,-15,15,-0.529999999999998,Switzerland,1,76,25.7,50,65,Organised,74,73,60,45,65,67,70,Organised,65,30,Free Form,83,82,45,60,45,70,65,Free Form
2010-06-17,Argentina,Korea Republic,1,FIFA World Cup,Argentina,4,83,26.33,13,16,13,0,-30,-5,5,0,-30,-35,0.7599999999999979,Korea Republic,1,70,25.57,70,60,Organised,67,65,60,65,65,65,70,Organised,70,30,Free Form,83,78,30,30,60,70,70,Free Form
2010-06-17,Argentina,Korea Republic,1,FIFA World Cup,Argentina,4,83,26.33,13,16,13,0,-30,-5,5,0,-30,-35,0.7599999999999979,Korea Republic,1,70,25.57,70,60,Organised,79,77,55,68,45,35,45,Organised,70,30,Free Form,83,78,30,30,60,70,70,Free Form
2010-06-17,Argentina,Korea Republic,1,FIFA World Cup,Argentina,4,83,26.33,13,16,13,0,-30,-5,5,0,-30,-35,0.7599999999999979,Korea Republic,1,70,25.57,40,38,Organised,67,65,60,65,65,65,70,Organised,70,30,Free Form,83,78,30,30,60,70,70,Free Form
2010-06-17,Argentina,Korea Republic,1,FIFA World Cup,Argentina,4,83,26.33,13,16,13,0,-30,-5,5,0,-30,-35,0.7599999999999979,Korea Republic,1,70,25.57,40,38,Organised,79,77,55,68,45,35,45,Organised,70,30,Free Form,83,78,30,30,60,70,70,Free Form
2010-06-17,France,Mexico,0,FIFA World Cup,France,0,83,26.17,6,9,8,5,-5,-5,5,-35,0,-10,-0.0299999999999976,Mexico,2,77,26.2,65,45,Organised,73,74,60,65,55,65,65,Organised,70,40,Organised,82,82,60,55,50,70,30,Organised
2010-06-18,USA,Slovenia,0,FIFA World Cup,USA,2,74,25.4,4,2,3,0,-20,-20,-25,-30,-20,20,-0.270000000000003,Slovenia,2,70,25.67,70,70,Organised,70,67,70,50,65,55,70,Organised,70,50,Free Form,72,70,50,70,45,30,40,Free Form
2010-06-19,Cameroon,Denmark,0,FIFA World Cup,Cameroon,1,76,26.0,1,1,0,20,20,-5,20,20,10,20,-1.0,Denmark,2,75,27.0,50,50,Organised,72,74,50,50,50,50,50,Organised,70,70,Organised,73,74,60,70,45,70,70,Organised
2010-06-20,Italy,New Zealand,0,FIFA World Cup,Italy,1,83,27.17,21,23,22,-3,-40,-10,-15,-30,-40,-40,1.2,New Zealand,1,62,25.97,70,70,Organised,60,58,70,70,70,70,70,Organised,67,30,Organised,83,80,30,30,60,55,40,Organised
2010-06-20,Italy,New Zealand,0,FIFA World Cup,Italy,1,83,27.17,21,23,22,-3,-40,-10,-15,-30,-40,-40,1.2,New Zealand,1,62,25.97,70,70,Organised,60,58,70,70,70,70,70,Organised,67,30,Organised,75,72,40,40,50,40,50,Organised
2010-06-20,Italy,New Zealand,0,FIFA World Cup,Italy,1,83,27.17,21,23,22,-3,-40,-10,-15,-30,-40,-40,1.2,New Zealand,1,62,25.97,70,70,Organised,60,58,70,70,70,70,70,Organised,45,45,Organised,83,80,30,30,60,55,40,Organised
2010-06-20,Italy,New Zealand,0,FIFA World Cup,Italy,1,83,27.17,21,23,22,-3,-40,-10,-15,-30,-40,-40,1.2,New Zealand,1,62,25.97,70,70,Organised,60,58,70,70,70,70,70,Organised,45,45,Organised,75,72,40,40,50,40,50,Organised
2010-06-22,Argentina,Greece,1,FIFA World Cup,Argentina,2,83,26.33,7,7,4,25,-30,-10,40,40,0,0,-0.300000000000001,Greece,0,76,26.63,45,60,Organised,76,74,30,30,70,30,30,Organised,70,30,Free Form,83,78,30,30,60,70,70,Free Form
2010-06-22,Uruguay,Mexico,1,FIFA World Cup,Uruguay,1,78,25.73,1,3,0,5,5,15,-5,5,-15,-35,-0.469999999999999,Mexico,0,77,26.2,65,45,Organised,73,74,60,65,55,65,65,Organised,70,50,Free Form,76,74,45,30,70,60,70,Free Form
2010-06-22,France,South Africa,0,FIFA World Cup,France,1,83,26.17,11,12,15,0,-30,-10,5,-40,-10,-15,-0.7899999999999989,South Africa,2,72,26.96,70,70,Organised,70,67,70,70,60,65,70,Organised,70,40,Organised,82,82,60,55,50,70,30,Organised
2010-06-23,England,Slovenia,1,FIFA World Cup,England,1,83,26.93,13,11,15,0,0,5,0,0,0,15,1.26,Slovenia,0,70,25.67,70,70,Organised,70,67,70,50,65,55,70,Organised,70,70,Organised,81,82,70,65,70,55,70,Organised
2010-06-24,Netherlands,Cameroon,1,FIFA World Cup,Netherlands,2,80,26.4,4,8,2,-20,-35,25,0,-4,0,-35,0.3999999999999989,Cameroon,1,76,26.0,70,70,Organised,73,74,60,70,45,70,70,Organised,50,35,Organised,81,76,60,35,70,70,66,Organised
2010-06-24,Paraguay,New Zealand,0,FIFA World Cup,Paraguay,0,75,27.5,13,15,15,-5,-30,-30,-5,0,-25,-35,1.53,New Zealand,0,62,25.97,70,70,Organised,60,58,70,70,70,70,70,Organised,65,40,Organised,75,73,45,35,40,65,70,Organised
2010-06-25,Brazil,Portugal,0,FIFA World Cup,Brazil,0,84,26.1,2,6,3,0,0,-10,0,0,-5,35,-1.0,Portugal,0,82,27.1,70,30,Free Form,77,79,40,35,70,70,70,Free Form,70,30,Free Form,83,82,35,70,60,70,70,Free Form
2010-06-26,Uruguay,Korea Republic,1,FIFA World Cup,Uruguay,2,78,25.73,8,9,9,0,-10,5,-5,0,-15,-35,0.16,Korea Republic,1,70,25.57,70,60,Organised,67,65,60,65,65,65,70,Organised,70,50,Free Form,76,74,45,30,70,60,70,Free Form
