date,strong_team,weak_team,win,tournament,strong_team/other-data/decision-trees-split/football/strong_team.csv,strong_score,strong_overall,strong_avg_age,dif_overall,dif_attack,dif_deffense,dif_bu_speed,dif_bu_passing,dif_cc_crossing,dif_cc_passing,dif_cc_shooting,dif_aggression,dif_preassure,dif_avg_age,weak_team/other-data/decision-trees-split/football/weak_team.csv,weak_score,weak_overall,weak_avg_age,weak_bu_speed,weak_bu_passing,weak_bu_positioning,weak_attack,weak_deffense,weak_aggression,weak_preassure,weak_cc_crossing,weak_cc_passing,weak_cc_shooting,weak_cc_positioning,strong_bu_speed,strong_bu_passing,strong_bu_positioning,strong_attack,strong_deffense,strong_aggression,strong_preassure,strong_cc_crossing,strong_cc_passing,strong_cc_shooting,strong_cc_positioning
2010-03-02,Brazil,Ireland,1,Friendly,Brazil,2,84,26.1,9,11,9,0,-40,-10,0,0,-35,0,-0.729999999999997,Ireland,0,75,26.83,70,70,Organised,72,73,70,70,70,70,70,Organised,70,30,Free Form,83,82,35,70,60,70,70,Free Form
2010-03-03,Denmark,Austria,0,Friendly,Denmark,1,75,27.0,2,1,4,-20,-20,-15,-15,-15,-20,-5,3.03,Austria,2,73,23.97,70,70,Organised,71,70,70,55,65,65,65,Organised,50,50,Organised,72,74,50,50,50,50,50,Organised
2010-03-03,Denmark,Austria,0,Friendly,Denmark,1,75,27.0,2,1,4,-20,-20,-15,-15,-15,-20,-5,3.03,Austria,2,73,23.97,70,70,Organised,71,70,70,55,65,65,65,Organised,50,50,Organised,73,73,47,33,52,68,61,Organised
2010-03-03,Denmark,Austria,0,Friendly,Denmark,1,75,27.0,2,1,4,-20,-20,-15,-15,-15,-20,-5,3.03,Austria,2,73,23.97,70,70,Organised,71,70,70,55,65,65,65,Organised,63,59,Organised,72,74,50,50,50,50,50,Organised
2010-03-03,Denmark,Austria,0,Friendly,Denmark,1,75,27.0,2,1,4,-20,-20,-15,-15,-15,-20,-5,3.03,Austria,2,73,23.97,70,70,Organised,71,70,70,55,65,65,65,Organised,63,59,Organised,73,73,47,33,52,68,61,Organised
2010-03-03,Croatia,Belgium,1,Friendly,Croatia,1,78,26.37,2,4,-1,5,-20,-25,5,-5,-15,0,2.04,Belgium,0,76,24.33,65,70,Organised,73,74,70,45,55,65,60,Organised,70,50,Organised,77,73,55,45,30,70,55,Free Form
2010-03-03,Spain,France,1,Friendly,Spain,2,85,25.17,2,1,0,-5,-10,-5,0,35,-15,5,-1.0,France,0,83,26.17,70,40,Organised,82,82,60,55,50,70,30,Organised,65,30,Free Form,83,82,45,60,45,70,65,Free Form
2010-03-03,Argentina,Germany,1,Friendly,Argentina,1,83,26.33,1,2,-1,0,-32,23,11,0,-16,-28,1.53,Germany,0,82,24.8,70,62,Organised,81,79,46,58,37,59,70,Organised,70,30,Free Form,83,78,30,30,60,70,70,Free Form
2010-03-03,Russia,Hungary,0,Friendly,Russia,1,80,26.17,8,10,10,0,-35,5,20,0,-10,10,-1.21,Hungary,1,72,27.38,70,70,Organised,69,66,70,55,60,50,70,Organised,70,35,Free Form,79,76,60,65,65,70,70,Free Form
2010-03-03,Italy,Cameroon,0,Friendly,Italy,0,83,27.17,7,10,6,-3,-40,15,-15,-30,-30,-40,1.17,Cameroon,0,76,26.0,70,70,Organised,73,74,60,70,45,70,70,Organised,67,30,Organised,83,80,30,30,60,55,40,Organised
